會計項目,Q1金額,Q1百分比(%),Q2金額,Q2百分比(%),Q3金額,Q3百分比(%),Q4金額,Q4百分比(%)
營業收入合計,668813.0,100.0,716206.0,100.0,709125.0,100.0,2856651.0,100.0
營業成本合計,408835.0,61.13,429066.0,59.91,438959.0,61.9,1765351.0,61.8
營業毛利（毛損）,259978.0,38.87,287140.0,40.09,270166.0,38.1,1091300.0,38.2
營業毛利（毛損）淨額,259978.0,38.87,287140.0,40.09,270166.0,38.1,1091300.0,38.2
營業費用,,,,,,,,
推銷費用,91593.0,13.69,86914.0,12.14,105320.0,14.85,408272.0,14.29
管理費用,50917.0,7.61,56495.0,7.89,50236.0,7.08,213063.0,7.46
研究發展費用,57451.0,8.59,55150.0,7.7,47558.0,6.71,272163.0,9.53
預期信用減損損失（利益）,-1398.0,-0.21,-6.0,0.0,0.0,0.0,467.0,0.02
營業費用合計,198563.0,29.69,198553.0,27.72,203114.0,28.64,893965.0,31.29
營業利益（損失）,61415.0,9.18,88587.0,12.37,67052.0,9.46,197335.0,6.91
營業外收入及支出,,,,,,,,
利息收入,495.0,0.07,574.0,0.08,2407.0,0.34,5776.0,0.2
其他收入,5822.0,0.87,7945.0,1.11,15515.0,2.19,48707.0,1.71
其他利益及損失淨額,3651.0,0.55,12892.0,1.8,8083.0,1.14,21041.0,0.74
財務成本淨額,5791.0,0.87,6998.0,0.98,7142.0,1.01,27813.0,0.97
營業外收入及支出合計,4177.0,0.62,14413.0,2.01,18863.0,2.66,47711.0,1.67
稅前淨利（淨損）,65592.0,9.81,103000.0,14.38,85915.0,12.12,245046.0,8.58
所得稅費用（利益）合計,20764.0,3.1,21052.0,2.94,28235.0,3.98,80872.0,2.83
繼續營業單位本期淨利（淨損）,44828.0,6.7,81948.0,11.44,57680.0,8.13,164174.0,5.75
本期淨利（淨損）,44828.0,6.7,81948.0,11.44,57680.0,8.13,164174.0,5.75
其他綜合損益(淨額),,,,,,,,
透過其他綜合損益按公允價值衡量之權益工具投資未實現評價損益,3191.0,0.48,-7557.0,-1.06,-1579.0,-0.22,9080.0,0.32
不重分類至損益之項目：,3191.0,0.48,-7557.0,-1.06,-1579.0,-0.22,-5340.0,-0.19
國外營運機構財務報表換算之兌換差額,40693.0,6.08,-16847.0,-2.35,9308.0,1.31,3740.0,0.13
與可能重分類之項目相關之所得稅,6722.0,1.01,-2781.0,-0.39,1540.0,0.22,16874.0,0.59
後續可能重分類至損益之項目：,33971.0,5.08,-14066.0,-1.96,7768.0,1.1,2784.0,0.1
其他綜合損益（淨額）,37162.0,5.56,-21623.0,-3.02,6189.0,0.87,14090.0,0.49
本期綜合損益總額,81990.0,12.26,60325.0,8.42,63869.0,9.01,17830.0,0.62
淨利（損）歸屬於：,,,,,,,182004.0,6.37
母公司業主（淨利∕損）,58095.0,8.69,87205.0,12.18,68078.0,9.6,,
非控制權益（淨利∕損）,-13267.0,-1.98,-5257.0,-0.73,-10398.0,-1.47,224644.0,7.86
母公司業主（綜合損益）,86970.0,13.0,71379.0,9.97,73258.0,10.33,-60470.0,-2.12
非控制權益（綜合損益）,-4980.0,-0.74,-11054.0,-1.54,-9389.0,-1.32,241535.0,8.46
基本每股盈餘,,,,,,,-59531.0,-2.08
基本每股盈餘,0.35,,0.52,,0.41,,,
稀釋每股盈餘,,,,,,,1.34,
稀釋每股盈餘,0.35,,0.52,,0.41,,,
