會計項目,Q1金額,Q1百分比(%),Q2金額,Q2百分比(%),Q3金額,Q3百分比(%),Q4金額,Q4百分比(%)
營業收入合計,375754.0,100.0,472855.0,100.0,490833.0,100.0,1940487.0,100.0
營業成本合計,255754.0,68.06,290863.0,61.51,320506.0,65.3,1245585.0,64.19
營業毛利（毛損）,120000.0,31.94,181992.0,38.49,170327.0,34.7,694902.0,35.81
營業毛利（毛損）淨額,120000.0,31.94,181992.0,38.49,170327.0,34.7,694902.0,35.81
營業費用,,,,,,,,
推銷費用,29306.0,7.8,31145.0,6.59,34118.0,6.95,131480.0,6.78
管理費用,22485.0,5.98,22278.0,4.71,22836.0,4.65,95805.0,4.94
研究發展費用,35509.0,9.45,34936.0,7.39,39065.0,7.96,143808.0,7.41
預期信用減損損失（利益）,495.0,0.13,-132.0,-0.03,727.0,0.15,2210.0,0.11
營業費用合計,87795.0,23.37,88227.0,18.66,96746.0,19.71,373303.0,19.24
營業利益（損失）,32205.0,8.57,93765.0,19.83,73581.0,14.99,321599.0,16.57
營業外收入及支出,,,,,,,,
利息收入,936.0,0.25,472.0,0.1,469.0,0.1,2694.0,0.14
其他收入,2580.0,0.69,206.0,0.04,4755.0,0.97,9441.0,0.49
其他利益及損失淨額,14805.0,3.94,-4647.0,-0.98,14208.0,2.89,81730.0,4.21
財務成本淨額,1047.0,0.28,1083.0,0.23,1305.0,0.27,4838.0,0.25
營業外收入及支出合計,17274.0,4.6,-5052.0,-1.07,18127.0,3.69,89027.0,4.59
稅前淨利（淨損）,49479.0,13.17,88713.0,18.76,91708.0,18.68,410626.0,21.16
所得稅費用（利益）合計,8459.0,2.25,14106.0,2.98,17106.0,3.49,58627.0,3.02
繼續營業單位本期淨利（淨損）,41020.0,10.92,74607.0,15.78,74602.0,15.2,351999.0,18.14
本期淨利（淨損）,41020.0,10.92,74607.0,15.78,74602.0,15.2,351999.0,18.14
其他綜合損益(淨額),,,,,,,,
國外營運機構財務報表換算之兌換差額,2.0,0.0,-1.0,0.0,1.0,0.0,680.0,0.04
後續可能重分類至損益之項目：,2.0,0.0,-1.0,0.0,1.0,0.0,136.0,0.01
其他綜合損益（淨額）,2.0,0.0,-1.0,0.0,1.0,0.0,544.0,0.03
本期綜合損益總額,41022.0,10.92,74606.0,15.78,74603.0,15.2,58.0,0.0
淨利（損）歸屬於：,,,,,,,58.0,0.0
母公司業主（淨利∕損）,41020.0,10.92,74607.0,15.78,74602.0,15.2,602.0,0.03
母公司業主（綜合損益）,41022.0,10.92,74606.0,15.78,74603.0,15.2,352601.0,18.17
基本每股盈餘,,,,,,,,
繼續營業單位淨利（淨損）,0.41,,0.74,,0.74,,351999.0,18.14
基本每股盈餘,0.41,,0.74,,0.74,,352601.0,18.17
稀釋每股盈餘,,,,,,,,
繼續營業單位淨利（淨損）,0.41,,0.74,,0.74,,3.49,
稀釋每股盈餘,0.41,,0.74,,0.74,,3.49,
