會計項目,Q1金額,Q2金額,Q3金額,Q4金額
營業活動之現金流量－間接法,,,,
繼續營業單位稅前淨利（淨損）,25621.0,59331.0,113057.0,165780.0
本期稅前淨利（淨損）,25621.0,59331.0,113057.0,165780.0
折舊費用,7842.0,15160.0,22007.0,28713.0
攤銷費用,251.0,488.0,679.0,869.0
預期信用減損損失（利益）數∕呆帳費用提列（轉列收入）數,0.0,4784.0,4830.0,4716.0
利息費用,42.0,68.0,68.0,68.0
利息收入,-22.0,-633.0,-1612.0,-3181.0
股份基礎給付酬勞成本,3669.0,7339.0,11656.0,13484.0
處分及報廢不動產、廠房及設備損失（利益）,-484.0,4047.0,4505.0,-1026.0
其他項目,11298.0,-256.0,-256.0,-256.0
收益費損項目合計,3109.0,30997.0,41877.0,43387.0
應收票據（增加）減少,6984.0,5895.0,-17.0,18630.0
應收帳款（增加）減少,-221.0,-11921.0,-15956.0,-17019.0
應收帳款－關係人（增加）減少,-102.0,-1938.0,10535.0,4764.0
其他應收款（增加）減少,5.0,46.0,3656.0,4395.0
其他應收款－關係人（增加）減少,16956.0,5.0,5.0,-1157.0
存貨（增加）減少,11452.0,12526.0,5564.0,3682.0
預付款項（增加）減少,-325.0,26063.0,31298.0,34016.0
其他流動資產（增加）減少,37858.0,-836.0,-216.0,-633.0
與營業活動相關之資產之淨變動合計,6770.0,29840.0,34869.0,46678.0
合約負債增加（減少）,-100.0,-4369.0,-6757.0,-6875.0
應付票據增加（減少）,-2853.0,-100.0,-100.0,-100.0
應付帳款增加（減少）,-14473.0,2204.0,8752.0,-2459.0
應付帳款－關係人增加（減少）,-7690.0,-1790.0,-8540.0,-1655.0
其他應付款增加（減少）,1358.0,16.0,14949.0,29657.0
其他應付款－關係人增加（減少）,15.0,1843.0,1253.0,1525.0
其他流動負債增加（減少）,-16973.0,44.0,69.0,42.0
與營業活動相關之負債之淨變動合計,20885.0,-2152.0,9626.0,20135.0
與營業活動相關之資產及負債之淨變動合計,32183.0,27688.0,44495.0,66813.0
調整項目合計,57804.0,58685.0,86372.0,110200.0
營運產生之現金流入（流出）,22.0,118016.0,199429.0,275980.0
收取之利息,-42.0,633.0,1612.0,3181.0
支付之利息,-15.0,-68.0,-68.0,-68.0
退還（支付）之所得稅,57769.0,-2657.0,-10627.0,-10755.0
營業活動之淨現金流入（流出）,,115924.0,190346.0,268338.0
投資活動之現金流量,-959.0,,,
取得按攤銷後成本衡量之金融資產,-7222.0,-2805.0,11953.0,16556.0
取得不動產、廠房及設備,5200.0,-7506.0,-9823.0,-11819.0
處分不動產、廠房及設備,-101.0,5241.0,5652.0,6281.0
存出保證金減少,1485.0,-150.0,-150.0,2002.0
取得無形資產,-1597.0,2086.0,0.0,-150.0
其他非流動資產減少,,-3134.0,2036.0,35.0
預付設備款增加,-586.0,,9668.0,-2473.0
投資活動之淨現金流入（流出）,-586.0,-100.0,,10432.0
籌資活動之現金流量,-271.0,-950.0,0.0,
存入保證金增加,55315.0,-1050.0,-101.0,0.0
存入保證金減少,513305.0,-101.0,-950.0,-101.0
租賃本金償還,568620.0,111639.0,0.0,-950.0
發放現金股利,568620.0,513305.0,0.0,0.0
