會計項目,Q1金額,Q2金額,Q3金額,Q4金額
營業活動之現金流量－間接法,,,,
繼續營業單位稅前淨利（淨損）,4982200.0,10792779.0,15136817.0,17149630.0
本期稅前淨利（淨損）,4982200.0,10792779.0,15136817.0,17149630.0
折舊費用,5223669.0,10452821.0,15680522.0,20945978.0
攤銷費用,1671856.0,3355023.0,5061352.0,6778942.0
預期信用減損損失（利益）數∕呆帳費用提列（轉列收入）數,51722.0,136599.0,185697.0,329171.0
利息費用,639667.0,1375539.0,2226720.0,3340022.0
利息收入,-54419.0,-136396.0,-231595.0,-441709.0
股利收入,-9131.0,-52393.0,-105430.0,-148385.0
應付公司債匯率影響數,-807875.0,-2098921.0,-3777547.0,199.0
採用權益法認列之關聯企業及合資損失（利益）之份額,31368.0,180409.0,449689.0,-4416876.0
處分及報廢不動產、廠房及設備損失（利益）,444.0,3.0,3.0,531464.0
處分投資損失（利益）,0.0,1933.0,13073.0,3.0
非金融資產減損損失,-243357.0,-288668.0,-214738.0,60256.0
非金融資產減損迴轉利益,-16140.0,-278.0,-278.0,364176.0
已實現銷貨損失（利益）,-399.0,-38074.0,-69961.0,-555.0
投資性不動產公允價值調整損失(利益),6487405.0,-507.0,0.0,-341971.0
其他項目,933025.0,12887090.0,19217507.0,0.0
收益費損項目合計,-259084.0,1438917.0,251688.0,27000715.0
強制透過損益按公允價值衡量之金融資產（增加）減少,-2073692.0,-805324.0,-147.0,149104.0
合約資產（增加）減少,-577618.0,-6399181.0,-52010.0,-274189.0
應收帳款（增加）減少,-6043177.0,-556975.0,-3124214.0,488685.0
其他應收款（增加）減少,597064.0,-9275398.0,-368548.0,-389306.0
存貨（增加）減少,-353397.0,-209420.0,-5087590.0,-3991114.0
預付款項（增加）減少,76630.0,-165868.0,119270.0,749821.0
其他流動資產（增加）減少,-7700249.0,217131.0,-689508.0,-181647.0
取得合約之增額成本（增加）減少,5291.0,-15756118.0,274034.0,206674.0
與營業活動相關之資產之淨變動合計,587143.0,25759.0,-8677025.0,-3241972.0
持有供交易之金融負債增加（減少）,5565220.0,929000.0,45715.0,28010.0
合約負債增加（減少）,-103609.0,3910807.0,1229950.0,1265607.0
應付帳款增加（減少）,-1525648.0,15153.0,846381.0,-392164.0
應付帳款－關係人增加（減少）,10570.0,-440385.0,-259913.0,-125382.0
其他應付款增加（減少）,-229009.0,44290.0,-195067.0,-747876.0
負債準備增加（減少）,-48454.0,403383.0,44620.0,94693.0
其他流動負債增加（減少）,-121618.0,-110447.0,-361345.0,-443102.0
淨確定福利負債增加(減少),4139886.0,-244500.0,-192843.0,-253254.0
其他營業負債增加（減少）,-3560363.0,4533060.0,-431110.0,-620827.0
與營業活動相關之負債之淨變動合計,2927042.0,-11223058.0,726388.0,-1194295.0
與營業活動相關之資產及負債之淨變動合計,7909242.0,1664032.0,-7950637.0,-4436267.0
調整項目合計,35427.0,12456811.0,11266870.0,22564448.0
營運產生之現金流入（流出）,4209.0,109166.0,26403687.0,39714078.0
收取之利息,-451063.0,147948.0,210941.0,420544.0
收取之股利,-313239.0,-1566289.0,5020024.0,5334049.0
支付之利息,7184576.0,-2970887.0,-2364270.0,-3268399.0
退還（支付）之所得稅,,8176749.0,-3296736.0,-3689420.0
營業活動之淨現金流入（流出）,-3003.0,,25973646.0,38510852.0
投資活動之現金流量,0.0,-3003.0,,
取得透過其他綜合損益按公允價值衡量之金融資產,337654.0,0.0,-3003.0,-3003.0
處分透過其他綜合損益按公允價值衡量之金融資產,-266601.0,15769.0,0.0,0.0
透過其他綜合損益按公允價值衡量之金融資產減資退回股款,-128812.0,961859.0,15769.0,15769.0
取得按攤銷後成本衡量之金融資產,-4438755.0,-270601.0,0.0,891412.0
取得採用權益法之投資,79617.0,-128812.0,914157.0,-901266.0
預付投資款增加,-27570.0,-9317904.0,-271337.0,-168812.0
取得不動產、廠房及設備,-101420.0,75125.0,-758536.0,-22869950.0
處分不動產、廠房及設備,-163849.0,0.0,-15567513.0,138674.0
存出保證金增加,2.0,-36980.0,80864.0,-259096.0
其他應收款增加,-568.0,0.0,-191475.0,-1618640.0
其他應收款減少,-706095.0,-48950.0,-1287490.0,0.0
取得無形資產,0.0,0.0,0.0,-1096529.0
處分無形資產,-94265.0,-641701.0,-888345.0,46807.0
取得使用權資產,9351.0,3178.0,4282.0,0.0
取得投資性不動產,-5504314.0,0.0,0.0,-30285.0
處分投資性不動產,,-594.0,-594.0,62434.0
其他金融資產減少,10241644.0,140500.0,0.0,192509.0
其他非流動資產增加,686208.0,0.0,-23203.0,0.0
其他非流動資產減少,2700000.0,161872.0,0.0,212821.0
其他投資活動,-5200000.0,83780.0,0.0,1864609.0
投資活動之淨現金流入（流出）,78032360.0,-9006462.0,9220.0,-23522546.0
籌資活動之現金流量,-86310296.0,,1834592.0,
短期借款增加,512.0,9012586.0,-16132612.0,2086686.0
應付短期票券增加,-790830.0,17721200.0,,26365800.0
應付短期票券減少,1046.0,0.0,6327629.0,0.0
發行公司債,0.0,2700000.0,23045956.0,9500000.0
償還公司債,41250.0,-18200000.0,7000000.0,-22200000.0
舉借長期借款,-108138.0,156250062.0,-22200000.0,266109827.0
償還長期借款,-706244.0,-154446239.0,234813625.0,-266058369.0
存入保證金增加,228469.0,12102.0,-231390701.0,2498.0
租賃本金償還,1202487.0,-1743933.0,22761.0,-3969182.0
其他非流動負債減少,34544963.0,1805.0,-2789041.0,-5489.0
發放現金股利,35747450.0,0.0,2618.0,-8029313.0
現金增資,35747450.0,577375.0,0.0,679871.0
