會計項目,Q1金額,Q1百分比(%),Q2金額,Q2百分比(%),Q3金額,Q3百分比(%),Q4金額,Q4百分比(%)
銷貨收入,60080.0,99.32,41408.0,99.45,33704.0,98.84,174545.0,99.21
銷貨收入淨額,60080.0,99.32,41408.0,99.45,395.0,1.16,174545.0,99.21
其他營業收入淨額,412.0,0.68,227.0,0.55,34099.0,100.0,1397.0,0.79
營業收入合計,60492.0,100.0,41635.0,100.0,69284.0,203.18,175942.0,100.0
銷貨成本,42192.0,69.75,41024.0,98.53,445.0,1.31,176041.0,100.06
其他營業成本,425.0,0.7,15.0,0.04,69729.0,204.49,1334.0,0.76
營業成本合計,42617.0,70.45,41039.0,98.57,-35630.0,-104.49,177375.0,100.81
營業毛利（毛損）,17875.0,29.55,596.0,1.43,-35630.0,-104.49,-1433.0,-0.81
營業毛利（毛損）淨額,17875.0,29.55,596.0,1.43,,,-1433.0,-0.81
營業費用,,,,,1765.0,5.18,,
推銷費用,2290.0,3.79,1958.0,4.7,7159.0,20.99,7334.0,4.17
管理費用,7356.0,12.16,6571.0,15.78,-19.0,-0.06,27606.0,15.69
預期信用減損損失（利益）,-36.0,-0.06,35.0,0.08,8905.0,26.12,25.0,0.01
營業費用合計,9610.0,15.89,8564.0,20.57,-44535.0,-130.61,34965.0,19.87
營業利益（損失）,8265.0,13.66,-7968.0,-19.14,,,-36398.0,-20.69
營業外收入及支出,,,,,1791.0,5.25,,
利息收入,367.0,0.61,1025.0,2.46,43249.0,126.83,5721.0,3.25
其他收入,8503.0,14.06,9728.0,23.36,13165.0,38.61,70642.0,40.15
其他利益及損失淨額,14218.0,23.5,16338.0,39.24,10.0,0.03,34721.0,19.73
財務成本淨額,10.0,0.02,11.0,0.03,2012.0,5.9,43.0,0.02
採用權益法認列之關聯企業及合資損益之份額淨額,672.0,1.11,1410.0,3.39,60207.0,176.57,10498.0,5.97
營業外收入及支出合計,23750.0,39.26,28490.0,68.43,15672.0,45.96,121539.0,69.08
稅前淨利（淨損）,32015.0,52.92,20522.0,49.29,-3706.0,-10.87,85141.0,48.39
所得稅費用（利益）合計,6403.0,10.58,5707.0,13.71,19378.0,56.83,11791.0,6.7
繼續營業單位本期淨利（淨損）,25612.0,42.34,14815.0,35.58,19378.0,56.83,73350.0,41.69
本期淨利（淨損）,25612.0,42.34,14815.0,35.58,,,73350.0,41.69
其他綜合損益(淨額),,,,,673.0,1.97,,
透過其他綜合損益按公允價值衡量之權益工具投資未實現評價損益,-4878.0,-8.06,-57232.0,-137.46,673.0,1.97,471.0,0.27
不重分類至損益之項目：,-4878.0,-8.06,-57232.0,-137.46,5215.0,15.29,-68676.0,-39.03
採用權益法認列之關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,19860.0,32.83,-9207.0,-22.11,1044.0,3.06,94.0,0.05
與可能重分類之項目相關之所得稅,3972.0,6.57,-1842.0,-4.42,4171.0,12.23,-68299.0,-38.82
後續可能重分類至損益之項目：,15888.0,26.26,-7365.0,-17.69,4844.0,14.21,36712.0,20.87
其他綜合損益（淨額）,11010.0,18.2,-64597.0,-155.15,24222.0,71.03,7343.0,4.17
本期綜合損益總額,36622.0,60.54,-49782.0,-119.57,,,29369.0,16.69
基本每股盈餘,,,,,0.14,,-38930.0,-22.13
基本每股盈餘,0.19,,0.11,,,,34420.0,19.56
稀釋每股盈餘,,,,,0.14,,,
稀釋每股盈餘,0.18,,0.11,,,,0.53,
