會計項目,Q1金額,Q2金額,Q3金額,Q4金額
營業活動之現金流量－間接法,,,,
繼續營業單位稅前淨利（淨損）,-3159.0,-7671.0,-5904.0,-22098.0
停業單位稅前淨利（淨損）,-3159.0,-7671.0,-5904.0,0.0
本期稅前淨利（淨損）,2860.0,5719.0,8579.0,-22098.0
折舊費用,0.0,0.0,0.0,11435.0
攤銷費用,-402.0,664.0,1304.0,0.0
透過損益按公允價值衡量金融資產及負債之淨損失（利益）,1272.0,2809.0,4757.0,1162.0
利息費用,-174.0,-580.0,-1444.0,7011.0
利息收入,-1430.0,0.0,-1644.0,-3314.0
股利收入,0.0,-2721.0,-3493.0,-1644.0
採用權益法認列之關聯企業及合資損失（利益）之份額,2126.0,0.0,0.0,-3971.0
處分及報廢不動產、廠房及設備損失（利益）,-2338.0,5891.0,0.0,0.0
處分投資性不動產損失（利益）,4237.0,-193.0,8059.0,0.0
非金融資產減損損失,175.0,9704.0,11.0,0.0
收益費損項目合計,-103291.0,-113.0,10743.0,10679.0
應收票據（增加）減少,-4345.0,-237876.0,1772.0,-654.0
應收帳款（增加）減少,4888.0,-9612.0,-328374.0,6657.0
其他應收款（增加）減少,-100674.0,8982.0,-12502.0,32940.0
存貨（增加）減少,0.0,0.0,12413.0,-379388.0
預付款項（增加）減少,12351.0,-229108.0,-315937.0,-14406.0
其他流動資產（增加）減少,-8143.0,0.0,0.0,13458.0
與營業活動相關之資產之淨變動合計,-2685.0,15858.0,-10638.0,-341393.0
合約負債增加（減少）,2859.0,-3678.0,14973.0,0.0
應付票據增加（減少）,0.0,-1896.0,1576.0,-11442.0
應付帳款增加（減少）,0.0,2556.0,374.0,16353.0
其他應付款增加（減少）,4382.0,0.0,0.0,3246.0
其他流動負債增加（減少）,-96292.0,0.0,0.0,-4211.0
淨確定福利負債增加(減少),-94166.0,12840.0,6285.0,0.0
與營業活動相關之負債之淨變動合計,-97325.0,-216268.0,-309652.0,3946.0
與營業活動相關之資產及負債之淨變動合計,174.0,-210377.0,-301593.0,-337447.0
調整項目合計,-1210.0,-218048.0,-307497.0,-326768.0
營運產生之現金流入（流出）,-1044.0,580.0,1444.0,-348866.0
收取之利息,-99405.0,0.0,4944.0,3314.0
收取之股利,,-2566.0,-4388.0,4944.0
支付之利息,0.0,-1716.0,-1223.0,-6479.0
退還（支付）之所得稅,0.0,-221750.0,-306720.0,-1540.0
營業活動之淨現金流入（流出）,0.0,,,-348627.0
投資活動之現金流量,0.0,0.0,0.0,
處分透過其他綜合損益按公允價值衡量之金融資產,,0.0,0.0,0.0
取得不動產、廠房及設備,80000.0,0.0,0.0,0.0
處分不動產、廠房及設備,9986.0,,0.0,0.0
取得投資性不動產,-9308.0,220000.0,0.0,0.0
其他非流動資產減少,-2052.0,10001.0,0.0,-191.0
投資活動之淨現金流入（流出）,78626.0,-18613.0,,-191.0
籌資活動之現金流量,892.0,-4112.0,390000.0,
短期借款增加,-19887.0,-21.0,9956.0,2300000.0
短期借款減少,241638.0,207255.0,-27936.0,-2520000.0
應付短期票券增加,221751.0,1801.0,-6182.0,210000.0
應付短期票券減少,221751.0,-12694.0,-21.0,-199987.0
