會計項目,Q1金額,Q1百分比(%),Q2金額,Q2百分比(%),Q3金額,Q3百分比(%),Q4金額,Q4百分比(%)
銷貨收入淨額,2986638.0,99.05,3167609.0,98.84,3042419.0,98.92,12136640.0,98.86
其他營業收入淨額,28727.0,0.95,37023.0,1.16,33120.0,1.08,140361.0,1.14
營業收入合計,3015365.0,100.0,3204632.0,100.0,3075539.0,100.0,12277001.0,100.0
銷貨成本,2629739.0,87.21,2813850.0,87.81,2644900.0,86.0,10494287.0,85.48
營業成本合計,2629739.0,87.21,2813850.0,87.81,2644900.0,86.0,10494287.0,85.48
營業毛利（毛損）,385626.0,12.79,390782.0,12.19,430639.0,14.0,1782714.0,14.52
已實現銷貨（損）益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
營業毛利（毛損）淨額,385626.0,12.79,390782.0,12.19,430639.0,14.0,1782714.0,14.52
營業費用,,,,,,,,
推銷費用,188530.0,6.25,202743.0,6.33,137245.0,4.46,703478.0,5.73
管理費用,167163.0,5.54,174636.0,5.45,239988.0,7.8,703453.0,5.73
研究發展費用,54033.0,1.79,53812.0,1.68,51691.0,1.68,207769.0,1.69
預期信用減損損失（利益）,-14749.0,-0.49,3976.0,0.12,12342.0,0.4,19130.0,0.16
營業費用合計,394977.0,13.1,435167.0,13.58,441266.0,14.35,1633830.0,13.31
其他收益及費損淨額,,,,,,,,
其他收益及費損淨額,5491.0,0.18,-7667.0,-0.24,-7168.0,-0.23,-17861.0,-0.15
營業利益（損失）,-3860.0,-0.13,-52052.0,-1.62,-17795.0,-0.58,131023.0,1.07
營業外收入及支出,,,,,,,,
利息收入,7354.0,0.24,5826.0,0.18,16564.0,0.54,53266.0,0.43
其他收入,24065.0,0.8,43498.0,1.36,42632.0,1.39,135763.0,1.11
其他利益及損失淨額,158617.0,5.26,137804.0,4.3,200923.0,6.53,329755.0,2.69
財務成本淨額,39005.0,1.29,41059.0,1.28,48319.0,1.57,187132.0,1.52
採用權益法認列之關聯企業及合資損益之份額淨額,3091.0,0.1,14957.0,0.47,23038.0,0.75,30347.0,0.25
營業外收入及支出合計,154122.0,5.11,161026.0,5.02,234838.0,7.64,361999.0,2.95
稅前淨利（淨損）,150262.0,4.98,108974.0,3.4,217043.0,7.06,493022.0,4.02
所得稅費用（利益）合計,24981.0,0.83,6297.0,0.2,18030.0,0.59,86790.0,0.71
繼續營業單位本期淨利（淨損）,125281.0,4.15,102677.0,3.2,199013.0,6.47,406232.0,3.31
本期淨利（淨損）,125281.0,4.15,102677.0,3.2,199013.0,6.47,406232.0,3.31
其他綜合損益(淨額),,,,,,,,
透過其他綜合損益按公允價值衡量之權益工具投資未實現評價損益,-14150.0,-0.47,-43952.0,-1.37,5489.0,0.18,7875.0,0.06
採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,-192.0,-0.01,-1514.0,-0.05,176.0,0.01,-60868.0,-0.5
不重分類至損益之項目：,-14342.0,-0.48,-45466.0,-1.42,5665.0,0.18,-1154.0,-0.01
國外營運機構財務報表換算之兌換差額,207131.0,6.87,37533.0,1.17,206471.0,6.71,1256.0,0.01
採用權益法認列之關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,20453.0,0.68,2769.0,0.09,40286.0,1.31,-55403.0,-0.45
與可能重分類之項目相關之所得稅,41442.0,1.37,6918.0,0.22,42325.0,1.38,322688.0,2.63
後續可能重分類至損益之項目：,186142.0,6.17,33384.0,1.04,204432.0,6.65,46355.0,0.38
其他綜合損益（淨額）,171800.0,5.7,-12082.0,-0.38,210097.0,6.83,67706.0,0.55
本期綜合損益總額,297081.0,9.85,90595.0,2.83,409110.0,13.3,301337.0,2.45
淨利（損）歸屬於：,,,,,,,245934.0,2.0
母公司業主（淨利∕損）,117050.0,3.88,95562.0,2.98,171357.0,5.57,652166.0,5.31
非控制權益（淨利∕損）,8231.0,0.27,7115.0,0.22,27656.0,0.9,,
母公司業主（綜合損益）,272592.0,9.04,98423.0,3.07,355294.0,11.55,367058.0,2.99
非控制權益（綜合損益）,24489.0,0.81,-7828.0,-0.24,53816.0,1.75,39174.0,0.32
基本每股盈餘,,,,,,,599977.0,4.89
基本每股盈餘,0.3,,0.25,,0.45,,52189.0,0.43
稀釋每股盈餘,,,,,0.45,,,
稀釋每股盈餘,0.3,,0.25,,,,0.95,
