會計項目,Q1金額,Q1百分比(%),Q2金額,Q2百分比(%),Q3金額,Q3百分比(%),Q4金額,Q4百分比(%)
流動資產,,,,,,,,
現金及約當現金,554701.0,56.84,635407.0,59.09,690519.0,57.94,638274.0,49.79
按攤銷後成本衡量之金融資產－流動,27151.0,2.78,57983.0,5.39,61620.0,5.17,167451.0,13.06
應收票據淨額,37780.0,3.87,51049.0,4.75,59878.0,5.02,48945.0,3.82
應收票據－關係人淨額,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
應收帳款淨額,251794.0,25.8,236716.0,22.01,265361.0,22.26,254254.0,19.83
應收帳款－關係人淨額,0.0,0.0,0.0,0.0,27685.0,2.32,87552.0,6.83
其他應收款淨額,1736.0,0.18,2753.0,0.26,2895.0,0.24,4443.0,0.35
本期所得稅資產,46.0,0.0,71.0,0.01,198.0,0.02,555.0,0.04
存貨,76021.0,7.79,61499.0,5.72,70753.0,5.94,72593.0,5.66
預付款項,7038.0,0.72,10254.0,0.95,11976.0,1.0,6938.0,0.54
流動資產合計,956267.0,97.99,1055732.0,98.18,1190885.0,99.92,1281005.0,99.93
非流動資產,,,,,,,,
採用權益法之投資,0.0,0.0,0.0,0.0,137.0,0.01,108.0,0.01
不動產、廠房及設備,193.0,0.02,165.0,0.02,511.0,0.04,485.0,0.04
其他非流動資產,19449.0,1.99,532.0,0.05,300.0,0.03,300.0,0.02
非流動資產合計,19642.0,2.01,18917.0,1.76,948.0,0.08,893.0,0.07
資產總額,975909.0,100.0,19614.0,1.82,1191833.0,100.0,1281898.0,100.0
流動負債,,,1075346.0,100.0,,,,
合約負債－流動,42.0,0.0,,,42.0,0.0,42.0,0.0
應付票據,0.0,0.0,42.0,0.0,4790.0,0.4,5380.0,0.42
應付帳款,5047.0,0.52,4939.0,0.46,205162.0,17.21,256177.0,19.98
應付帳款－關係人,189565.0,19.42,198473.0,18.46,5507.0,0.46,8912.0,0.7
其他應付款,5093.0,0.52,6080.0,0.57,538.0,0.05,599.0,0.05
其他流動負債,305.0,0.03,443.0,0.04,216039.0,18.13,271110.0,21.15
流動負債合計,200052.0,20.5,209977.0,19.53,,,,
非流動負債,,,,,1566.0,0.13,1446.0,0.11
長期借款,1803.0,0.18,1684.0,0.16,2370.0,0.2,0.0,0.0
遞延所得稅負債,3852.0,0.39,3584.0,0.33,3936.0,0.33,1446.0,0.11
非流動負債合計,5655.0,0.58,5268.0,0.49,219975.0,18.46,272556.0,21.26
負債總額,205707.0,21.08,215245.0,20.02,,,,
歸屬於母公司業主之權益,,,,,,,,
股本,,,,,260168.0,21.83,260168.0,20.3
普通股股本,260168.0,26.66,260168.0,24.19,400000.0,33.56,400000.0,31.2
特別股股本,400000.0,40.99,400000.0,37.2,660168.0,55.39,660168.0,51.5
股本合計,660168.0,67.65,660168.0,61.39,,,,
資本公積,,,,,194851.0,16.35,194851.0,15.2
資本公積－發行溢價,194851.0,19.97,194851.0,18.12,162405.0,13.63,0.0,0.0
資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,162405.0,16.64,162405.0,15.1,357256.0,29.98,194851.0,15.2
資本公積合計,357256.0,36.61,357256.0,33.22,,,,
保留盈餘,,,,,-45566.0,-3.82,154323.0,12.04
未分配盈餘（或待彌補虧損）,-247222.0,-25.33,-157323.0,-14.63,-45566.0,-3.82,154323.0,12.04
保留盈餘合計,-247222.0,-25.33,-157323.0,-14.63,971858.0,81.54,1009342.0,78.74
歸屬於母公司業主之權益合計,770202.0,78.92,,,971858.0,81.54,1009342.0,78.74
權益總額,770202.0,78.92,0.0,0.0,1191833.0,100.0,1281898.0,100.0
負債及權益總計,975909.0,100.0,860101.0,79.98,0.0,,0.0,
待註銷股本股數（單位：股）,0.0,,860101.0,79.98,0.0,,0.0,
預收股款（權益項下）之約當發行股數（單位：股）,0.0,,1075346.0,100.0,0.0,,0.0,
母公司暨子公司所持有之母公司庫藏股股數（單位：股）,0.0,,0.0,,,,,
