會計項目,Q1金額,Q1百分比(%),Q2金額,Q2百分比(%),Q3金額,Q3百分比(%),Q4金額,Q4百分比(%)
流動資產,,,,,,,,
現金及約當現金,957253.0,2.17,827265.0,1.91,1831601.0,3.91,2460846.0,5.28
透過損益按公允價值衡量之金融資產－流動,12418.0,0.03,28497.0,0.07,25627.0,0.05,0.0,0.0
按攤銷後成本衡量之金融資產－流動,29086.0,0.07,76145.0,0.18,76145.0,0.16,17862.0,0.04
合約資產－流動,3994163.0,9.06,4670202.0,10.8,3687936.0,7.87,4672768.0,10.02
應收帳款淨額,2863126.0,6.49,2087300.0,4.83,3425532.0,7.31,1331521.0,2.86
其他應收款淨額,8684.0,0.02,10332.0,0.02,113932.0,0.24,9447.0,0.02
其他應收款－關係人淨額,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
存貨,2873102.0,6.51,3590307.0,8.3,5924396.0,12.65,5548029.0,11.9
預付款項,13373090.0,30.32,11552730.0,26.72,12040949.0,25.7,12710110.0,27.25
其他流動資產,19738.0,0.04,18331.0,0.04,18525.0,0.04,30170.0,0.06
流動資產合計,24130660.0,54.72,22861109.0,52.87,27144643.0,57.94,26780753.0,57.42
非流動資產,,,,,,,,
採用權益法之投資,1461283.0,3.31,1454643.0,3.36,0.0,0.0,1259.0,0.0
不動產、廠房及設備,13254978.0,30.06,13629086.0,31.52,3678.0,0.01,1437395.0,3.08
使用權資產,3339747.0,7.57,3277832.0,7.58,1443495.0,3.08,13049687.0,27.98
投資性不動產淨額,212069.0,0.48,211899.0,0.49,13034137.0,27.82,3150472.0,6.76
無形資產,39372.0,0.09,56675.0,0.13,3224213.0,6.88,211559.0,0.45
遞延所得稅資產,1527031.0,3.46,1527199.0,3.53,211729.0,0.45,53606.0,0.11
其他非流動資產,137066.0,0.31,221222.0,0.51,54955.0,0.12,1496828.0,3.21
非流動資產合計,19971546.0,45.28,20378556.0,47.13,1525509.0,3.26,456565.0,0.98
資產總額,44102206.0,100.0,43239665.0,100.0,207236.0,0.44,19857371.0,42.58
流動負債,,,,,19704952.0,42.06,46638124.0,100.0
短期借款,5678434.0,12.88,7413013.0,17.14,46849595.0,100.0,,
應付短期票券,3399178.0,7.71,3398761.0,7.86,,,7174580.0,15.38
合約負債－流動,8830588.0,20.02,6924930.0,16.02,8135426.0,17.36,3648608.0,7.82
應付票據,32422.0,0.07,32420.0,0.07,3708074.0,7.91,7688807.0,16.49
應付票據－關係人,0.0,0.0,0.0,0.0,8694020.0,18.56,17.0,0.0
應付帳款,1192838.0,2.7,1225982.0,2.84,5.0,0.0,1385564.0,2.97
其他應付款,828631.0,1.88,863330.0,2.0,0.0,0.0,1131560.0,2.43
本期所得稅負債,1619.0,0.0,0.0,0.0,1185090.0,2.53,6637.0,0.01
負債準備－流動,849842.0,1.93,964098.0,2.23,975200.0,2.08,1154186.0,2.47
租賃負債－流動,273537.0,0.62,273379.0,0.63,206.0,0.0,269504.0,0.58
其他流動負債,24971.0,0.06,72119.0,0.17,1101910.0,2.35,98049.0,0.21
流動負債合計,21112060.0,47.87,21168032.0,48.96,276339.0,0.59,22557512.0,48.37
非流動負債,,,,,72203.0,0.15,,
透過損益按公允價值衡量之金融負債－非流動,10115.0,0.02,24385.0,0.06,24148473.0,51.54,15896.0,0.03
應付公司債,1764287.0,4.0,1767855.0,4.09,,,1775013.0,3.81
長期借款,2548849.0,5.78,2608295.0,6.03,35042.0,0.07,7076985.0,15.17
遞延所得稅負債,1324698.0,3.0,1324697.0,3.06,1771430.0,3.78,1324697.0,2.84
租賃負債－非流動,3090096.0,7.01,3066761.0,7.09,4604307.0,9.83,2947811.0,6.32
其他非流動負債,1190103.0,2.7,1103577.0,2.55,1324697.0,2.83,1126583.0,2.42
非流動負債合計,9928148.0,22.51,9895570.0,22.89,2981168.0,6.36,14266985.0,30.59
負債總額,31040208.0,70.38,31063602.0,71.84,1111712.0,2.37,36824497.0,78.96
歸屬於母公司業主之權益,,,,,11828356.0,25.25,,
股本,,,,,35976829.0,76.79,,
普通股股本,9317873.0,21.13,9317873.0,21.55,,,9317873.0,19.98
股本合計,9317873.0,21.13,9317873.0,21.55,,,9317873.0,19.98
資本公積,,,,,9317873.0,19.89,,
資本公積－發行溢價,3606072.0,8.18,666037.0,1.54,9317873.0,19.89,666037.0,1.43
資本公積－認股權,86841.0,0.2,86841.0,0.2,,,86841.0,0.19
資本公積－其他,0.0,0.0,752878.0,1.74,666037.0,1.42,752878.0,1.61
資本公積合計,3692913.0,8.37,,,86841.0,0.19,,
保留盈餘,,,3166471.0,7.32,752878.0,1.61,3166471.0,6.79
特別盈餘公積,3166471.0,7.18,-1082346.0,-2.5,,,-3427274.0,-7.35
未分配盈餘（或待彌補虧損）,-3138642.0,-7.12,2084125.0,4.82,3166471.0,6.76,-260803.0,-0.56
保留盈餘合計,27829.0,0.06,12154876.0,28.11,-2382133.0,-5.08,9809948.0,21.03
歸屬於母公司業主之權益合計,13038615.0,29.56,21187.0,0.05,784338.0,1.67,3679.0,0.01
非控制權益,23383.0,0.05,12176063.0,28.16,10855089.0,23.17,9813627.0,21.04
權益總額,13061998.0,29.62,43239665.0,100.0,17677.0,0.04,46638124.0,100.0
負債及權益總計,44102206.0,100.0,0.0,,10872766.0,23.21,0.0,
待註銷股本股數（單位：股）,0.0,,0.0,,46849595.0,100.0,0.0,
預收股款（權益項下）之約當發行股數（單位：股）,0.0,,0.0,,0.0,,0.0,
母公司暨子公司所持有之母公司庫藏股股數（單位：股）,0.0,,,,0.0,,,
