會計項目,Q1金額,Q1百分比(%),Q2金額,Q2百分比(%),Q3金額,Q3百分比(%),Q4金額,Q4百分比(%)
營業收入合計,5568666.0,100.0,4221129.0,100.0,4301248.0,100.0,21994050.0,100.0
營業成本合計,5685394.0,102.1,5033404.0,119.24,5642224.0,131.18,25090814.0,114.08
營業毛利（毛損）,-116728.0,-2.1,-812275.0,-19.24,-1340976.0,-31.18,-3096764.0,-14.08
營業毛利（毛損）淨額,-116728.0,-2.1,-812275.0,-19.24,-1340976.0,-31.18,-3096764.0,-14.08
營業費用,,,,,,,,
推銷費用,15361.0,0.28,16908.0,0.4,16005.0,0.37,66007.0,0.3
管理費用,88039.0,1.58,82467.0,1.95,86710.0,2.02,362014.0,1.65
研究發展費用,23574.0,0.42,25596.0,0.61,35269.0,0.82,209163.0,0.95
預期信用減損損失（利益）,1627.0,0.03,7838.0,0.19,5890.0,0.14,24391.0,0.11
營業費用合計,128601.0,2.31,132809.0,3.15,143874.0,3.34,661575.0,3.01
營業利益（損失）,-245329.0,-4.41,-945084.0,-22.39,-1484850.0,-34.52,-3758339.0,-17.09
營業外收入及支出,,,,,,,,
利息收入,377.0,0.01,815.0,0.02,4184.0,0.1,19377.0,0.09
其他收入,12882.0,0.23,20475.0,0.49,53785.0,1.25,179342.0,0.82
其他利益及損失淨額,61609.0,1.11,75991.0,1.8,177746.0,4.13,209228.0,0.95
財務成本淨額,27707.0,0.5,31661.0,0.75,41117.0,0.96,162460.0,0.74
採用權益法認列之關聯企業及合資損益之份額淨額,-5597.0,-0.1,-6640.0,-0.16,-11148.0,-0.26,-29485.0,-0.13
營業外收入及支出合計,41564.0,0.75,58980.0,1.4,183450.0,4.27,216002.0,0.98
稅前淨利（淨損）,-203765.0,-3.66,-886104.0,-20.99,-1301400.0,-30.26,-3542337.0,-16.11
所得稅費用（利益）合計,-2223.0,-0.04,-169.0,0.0,1897.0,0.04,6151.0,0.03
繼續營業單位本期淨利（淨損）,-201542.0,-3.62,-885935.0,-20.99,-1303297.0,-30.3,-3548488.0,-16.13
本期淨利（淨損）,-201542.0,-3.62,-885935.0,-20.99,-1303297.0,-30.3,-3548488.0,-16.13
本期綜合損益總額,-201542.0,-3.62,-885935.0,-20.99,-1303297.0,-30.3,,
淨利（損）歸屬於：,,,,,,,145156.0,0.66
母公司業主（淨利∕損）,-198607.0,-3.57,-883739.0,-20.94,-1299787.0,-30.22,29031.0,0.13
非控制權益（淨利∕損）,-2935.0,-0.05,-2196.0,-0.05,-3510.0,-0.08,116125.0,0.53
母公司業主（綜合損益）,-198607.0,-3.57,-883739.0,-20.94,-1299787.0,-30.22,116125.0,0.53
非控制權益（綜合損益）,-2935.0,-0.05,-2196.0,-0.05,-3510.0,-0.08,-3432363.0,-15.61
基本每股盈餘,,,,,,,,
繼續營業單位淨利（淨損）,-0.21,,-0.95,,-1.39,,-3526768.0,-16.04
基本每股盈餘,-0.21,,-0.95,,-1.39,,-21720.0,-0.1
