會計項目,Q1金額,Q2金額,Q3金額,Q4金額
營業活動之現金流量－間接法,,,,
繼續營業單位稅前淨利（淨損）,-203765.0,-1089869.0,-2391269.0,-3542337.0
本期稅前淨利（淨損）,-203765.0,-1089869.0,-2391269.0,-3542337.0
折舊費用,223081.0,451519.0,681290.0,902879.0
攤銷費用,4962.0,10373.0,15978.0,21857.0
預期信用減損損失（利益）數∕呆帳費用提列（轉列收入）數,1627.0,9465.0,15355.0,24391.0
透過損益按公允價值衡量金融資產及負債之淨損失（利益）,11696.0,9887.0,23414.0,18245.0
利息費用,27707.0,59368.0,100485.0,162460.0
利息收入,-377.0,-1192.0,-5376.0,-19377.0
股份基礎給付酬勞成本,0.0,0.0,0.0,0.0
採用權益法認列之關聯企業及合資損失（利益）之份額,5597.0,12237.0,23385.0,29485.0
處分及報廢不動產、廠房及設備損失（利益）,104.0,298.0,302.0,522.0
其他項目,-2997.0,-5994.0,-8991.0,-11987.0
收益費損項目合計,271400.0,545961.0,845842.0,1128475.0
強制透過損益按公允價值衡量之金融資產（增加）減少,-890131.0,-1572159.0,-591971.0,11649.0
合約資產（增加）減少,-815630.0,-37798.0,-1379842.0,-1582275.0
應收帳款（增加）減少,2194.0,363.0,-102814.0,715114.0
其他應收款（增加）減少,117.0,117.0,117.0,1867.0
其他應收款－關係人（增加）減少,-45865.0,-763070.0,-3092651.0,117.0
存貨（增加）減少,-100853.0,1719507.0,1231288.0,-2720792.0
預付款項（增加）減少,-572.0,1012.0,1216.0,562127.0
其他流動資產（增加）減少,6290.0,11403.0,11403.0,-11009.0
其他營業資產（增加）減少,-1844450.0,-640625.0,-3923254.0,25162.0
與營業活動相關之資產之淨變動合計,-1557258.0,-3462916.0,-1693826.0,-2998040.0
合約負債增加（減少）,-2.0,-4.0,-32419.0,-2699039.0
應付票據增加（減少）,0.0,0.0,0.0,-32407.0
應付票據－關係人增加（減少）,142401.0,175545.0,134653.0,0.0
應付帳款增加（減少）,-372514.0,-335832.0,-209183.0,335127.0
其他應付款增加（減少）,-168544.0,-54288.0,83524.0,-70392.0
負債準備增加（減少）,10381.0,5889.0,-3709.0,135800.0
預收款項增加（減少）,0.0,1178.0,7468.0,39081.0
淨確定福利負債增加(減少),-1945536.0,-3670428.0,-1713492.0,0.0
與營業活動相關之負債之淨變動合計,-3789986.0,-4311053.0,-5636746.0,-2291830.0
與營業活動相關之資產及負債之淨變動合計,-3518586.0,-3765092.0,-4790904.0,-5289870.0
調整項目合計,-3722351.0,-4854961.0,-7182173.0,-4161395.0
營運產生之現金流入（流出）,127.0,1125.0,4887.0,-7703732.0
收取之利息,-20487.0,-44423.0,-77199.0,18691.0
支付之利息,-405.0,-2202.0,-2600.0,-131167.0
退還（支付）之所得稅,-3743116.0,-4900461.0,-7257085.0,-2585.0
營業活動之淨現金流入（流出）,,,,-7818793.0
投資活動之現金流量,-12245.0,-59304.0,-62982.0,
取得按攤銷後成本衡量之金融資產,0.0,0.0,0.0,-2280.0
取得採用權益法之投資,-567196.0,93.0,-12407.0,0.0
對子公司之收購（扣除所取得之現金）,-7530.0,-1136708.0,-721940.0,-12407.0
取得不動產、廠房及設備,42636.0,-95236.0,263.0,-881130.0
處分不動產、廠房及設備,-4908.0,48764.0,-125204.0,263.0
存出保證金增加,-549243.0,-14622.0,92718.0,-268591.0
存出保證金減少,,-1257013.0,-18507.0,118173.0
取得無形資產,2802600.0,,-848059.0,-23037.0
投資活動之淨現金流入（流出）,0.0,4537179.0,,-1069009.0
籌資活動之現金流量,-200000.0,0.0,5259592.0,
短期借款增加,0.0,-200000.0,0.0,4298746.0
短期借款減少,0.0,60000.0,110000.0,0.0
應付短期票券增加,37136.0,0.0,2060000.0,50000.0
舉借長期借款,-23098.0,69929.0,0.0,4531180.0
償還長期借款,-92849.0,-91307.0,101593.0,0.0
存入保證金增加,-6061.0,-116237.0,-111583.0,143419.0
存入保證金減少,0.0,-6709.0,-208171.0,-147759.0
租賃本金償還,2517728.0,0.0,-6570.0,-234448.0
其他非流動負債減少,-1774631.0,4252855.0,0.0,-6824.0
現金增資,2731884.0,-1904619.0,7204861.0,0.0
取得子公司股權,957253.0,2731884.0,-900283.0,-17550.0
籌資活動之淨現金流入（流出）,957253.0,827265.0,2731884.0,8616764.0
