會計項目,Q1金額,Q2金額,Q3金額,Q4金額
營業活動之現金流量－間接法,,,,
繼續營業單位稅前淨利（淨損）,-132828.0,-259962.0,-350982.0,-466109.0
本期稅前淨利（淨損）,-132828.0,-259962.0,-350982.0,-466109.0
折舊費用,43122.0,88284.0,134901.0,182189.0
攤銷費用,8620.0,17217.0,25788.0,35036.0
預期信用減損損失（利益）數∕呆帳費用提列（轉列收入）數,-10766.0,-10777.0,-10778.0,5660.0
透過損益按公允價值衡量金融資產及負債之淨損失（利益）,5049.0,10909.0,24844.0,8094.0
利息費用,7792.0,17708.0,31733.0,48609.0
利息收入,-419.0,-1174.0,-1929.0,-4481.0
股利收入,8495.0,8495.0,-97.0,-97.0
股份基礎給付酬勞成本,-90.0,-144.0,8495.0,8495.0
處分及報廢不動產、廠房及設備損失（利益）,61803.0,130518.0,-327.0,-292.0
收益費損項目合計,6835.0,-211.0,212630.0,283213.0
應收票據（增加）減少,124612.0,138572.0,-4912.0,13351.0
應收帳款（增加）減少,45074.0,35968.0,4026.0,213251.0
應收帳款－關係人（增加）減少,-65638.0,1108.0,10516.0,26188.0
其他應收款（增加）減少,-158.0,-414340.0,19564.0,18878.0
存貨（增加）減少,-266618.0,-45671.0,-196773.0,-167517.0
預付款項（增加）減少,-31821.0,-284574.0,-8351.0,-10086.0
與營業活動相關之資產之淨變動合計,-187714.0,17203.0,-175930.0,94065.0
合約負債增加（減少）,1433.0,-171508.0,20987.0,38571.0
應付帳款增加（減少）,-91789.0,-10223.0,-178367.0,-186724.0
應付帳款－關係人增加（減少）,-26089.0,-57304.0,-12512.0,-4266.0
其他應付款增加（減少）,-46927.0,3445.0,-51131.0,-57371.0
負債準備增加（減少）,915.0,-1952.0,16522.0,21381.0
其他流動負債增加（減少）,-306.0,-31789.0,15814.0,20302.0
淨確定福利負債增加(減少),-31679.0,-252128.0,-31729.0,-33159.0
與營業活動相關之負債之淨變動合計,-194442.0,-536702.0,-220416.0,-201266.0
與營業活動相關之資產及負債之淨變動合計,-382156.0,-406184.0,-396346.0,-107201.0
調整項目合計,-320353.0,-666146.0,-183716.0,176012.0
營運產生之現金流入（流出）,-453181.0,1141.0,-534698.0,-290097.0
收取之利息,393.0,-16634.0,1832.0,4514.0
收取之股利,-7242.0,-49981.0,97.0,97.0
支付之利息,-37892.0,-731620.0,-25852.0,-41924.0
退還（支付）之所得稅,-497922.0,,-52975.0,-51899.0
營業活動之淨現金流入（流出）,,-2521.0,-611596.0,-379309.0
投資活動之現金流量,-31327.0,-32017.0,,
取得按攤銷後成本衡量之金融資產,-43852.0,-73155.0,-2649.0,-5055.0
取得透過損益按公允價值衡量之金融資產,98.0,164.0,-32603.0,-33346.0
取得不動產、廠房及設備,-144.0,-144.0,-132313.0,-186999.0
處分不動產、廠房及設備,-2834.0,-13415.0,595.0,4393.0
存出保證金減少,-78059.0,-121088.0,-199.0,-200.0
取得無形資產,,,-27658.0,-36412.0
投資活動之淨現金流入（流出）,1067927.0,2272632.0,-194827.0,-257619.0
籌資活動之現金流量,-937083.0,-2339903.0,,
短期借款增加,11000.0,171700.0,2848297.0,3401969.0
短期借款減少,-12988.0,-25977.0,-2792766.0,-3390957.0
舉借長期借款,-14566.0,-29347.0,172565.0,168347.0
償還長期借款,518700.0,518700.0,-38965.0,-55294.0
租賃本金償還,632990.0,567805.0,-30517.0,-31904.0
現金增資,9341.0,8326.0,518700.0,518700.0
籌資活動之淨現金流入（流出）,66350.0,-276577.0,677314.0,610861.0
匯率變動對現金及約當現金之影響,1138191.0,1138191.0,15426.0,12277.0
本期現金及約當現金增加（減少）數,1204541.0,861614.0,-113683.0,-13790.0
期初現金及約當現金餘額,1204541.0,861614.0,1138191.0,1138191.0
