會計項目,Q1金額,Q1百分比(%),Q2金額,Q2百分比(%),Q3金額,Q3百分比(%),Q4金額,Q4百分比(%)
營業收入合計,273124.0,100.0,262089.0,100.0,246431.0,100.0,1010890.0,100.0
營業成本合計,209246.0,76.61,202798.0,77.38,181872.0,73.8,750759.0,74.27
營業毛利（毛損）,63878.0,23.39,59291.0,22.62,64559.0,26.2,260131.0,25.73
營業毛利（毛損）淨額,63878.0,23.39,59291.0,22.62,64559.0,26.2,260131.0,25.73
營業費用,,,,,,,,
推銷費用,20180.0,7.39,22345.0,8.53,22581.0,9.16,88656.0,8.77
管理費用,17816.0,6.52,20348.0,7.76,19038.0,7.73,71577.0,7.08
研究發展費用,19338.0,7.08,21483.0,8.2,20724.0,8.41,79300.0,7.84
預期信用減損損失（利益）,87.0,0.03,-161.0,-0.06,-24.0,-0.01,-62.0,-0.01
營業費用合計,57421.0,21.02,64015.0,24.42,62319.0,25.29,239471.0,23.69
營業利益（損失）,6457.0,2.36,-4724.0,-1.8,2240.0,0.91,20660.0,2.04
營業外收入及支出,,,,,,,,
利息收入,264.0,0.1,547.0,0.21,1338.0,0.54,4838.0,0.48
其他收入,278.0,0.1,14768.0,5.63,421.0,0.17,15761.0,1.56
其他利益及損失淨額,7852.0,2.87,7173.0,2.74,15158.0,6.15,21300.0,2.11
財務成本淨額,5350.0,1.96,6001.0,2.29,6317.0,2.56,24106.0,2.38
採用權益法認列之關聯企業及合資損益之份額淨額,0.0,0.0,466.0,0.18,597.0,0.24,2627.0,0.26
營業外收入及支出合計,3044.0,1.11,16953.0,6.47,11197.0,4.54,20420.0,2.02
稅前淨利（淨損）,9501.0,3.48,12229.0,4.67,13437.0,5.45,41080.0,4.06
所得稅費用（利益）合計,1903.0,0.7,1287.0,0.49,2660.0,1.08,8488.0,0.84
繼續營業單位本期淨利（淨損）,7598.0,2.78,10942.0,4.17,10777.0,4.37,32592.0,3.22
本期淨利（淨損）,7598.0,2.78,10942.0,4.17,10777.0,4.37,32592.0,3.22
其他綜合損益(淨額),,,,,,,,
透過其他綜合損益按公允價值衡量之權益工具投資未實現評價損益,-24797.0,-9.08,-23537.0,-8.98,18550.0,7.53,2933.0,0.29
不重分類至損益之項目：,-24797.0,-9.08,-23537.0,-8.98,18550.0,7.53,-27713.0,-2.74
其他綜合損益（淨額）,-24797.0,-9.08,-23537.0,-8.98,18550.0,7.53,-24780.0,-2.45
本期綜合損益總額,-17199.0,-6.3,-12595.0,-4.81,29327.0,11.9,-24780.0,-2.45
淨利（損）歸屬於：,,,,,,,7812.0,0.77
母公司業主（淨利∕損）,2328.0,0.85,4724.0,1.8,3650.0,1.48,,
非控制權益（淨利∕損）,5270.0,1.93,6218.0,2.37,7127.0,2.89,9378.0,0.93
母公司業主（綜合損益）,-22469.0,-8.23,-18813.0,-7.18,22200.0,9.01,23214.0,2.3
非控制權益（綜合損益）,5270.0,1.93,6218.0,2.37,7127.0,2.89,-15402.0,-1.52
基本每股盈餘,,,,,,,23214.0,2.3
繼續營業單位淨利（淨損）,0.05,,0.11,,0.08,,,
基本每股盈餘,0.05,,0.11,,0.08,,0.66,
