會計項目,Q1金額,Q1百分比(%),Q2金額,Q2百分比(%),Q3金額,Q3百分比(%),Q4金額,Q4百分比(%)
流動資產,,,,,,,,
現金及約當現金,6669623.0,18.33,6895640.0,18.08,13577711.0,32.13,8695372.0,18.88
透過損益按公允價值衡量之金融資產－流動,35032.0,0.1,45054.0,0.12,264157.0,0.63,218035.0,0.47
透過其他綜合損益按公允價值衡量之金融資產－流動,232071.0,0.64,180630.0,0.47,174562.0,0.41,183224.0,0.4
按攤銷後成本衡量之金融資產－流動,391274.0,1.08,268599.0,0.7,123400.0,0.29,5918726.0,12.85
應收帳款淨額,10264884.0,28.21,11998869.0,31.46,11389922.0,26.95,13138205.0,28.52
應收帳款－關係人淨額,0.0,0.0,87.0,0.0,206.0,0.0,1143.0,0.0
其他應收款淨額,374643.0,1.03,778911.0,2.04,554140.0,1.31,581505.0,1.26
其他應收款－關係人淨額,8922.0,0.02,8930.0,0.02,9100.0,0.02,9223.0,0.02
存貨,14543626.0,39.98,14152879.0,37.11,12426630.0,29.4,12788108.0,27.76
預付款項,160160.0,0.44,169418.0,0.44,205802.0,0.49,341067.0,0.74
其他流動資產,12650.0,0.03,16812.0,0.04,5485.0,0.01,8153.0,0.02
流動資產合計,32692885.0,89.86,34515829.0,90.49,38731115.0,91.64,41882761.0,90.93
非流動資產,,,,,,,,
透過損益按公允價值衡量之金融資產－非流動,230749.0,0.63,225192.0,0.59,162592.0,0.38,108999.0,0.24
採用權益法之投資,11299.0,0.03,10986.0,0.03,10632.0,0.03,22472.0,0.05
不動產、廠房及設備,1442170.0,3.96,1441902.0,3.78,1408729.0,3.33,10387.0,0.02
使用權資產,1654089.0,4.55,1583415.0,4.15,1545239.0,3.66,1804418.0,3.92
無形資產,110331.0,0.3,102015.0,0.27,102144.0,0.24,1641644.0,3.56
遞延所得稅資產,52532.0,0.14,69569.0,0.18,102483.0,0.24,167915.0,0.36
其他非流動資產,186938.0,0.51,192568.0,0.5,201310.0,0.48,151492.0,0.33
非流動資產合計,3688108.0,10.14,3625647.0,9.51,3533129.0,8.36,270721.0,0.59
資產總額,36380993.0,100.0,38141476.0,100.0,42264244.0,100.0,4178048.0,9.07
流動負債,,,,,,,46060809.0,100.0
合約負債－流動,799518.0,2.2,831177.0,2.18,350000.0,0.83,,
應付帳款,10590923.0,29.11,10331396.0,27.09,858120.0,2.03,876472.0,1.9
其他應付款,3649215.0,10.03,7415717.0,19.44,11514738.0,27.24,12477718.0,27.09
其他應付款項－關係人,3081.0,0.01,0.0,0.0,4178686.0,9.89,4568859.0,9.92
本期所得稅負債,1459753.0,4.01,1165592.0,3.06,0.0,0.0,2071691.0,4.5
負債準備－流動,99847.0,0.27,101394.0,0.27,1658911.0,3.93,264711.0,0.57
租賃負債－流動,216031.0,0.59,205842.0,0.54,185703.0,0.44,227890.0,0.49
其他流動負債,361507.0,0.99,413275.0,1.08,220323.0,0.52,1080336.0,2.35
流動負債合計,17179875.0,47.22,20464393.0,53.65,431394.0,1.02,21567677.0,46.82
非流動負債,,,,,19397875.0,45.9,,
長期借款,935871.0,2.57,870838.0,2.28,,,2605332.0,5.66
租賃負債－非流動,1188826.0,3.27,1134826.0,2.98,3300985.0,7.81,268380.0,0.58
其他非流動負債,61249.0,0.17,53301.0,0.14,268380.0,0.64,1167014.0,2.53
非流動負債合計,2185946.0,6.01,2058965.0,5.4,1092078.0,2.58,24245.0,0.05
負債總額,19365821.0,53.23,22523358.0,59.05,48468.0,0.11,4064971.0,8.83
歸屬於母公司業主之權益,,,,,4709911.0,11.14,25632648.0,55.65
股本,,,,,24107786.0,57.04,,
普通股股本,5600484.0,15.39,5600484.0,14.68,,,,
股本合計,5600484.0,15.39,5600484.0,14.68,,,5601399.0,12.16
資本公積,,,,,5600584.0,13.25,5601399.0,12.16
資本公積合計,844028.0,2.32,857284.0,2.25,5600584.0,13.25,,
保留盈餘,,,,,,,857568.0,1.86
法定盈餘公積,2347651.0,6.45,2818364.0,7.39,857315.0,2.03,,
特別盈餘公積,473221.0,1.3,494541.0,1.3,,,2818364.0,6.12
未分配盈餘（或待彌補虧損）,8122048.0,22.32,6343299.0,16.63,2818364.0,6.67,494541.0,1.07
保留盈餘合計,10942920.0,30.08,9656204.0,25.32,494541.0,1.17,11169304.0,24.25
其他權益,,,,,8804509.0,20.83,14482209.0,31.44
其他權益合計,-321261.0,-0.88,-444855.0,-1.17,12117414.0,28.67,,
庫藏股票,-50999.0,-0.14,-50999.0,-0.13,,,-462016.0,-1.0
歸屬於母公司業主之權益合計,17015172.0,46.77,15618118.0,40.95,-367856.0,-0.87,-50999.0,-0.11
非控制權益,0.0,0.0,0.0,0.0,-50999.0,-0.12,20428161.0,44.35
權益總額,17015172.0,46.77,15618118.0,40.95,18156458.0,42.96,0.0,0.0
負債及權益總計,36380993.0,100.0,38141476.0,100.0,0.0,0.0,20428161.0,44.35
預收股款（權益項下）之約當發行股數（單位：股）,0.0,,0.0,,18156458.0,42.96,46060809.0,100.0
母公司暨子公司所持有之母公司庫藏股股數（單位：股）,2209867.0,,2209867.0,,42264244.0,100.0,0.0,
