會計項目,Q1金額,Q1百分比(%),Q2金額,Q2百分比(%),Q3金額,Q3百分比(%),Q4金額,Q4百分比(%)
銷貨收入淨額,15729561.0,100.0,18696180.0,100.0,20581333.0,100.0,77205223.0,100.0
營業收入合計,15729561.0,100.0,18696180.0,100.0,20581333.0,100.0,77205223.0,100.0
銷貨成本,12748815.0,81.05,14621999.0,78.21,16048288.0,77.97,60686961.0,78.6
營業成本合計,12748815.0,81.05,14621999.0,78.21,16048288.0,77.97,60686961.0,78.6
營業毛利（毛損）,2980746.0,18.95,4074181.0,21.79,4533045.0,22.03,16518262.0,21.4
營業毛利（毛損）淨額,2980746.0,18.95,4074181.0,21.79,4533045.0,22.03,16518262.0,21.4
營業費用,,,,,,,,
推銷費用,381624.0,2.43,420927.0,2.25,517335.0,2.51,1840534.0,2.38
管理費用,450253.0,2.86,517081.0,2.77,593510.0,2.88,2073295.0,2.69
研究發展費用,639105.0,4.06,688449.0,3.68,803179.0,3.9,2972931.0,3.85
預期信用減損損失（利益）,42.0,0.0,281.0,0.0,-1633.0,-0.01,-1106.0,0.0
營業費用合計,1471024.0,9.35,1626738.0,8.7,1912391.0,9.29,6885654.0,8.92
營業利益（損失）,1509722.0,9.6,2447443.0,13.09,2620654.0,12.73,9632608.0,12.48
營業外收入及支出,,,,,,,,
利息收入,9595.0,0.06,15933.0,0.09,37925.0,0.18,179228.0,0.23
其他收入,7333.0,0.05,24219.0,0.13,32183.0,0.16,99428.0,0.13
其他利益及損失淨額,79640.0,0.51,157902.0,0.84,599022.0,2.91,433860.0,0.56
財務成本淨額,14574.0,0.09,13204.0,0.07,16342.0,0.08,68062.0,0.09
採用權益法認列之關聯企業及合資損益之份額淨額,-227.0,0.0,-313.0,0.0,-354.0,0.0,-1139.0,0.0
營業外收入及支出合計,81767.0,0.52,184537.0,0.99,652434.0,3.17,643315.0,0.83
稅前淨利（淨損）,1591489.0,10.12,2631980.0,14.08,3273088.0,15.9,10275923.0,13.31
所得稅費用（利益）合計,304276.0,1.93,559120.0,2.99,811878.0,3.94,2110111.0,2.73
繼續營業單位本期淨利（淨損）,1287213.0,8.18,2072860.0,11.09,2461210.0,11.96,8165812.0,10.58
本期淨利（淨損）,1287213.0,8.18,2072860.0,11.09,2461210.0,11.96,8165812.0,10.58
其他綜合損益(淨額),,,,,,,,
透過其他綜合損益按公允價值衡量之權益工具投資未實現評價損益,-22905.0,-0.15,-56738.0,-0.3,-15887.0,-0.08,20266.0,0.03
不重分類至損益之項目：,-22905.0,-0.15,-56738.0,-0.3,-15887.0,-0.08,-89656.0,-0.12
國外營運機構財務報表換算之兌換差額,196185.0,1.25,-66856.0,-0.36,92886.0,0.45,-69390.0,-0.09
後續可能重分類至損益之項目：,196185.0,1.25,-66856.0,-0.36,92886.0,0.45,122181.0,0.16
其他綜合損益（淨額）,173280.0,1.1,-123594.0,-0.66,76999.0,0.37,122181.0,0.16
本期綜合損益總額,1460493.0,9.29,1949266.0,10.43,2538209.0,12.33,52791.0,0.07
淨利（損）歸屬於：,,,,,,,8218603.0,10.65
母公司業主（淨利∕損）,1287213.0,8.18,2072860.0,11.09,2461210.0,11.96,,
非控制權益（淨利∕損）,0.0,0.0,0.0,0.0,0.0,0.0,8165812.0,10.58
母公司業主（綜合損益）,1460493.0,9.29,1949266.0,10.43,2538209.0,12.33,0.0,0.0
非控制權益（綜合損益）,0.0,0.0,0.0,0.0,0.0,0.0,8218603.0,10.65
基本每股盈餘,,,,,,,0.0,0.0
繼續營業單位淨利（淨損）,2.31,,3.72,,4.41,,,
基本每股盈餘,2.31,,3.72,,4.41,,14.64,
稀釋每股盈餘,,,,,,,14.64,
繼續營業單位淨利（淨損）,2.29,,3.69,,4.38,,,
稀釋每股盈餘,2.29,,3.69,,4.38,,14.45,
