會計項目,Q1金額,Q1百分比(%),Q2金額,Q2百分比(%),Q3金額,Q3百分比(%),Q4金額,Q4百分比(%)
流動資產,,,,,,,,
現金及約當現金,19360.0,0.17,18467.0,0.19,19745.0,0.23,175393.0,1.89
透過損益按公允價值衡量之金融資產－流動,10414.0,0.09,953.0,0.01,954.0,0.01,786.0,0.01
透過其他綜合損益按公允價值衡量之金融資產－流動,5250219.0,47.14,3945272.0,39.79,2554145.0,29.76,3058871.0,32.9
按攤銷後成本衡量之金融資產－流動,5614.0,0.05,5829.0,0.06,4004.0,0.05,0.0,0.0
應收票據淨額,429.0,0.0,496.0,0.01,527.0,0.01,336.0,0.0
應收帳款淨額,51774.0,0.46,51809.0,0.52,51168.0,0.6,52695.0,0.57
其他應收款淨額,1310.0,0.01,1544.0,0.02,3232.0,0.04,4591.0,0.05
存貨,17099.0,0.15,15042.0,0.15,14931.0,0.17,13707.0,0.15
預付款項,21477.0,0.19,27680.0,0.28,28169.0,0.33,32212.0,0.35
其他流動資產,84.0,0.0,105.0,0.0,90.0,0.0,126.0,0.0
流動資產合計,5377780.0,48.28,4067197.0,41.02,2676965.0,31.19,3338717.0,35.91
非流動資產,,,,,,,,
透過其他綜合損益按公允價值衡量之金融資產－非流動,5116.0,0.05,5116.0,0.05,5116.0,0.06,7441.0,0.08
不動產、廠房及設備,1312044.0,11.78,1543943.0,15.57,1585271.0,18.47,1635475.0,17.59
投資性不動產淨額,4410049.0,39.59,4254775.0,42.91,4269963.0,49.75,4260464.0,45.82
無形資產,7943.0,0.07,7557.0,0.08,7260.0,0.08,6866.0,0.07
其他非流動資產,25498.0,0.23,36526.0,0.37,37922.0,0.44,49325.0,0.53
非流動資產合計,5760650.0,51.72,5847917.0,58.98,5905532.0,68.81,5959571.0,64.09
資產總額,11138430.0,100.0,9915114.0,100.0,8582497.0,100.0,9298288.0,100.0
流動負債,,,,,,,,
短期借款,1799500.0,16.16,2014500.0,20.32,2079500.0,24.23,2339000.0,25.16
應付短期票券,544658.0,4.89,359888.0,3.63,0.0,0.0,0.0,0.0
合約負債－流動,23651.0,0.21,34337.0,0.35,35363.0,0.41,36748.0,0.4
應付票據,0.0,0.0,0.0,0.0,5261.0,0.06,10784.0,0.12
應付帳款,9468.0,0.09,7054.0,0.07,84956.0,0.99,35455.0,0.38
其他應付款,37025.0,0.33,65583.0,0.66,583.0,0.01,482.0,0.01
其他流動負債,619.0,0.01,1174.0,0.01,2205663.0,25.7,2422469.0,26.05
流動負債合計,2414921.0,21.68,2482536.0,25.04,,,,
非流動負債,,,,,75420.0,0.88,105607.0,1.14
長期借款,2660.0,0.02,51430.0,0.52,1592156.0,18.55,1592156.0,17.12
遞延所得稅負債,1592156.0,14.29,1592156.0,16.06,13594.0,0.16,13882.0,0.15
其他非流動負債,14524.0,0.13,13698.0,0.14,1681170.0,19.59,1711645.0,18.41
非流動負債合計,1609340.0,14.45,1657284.0,16.71,3886833.0,45.29,4134114.0,44.46
負債總額,4024261.0,36.13,4139820.0,41.75,,,,
歸屬於母公司業主之權益,,,,,,,,
股本,,,,,2600391.0,30.3,2600391.0,27.97
普通股股本,2600391.0,23.35,2600391.0,26.23,2600391.0,30.3,2600391.0,27.97
特別股股本,0.0,0.0,2600391.0,26.23,,,,
債券換股權利證書,0.0,0.0,,,0.0,0.0,0.0,0.0
預收股本,0.0,0.0,0.0,0.0,,,,
待分配股票股利,0.0,0.0,,,1532258.0,17.85,1532258.0,16.48
特別股轉換普通股權利證書,0.0,0.0,1532258.0,15.45,-1442809.0,-16.81,-1480765.0,-15.93
待註銷股本,0.0,0.0,-1754323.0,-17.69,89449.0,1.04,51493.0,0.55
股本合計,2600391.0,23.35,-222065.0,-2.24,,,,
資本公積,,,,,2005824.0,23.37,2512290.0,27.02
資本公積合計,0.0,0.0,3396968.0,34.26,4695664.0,54.71,5164174.0,55.54
保留盈餘,,,5775294.0,58.25,4695664.0,54.71,5164174.0,55.54
法定盈餘公積,0.0,0.0,0.0,0.0,8582497.0,100.0,9298288.0,100.0
特別盈餘公積,1532258.0,13.76,5775294.0,58.25,0.0,,0.0,
未分配盈餘（或待彌補虧損）,-1720395.0,-15.45,9915114.0,100.0,0.0,,0.0,
保留盈餘合計,-188137.0,-1.69,0.0,,0.0,,,
其他權益,,,0.0,,,,,
透過其他綜合損益按公允價值衡量之金融資產未實現評價損益,4701915.0,42.21,0.0,,,,,
其他權益合計,4701915.0,42.21,,,,,,
庫藏股票,0.0,0.0,,,,,,
歸屬於母公司業主之權益合計,7114169.0,63.87,,,,,,
共同控制下前手權益,0.0,0.0,,,,,,
非控制權益,0.0,0.0,,,,,,
權益總額,7114169.0,63.87,,,,,,
負債及權益總計,11138430.0,100.0,,,,,,
預收股款（權益項下）之約當發行股數（單位：股）,0.0,,,,,,,
母公司暨子公司所持有之母公司庫藏股股數（單位：股）,0.0,,,,,,,
