會計項目,Q1金額,Q1百分比(%),Q2金額,Q2百分比(%),Q3金額,Q3百分比(%),Q4金額,Q4百分比(%)
營業收入合計,46910.0,100.0,38625.0,100.0,39799.0,100.0,165058.0,100.0
營業成本合計,23769.0,50.67,22074.0,57.15,14104.0,35.44,88913.0,53.87
營業毛利（毛損）,23141.0,49.33,16551.0,42.85,25695.0,64.56,76145.0,46.13
營業毛利（毛損）淨額,23141.0,49.33,16551.0,42.85,25695.0,64.56,76145.0,46.13
營業費用,,,,,,,,
推銷費用,14896.0,31.75,14570.0,37.72,14642.0,36.79,60196.0,36.47
管理費用,31069.0,66.23,28453.0,73.66,30152.0,75.76,114644.0,69.46
研究發展費用,1428.0,3.04,1064.0,2.75,1009.0,2.54,4529.0,2.74
營業費用合計,47393.0,101.03,44087.0,114.14,45803.0,115.09,179369.0,108.67
營業利益（損失）,-24252.0,-51.7,-27536.0,-71.29,-20108.0,-50.52,-103224.0,-62.54
營業外收入及支出,,,,,,,,
利息收入,3.0,0.01,23.0,0.06,0.0,0.0,146.0,0.09
其他收入,2298.0,4.9,598.0,1.55,348587.0,875.87,352399.0,213.5
其他利益及損失淨額,149.0,0.32,-171.0,-0.44,-9440.0,-23.72,-9722.0,-5.89
財務成本淨額,5745.0,12.25,6842.0,17.71,7525.0,18.91,27819.0,16.85
營業外收入及支出合計,-3295.0,-7.02,-6392.0,-16.55,331622.0,833.24,315004.0,190.84
稅前淨利（淨損）,-27547.0,-58.72,-33928.0,-87.84,311514.0,782.72,211780.0,128.31
所得稅費用（利益）合計,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
繼續營業單位本期淨利（淨損）,-27547.0,-58.72,-33928.0,-87.84,311514.0,782.72,211780.0,128.31
停業單位損益,,,,,311514.0,782.72,211780.0,128.31
停業單位損益合計,0.0,0.0,0.0,0.0,,,,
本期淨利（淨損）,-27547.0,-58.72,-33928.0,-87.84,-1391144.0,-3495.42,303.0,0.18
其他綜合損益(淨額),,,,,-1391144.0,-3495.42,-3505026.0,-2123.51
確定福利計畫之再衡量數,0.0,0.0,-1304947.0,-3378.5,0.0,0.0,-3504723.0,-2123.33
透過其他綜合損益按公允價值衡量之權益工具投資未實現評價損益,-1315401.0,-2804.1,-1304947.0,-3378.5,0.0,0.0,-3504723.0,-2123.33
不重分類至損益之項目：,-1315401.0,-2804.1,-1304947.0,-3378.5,-1391144.0,-3495.42,-3292943.0,-1995.02
其他綜合損益（淨額）,-1315401.0,-2804.1,-1338875.0,-3466.34,-1079630.0,-2712.71,,
本期綜合損益總額,-1342948.0,-2862.82,,,,,211780.0,128.31
淨利（損）歸屬於：,,,-33928.0,-87.84,311514.0,782.72,0.0,0.0
母公司業主（淨利∕損）,-27547.0,-58.72,0.0,0.0,-1079630.0,-2712.71,-3292943.0,-1995.02
母公司業主（綜合損益）,-1342948.0,-2862.82,-1338875.0,-3466.34,0.0,0.0,,
基本每股盈餘,,,0.0,0.0,,,0.81,
基本每股盈餘,-0.11,,,,1.2,,,
