會計項目,Q1金額,Q2金額,Q3金額,Q4金額
營業活動之現金流量－間接法,,,,
繼續營業單位稅前淨利（淨損）,-51249.0,133775.0,461503.0,544877.0
本期稅前淨利（淨損）,-51249.0,133775.0,461503.0,544877.0
折舊費用,303885.0,611448.0,917303.0,1223412.0
預期信用減損損失（利益）數∕呆帳費用提列（轉列收入）數,0.0,-1300.0,-1300.0,-1570.0
透過損益按公允價值衡量金融資產及負債之淨損失（利益）,30326.0,4041.0,17508.0,40909.0
利息費用,23860.0,55327.0,96063.0,145485.0
利息收入,-4075.0,-6561.0,-10688.0,-16923.0
股利收入,-40742.0,0.0,-88259.0,-95858.0
採用權益法認列之關聯企業及合資損失（利益）之份額,0.0,-82520.0,-156934.0,-188961.0
處分及報廢不動產、廠房及設備損失（利益）,-9272.0,-162.0,-164.0,-109.0
處分投資損失（利益）,-63003.0,0.0,0.0,0.0
金融資產減損損失,-6585.0,-7375.0,-29.0,-31.0
非金融資產減損損失,234394.0,-35274.0,6760.0,20178.0
未實現外幣兌換損失（利益）,-23178.0,-6080.0,-121231.0,-4971.0
其他項目,-7829.0,531544.0,970.0,-16389.0
收益費損項目合計,33553.0,-17528.0,-12384.0,1105172.0
強制透過損益按公允價值衡量之金融資產（增加）減少,389582.0,-106136.0,647615.0,-63017.0
應收票據（增加）減少,-55054.0,-12972.0,-64924.0,202054.0
應收帳款－關係人（增加）減少,25602.0,420054.0,-55999.0,-25871.0
存貨（增加）減少,-34.0,-35335.0,-93810.0,-714771.0
生物資產（增加）減少,362642.0,29248.0,-8742.0,-14660.0
其他流動資產（增加）減少,72657.0,216.0,-64398.0,-387152.0
其他營業資產（增加）減少,-79235.0,277547.0,-120131.0,-15837.0
與營業活動相關之資產之淨變動合計,-88347.0,200358.0,147.0,-1019254.0
應付票據增加（減少）,-5755.0,-48766.0,-407857.0,233971.0
應付帳款－關係人增加（減少）,-10279.0,53563.0,61716.0,-188918.0
其他應付款增加（減少）,0.0,-5930.0,-131986.0,-107993.0
其他應付款－關係人增加（減少）,-110959.0,105506.0,-2167.0,-2271.0
其他流動負債增加（減少）,251683.0,0.0,-2273.0,47297.0
與營業活動相關之負債之淨變動合計,486077.0,304731.0,121546.0,-17914.0
與營業活動相關之資產及負債之淨變動合計,434828.0,582278.0,0.0,-1037168.0
調整項目合計,4079.0,1113822.0,46836.0,68004.0
營運產生之現金流入（流出）,-25882.0,1247597.0,-361021.0,612881.0
收取之利息,-7.0,6564.0,286594.0,14361.0
支付之利息,413018.0,-58307.0,748097.0,-145043.0
退還（支付）之所得稅,,-1720.0,10823.0,-146.0
營業活動之淨現金流入（流出）,0.0,1194134.0,-103263.0,482053.0
投資活動之現金流量,0.0,,-2880.0,
處分透過其他綜合損益按公允價值衡量之金融資產,220408.0,0.0,652777.0,0.0
透過其他綜合損益按公允價值衡量之金融資產減資退回股款,0.0,-132965.0,,0.0
取得按攤銷後成本衡量之金融資產,-8829.0,221608.0,0.0,-587377.0
處分按攤銷後成本衡量之金融資產,258673.0,0.0,0.0,221732.0
處分透過損益按公允價值衡量之金融資產,-569608.0,-9696.0,-133168.0,0.0
處分避險之金融資產,13.0,258673.0,221946.0,0.0
取得採用權益法之投資,137.0,-1127965.0,0.0,-25332.0
採用權益法之被投資公司減資退回股款,-2.0,174.0,-16716.0,258673.0
取得不動產、廠房及設備,431.0,-1543.0,258673.0,-1338410.0
處分不動產、廠房及設備,316867.0,-2119.0,-1172039.0,294.0
其他應收款－關係人增加,218090.0,244987.0,199.0,103762.0
其他非流動資產增加,,-548846.0,-5464.0,-28207.0
預付設備款增加,451017.0,,-9225.0,361666.0
收取之股利,200382.0,298600.0,347874.0,159858.0
投資活動之淨現金流入（流出）,0.0,-607476.0,152259.0,-873341.0
籌資活動之現金流量,-800000.0,1200000.0,-355661.0,
短期借款減少,0.0,-800000.0,,-1352759.0
應付短期票券增加,-7536.0,0.0,-779176.0,-5399370.0
舉借長期借款,-79914.0,-15565.0,-1050414.0,8700000.0
償還長期借款,14546.0,-59640.0,3400000.0,-800000.0
其他應付款－關係人減少,-1.0,0.0,-800000.0,0.0
租賃本金償還,-221506.0,14546.0,0.0,-33192.0
其他非流動負債增加,25661.0,-2.0,-24167.0,-47047.0
發放現金股利,435263.0,30463.0,-51482.0,-441134.0
非控制權益變動,536128.0,14268.0,-441134.0,18911.0
其他籌資活動,971391.0,690019.0,0.0,794.0
籌資活動之淨現金流入（流出）,971391.0,536128.0,14546.0,646203.0
