會計項目,Q1金額,Q2金額,Q3金額,Q4金額
營業活動之現金流量－間接法,,,,
繼續營業單位稅前淨利（淨損）,46260.0,420831.0,488674.0,458365.0
本期稅前淨利（淨損）,46260.0,420831.0,488674.0,458365.0
折舊費用,234.0,468.0,703.0,937.0
透過損益按公允價值衡量金融資產及負債之淨損失（利益）,-20131.0,-60643.0,-74347.0,-68912.0
利息費用,3970.0,7715.0,12958.0,20898.0
利息收入,-2.0,-55.0,-56.0,-452.0
股利收入,-4722.0,-294949.0,-294949.0,-294949.0
採用權益法認列之關聯企業及合資損失（利益）之份額,-20651.0,-41016.0,-57275.0,-50171.0
處分投資損失（利益）,-148911.0,-2207.0,-2207.0,-4247.0
其他項目,-8896.0,28835.0,7834.0,7834.0
收益費損項目合計,16873.0,-361852.0,-407339.0,-389062.0
應收帳款（增加）減少,-215.0,-155973.0,51455.0,68426.0
其他應收款（增加）減少,0.0,-14090.0,2409.0,598.0
存貨（增加）減少,-141149.0,-5555.0,-26874.0,-28131.0
預付款項（增加）減少,549233.0,-129.0,-1571.0,-1493.0
其他流動資產（增加）減少,21813.0,0.0,0.0,-208.0
其他金融資產（增加）減少,24812.0,0.0,0.0,0.0
與營業活動相關之資產之淨變動合計,595858.0,-175747.0,25419.0,39192.0
應付帳款－關係人增加（減少）,454709.0,-204949.0,-99081.0,-180264.0
其他應付款增加（減少）,434058.0,31110.0,-3948.0,-4958.0
其他流動負債增加（減少）,480318.0,-2387.0,-1403.0,2378.0
與營業活動相關之負債之淨變動合計,2.0,-176226.0,-104432.0,-182844.0
與營業活動相關之資產及負債之淨變動合計,-3986.0,-351973.0,-79013.0,-143652.0
調整項目合計,-1704.0,-713825.0,-486352.0,-532714.0
營運產生之現金流入（流出）,474630.0,-292994.0,2322.0,-74349.0
收取之利息,,55.0,56.0,452.0
收取之股利,-12547.0,-7353.0,294949.0,294949.0
支付之利息,692.0,-6238.0,-12346.0,-19991.0
退還（支付）之所得稅,-100.0,-306530.0,-7942.0,-9684.0
營業活動之淨現金流入（流出）,762.0,,277039.0,191377.0
投資活動之現金流量,-11193.0,-18985.0,,
取得透過其他綜合損益按公允價值衡量之金融資產,,2899.0,-21257.0,-133088.0
取得透過損益按公允價值衡量之金融資產,0.0,0.0,2899.0,-21257.0
處分透過損益按公允價值衡量之金融資產,-280000.0,-100.0,-260000.0,6562.0
取得採用權益法之投資,-149901.0,762.0,0.0,-260000.0
存出保證金減少,-242.0,-15424.0,-793.0,0.0
取得投資性不動產,-430143.0,,762.0,-793.0
其他非流動資產增加,33294.0,292000.0,-278389.0,762.0
投資活動之淨現金流入（流出）,17704.0,100139.0,,-407814.0
籌資活動之現金流量,50998.0,-484.0,150000.0,
短期借款增加,50998.0,391655.0,0.0,175000.0
