會計項目,Q1金額,Q1百分比(%),Q2金額,Q2百分比(%),Q3金額,Q3百分比(%),Q4金額,Q4百分比(%)
流動資產,,,,,,,,
現金及約當現金,8313273.0,5.89,8228185.0,5.92,9419988.0,6.7,8698263.0,6.24
透過損益按公允價值衡量之金融資產－流動,2914192.0,2.07,2686764.0,1.93,1167703.0,0.83,914843.0,0.66
透過其他綜合損益按公允價值衡量之金融資產－流動,8711111.0,6.18,7935052.0,5.71,8228024.0,5.85,7967004.0,5.71
按攤銷後成本衡量之金融資產－流動,3531236.0,2.5,3612150.0,2.6,2472484.0,1.76,3045337.0,2.18
應收票據淨額,3962243.0,2.81,2825550.0,2.03,2777214.0,1.97,2842143.0,2.04
應收帳款淨額,12277748.0,8.7,12643351.0,9.1,13114759.0,9.32,12120124.0,8.69
應收帳款－關係人淨額,73480.0,0.05,59257.0,0.04,54603.0,0.04,64230.0,0.05
存貨,11119594.0,7.88,11482125.0,8.26,11814691.0,8.4,11872315.0,8.51
生物資產－流動,3373301.0,2.39,3291734.0,2.37,3353409.0,2.38,3255711.0,2.33
預付款項,1676231.0,1.19,1537081.0,1.11,1874953.0,1.33,2198126.0,1.58
其他流動資產,1754540.0,1.24,2156426.0,1.55,0.0,0.0,1479739.0,1.06
流動資產合計,57706949.0,40.91,56457675.0,40.63,1793072.0,1.27,54457835.0,39.05
非流動資產,,,,,56070900.0,39.86,,
透過其他綜合損益按公允價值衡量之金融資產－非流動,18479531.0,13.1,17405853.0,12.53,,,18132758.0,13.0
按攤銷後成本衡量之金融資產－非流動,698918.0,0.5,819233.0,0.59,17860902.0,12.7,1918107.0,1.38
採用權益法之投資,6018511.0,4.27,6203015.0,4.46,1542825.0,1.1,7466226.0,5.35
不動產、廠房及設備,49536550.0,35.12,49466397.0,35.6,7014549.0,4.99,49015451.0,35.14
使用權資產,2131447.0,1.51,2076973.0,1.49,48978209.0,34.82,2097384.0,1.5
投資性不動產淨額,3583700.0,2.54,3491584.0,2.51,2120637.0,1.51,3958773.0,2.84
無形資產,486696.0,0.35,504722.0,0.36,3988355.0,2.84,521064.0,0.37
遞延所得稅資產,339307.0,0.24,331093.0,0.24,538380.0,0.38,305525.0,0.22
其他非流動資產,2085425.0,1.48,2212072.0,1.59,316870.0,0.23,1599201.0,1.15
非流動資產合計,83360085.0,59.09,82510942.0,59.37,2230088.0,1.59,85014489.0,60.95
資產總額,141067034.0,100.0,138968617.0,100.0,84590815.0,60.14,139472324.0,100.0
流動負債,,,,,140661715.0,100.0,,
短期借款,11995037.0,8.5,12998808.0,9.35,,,8812071.0,6.32
應付短期票券,12170983.0,8.63,9515175.0,6.85,9639792.0,6.85,2723116.0,1.95
透過損益按公允價值衡量之金融負債－流動,40559.0,0.03,44995.0,0.03,11018218.0,7.83,45843.0,0.03
合約負債－流動,578501.0,0.41,554246.0,0.4,23664.0,0.02,496039.0,0.36
應付帳款,11344393.0,8.04,11257621.0,8.1,504306.0,0.36,10759751.0,7.71
應付帳款－關係人,50682.0,0.04,79924.0,0.06,11201540.0,7.96,110870.0,0.08
其他應付款,6948997.0,4.93,7497678.0,5.4,112819.0,0.08,4124484.0,2.96
本期所得稅負債,1542861.0,1.09,657268.0,0.47,3999848.0,2.84,484546.0,0.35
租賃負債－流動,186710.0,0.13,182221.0,0.13,609496.0,0.43,203868.0,0.15
其他流動負債,1801380.0,1.28,1689942.0,1.22,0.0,0.0,1237851.0,0.89
流動負債合計,46660103.0,33.08,44477878.0,32.01,200680.0,0.14,28998439.0,20.79
非流動負債,,,,,1758974.0,1.25,,
長期借款,22084021.0,15.65,23693464.0,17.05,39069337.0,27.78,36344562.0,26.06
遞延所得稅負債,3606996.0,2.56,3608057.0,2.6,,,3565188.0,2.56
租賃負債－非流動,519540.0,0.37,496602.0,0.36,26401705.0,18.77,514916.0,0.37
其他非流動負債,504341.0,0.36,457844.0,0.33,3610923.0,2.57,455826.0,0.33
非流動負債合計,26714898.0,18.94,28255967.0,20.33,509894.0,0.36,40880492.0,29.31
負債總額,73375001.0,52.01,72733845.0,52.34,473993.0,0.34,69878931.0,50.1
歸屬於母公司業主之權益,,,,,30996515.0,22.04,,
股本,,,,,70065852.0,49.81,,
普通股股本,16603715.0,11.77,16603715.0,11.95,,,16603715.0,11.9
股本合計,16603715.0,11.77,16603715.0,11.95,,,16603715.0,11.9
資本公積,,,,,16603715.0,11.8,,
資本公積合計,3301997.0,2.34,3348899.0,2.41,16603715.0,11.8,3459112.0,2.48
保留盈餘,,,,,,,,
保留盈餘合計,20808097.0,14.75,21385016.0,15.39,3468619.0,2.47,22536470.0,16.16
其他權益,,,,,,,,
其他權益－其他,12931630.0,9.17,11126320.0,8.01,22842352.0,16.24,12037107.0,8.63
其他權益合計,12931630.0,9.17,11126320.0,8.01,,,12037107.0,8.63
歸屬於母公司業主之權益合計,53645439.0,38.03,52463950.0,37.75,12827329.0,9.12,54636404.0,39.17
非控制權益,14046594.0,9.96,13770822.0,9.91,12827329.0,9.12,14956989.0,10.72
權益總額,67692033.0,47.99,66234772.0,47.66,55742015.0,39.63,69593393.0,49.9
負債及權益總計,141067034.0,100.0,138968617.0,100.0,14853848.0,10.56,139472324.0,100.0
預收股款（權益項下）之約當發行股數（單位：股）,0.0,,0.0,,70595863.0,50.19,0.0,
母公司暨子公司所持有之母公司庫藏股股數（單位：股）,0.0,,0.0,,140661715.0,100.0,0.0,
