會計項目,Q1金額,Q1百分比(%),Q2金額,Q2百分比(%),Q3金額,Q3百分比(%),Q4金額,Q4百分比(%)
流動資產,,,,,,,,
現金及約當現金,338730.0,7.17,254922.0,5.46,395218.0,8.35,493208.0,10.07
透過損益按公允價值衡量之金融資產－流動,36744.0,0.78,14833.0,0.32,4050.0,0.09,5290.0,0.11
應收票據淨額,0.0,0.0,0.0,0.0,0.0,0.0,105.0,0.0
應收票據－關係人淨額,0.0,0.0,41849.0,0.9,42404.0,0.9,50048.0,1.02
應收帳款淨額,41869.0,0.89,3786.0,0.08,4836.0,0.1,6873.0,0.14
其他應收款淨額,3540.0,0.07,834.0,0.02,2334.0,0.05,1049.0,0.02
其他應收款－關係人淨額,833.0,0.02,281951.0,6.04,289028.0,6.11,289850.0,5.92
存貨,282644.0,5.98,57174.0,1.22,50077.0,1.06,45563.0,0.93
預付款項,45758.0,0.97,89677.0,1.92,99978.0,2.11,97945.0,2.0
其他流動資產,84325.0,1.78,745026.0,15.96,887925.0,18.77,989931.0,20.21
流動資產合計,834443.0,17.65,,,,,,
非流動資產,,,80130.0,1.72,80130.0,1.69,83147.0,1.7
透過損益按公允價值衡量之金融資產－非流動,80130.0,1.7,34153.0,0.73,35753.0,0.76,36214.0,0.74
透過其他綜合損益按公允價值衡量之金融資產－非流動,44059.0,0.93,152913.0,3.27,150033.0,3.17,164255.0,3.35
採用權益法之投資,136047.0,2.88,679455.0,14.55,667944.0,14.12,619840.0,12.66
不動產、廠房及設備,610190.0,12.91,2243293.0,48.05,2190014.0,46.29,2251945.0,45.99
使用權資產,2298600.0,48.62,491111.0,10.52,481920.0,10.19,497899.0,10.17
投資性不動產淨額,500301.0,10.58,83883.0,1.8,92860.0,1.96,93238.0,1.9
無形資產,84651.0,1.79,159183.0,3.41,144746.0,3.06,160546.0,3.28
其他非流動資產,138880.0,2.94,3924121.0,84.04,3843400.0,81.23,3907084.0,79.79
非流動資產合計,3892858.0,82.35,4669147.0,100.0,4731325.0,100.0,4897015.0,100.0
資產總額,4727301.0,100.0,,,,,,
流動負債,,,200933.0,4.3,283618.0,5.99,281500.0,5.75
短期借款,206075.0,4.36,117073.0,2.51,122820.0,2.6,118827.0,2.43
合約負債－流動,114097.0,2.41,42.0,0.0,665.0,0.01,746.0,0.02
應付票據,1140.0,0.02,158947.0,3.4,223923.0,4.73,298211.0,6.09
應付帳款,222391.0,4.7,296.0,0.01,616.0,0.01,747.0,0.02
應付帳款－關係人,232.0,0.0,162292.0,3.48,129617.0,2.74,121146.0,2.47
其他應付款,101948.0,2.16,247.0,0.01,411.0,0.01,767.0,0.02
其他應付款項－關係人,348.0,0.01,245416.0,5.26,249899.0,5.28,1585.0,0.03
租賃負債－流動,247567.0,5.24,152764.0,3.27,139510.0,2.95,268590.0,5.48
其他流動負債,156764.0,3.32,1038010.0,22.23,1151079.0,24.33,153191.0,3.13
流動負債合計,1050562.0,22.22,,,,,1245310.0,25.43
非流動負債,,,299099.0,6.41,269828.0,5.7,,
長期借款,206031.0,4.36,2618954.0,56.09,2556478.0,54.03,279642.0,5.71
租賃負債－非流動,2676192.0,56.61,19448.0,0.42,19406.0,0.41,2621938.0,53.54
其他非流動負債,19645.0,0.42,2937501.0,62.91,2845712.0,60.15,19553.0,0.4
非流動負債合計,2901868.0,61.39,3975511.0,85.14,3996791.0,84.48,2921133.0,59.65
負債總額,3952430.0,83.61,,,,,4166443.0,85.08
歸屬於母公司業主之權益,,,,,,,,
股本,,,900000.0,19.28,900000.0,19.02,,
普通股股本,900000.0,19.04,900000.0,19.28,900000.0,19.02,900000.0,18.38
股本合計,900000.0,19.04,,,,,900000.0,18.38
資本公積,,,195533.0,4.19,195533.0,4.13,,
資本公積－發行溢價,195533.0,4.14,1975.0,0.04,1975.0,0.04,195533.0,3.99
資本公積－受贈資產,1975.0,0.04,2240.0,0.05,2240.0,0.05,1975.0,0.04
資本公積－合併溢額,2240.0,0.05,199748.0,4.28,199748.0,4.22,90.0,0.0
資本公積合計,199748.0,4.23,,,,,2240.0,0.05
保留盈餘,,,-324157.0,-6.94,-284631.0,-6.02,199838.0,4.08
未分配盈餘（或待彌補虧損）,-238959.0,-5.05,-324157.0,-6.94,-284631.0,-6.02,,
保留盈餘合計,-238959.0,-5.05,,,,,-288308.0,-5.89
其他權益,,,-18883.0,-0.4,-18182.0,-0.38,-288308.0,-5.89
國外營運機構財務報表換算之兌換差額,-19260.0,-0.41,-55636.0,-1.19,-54036.0,-1.14,,
透過其他綜合損益按公允價值衡量之金融資產未實現評價損益,-45730.0,-0.97,-74519.0,-1.6,-72218.0,-1.53,-17688.0,-0.36
與待出售非流動資產（或處分群組）直接相關之權益,0.0,0.0,-24939.0,-0.53,-24939.0,-0.53,-53575.0,-1.09
其他權益合計,-64990.0,-1.37,676133.0,14.48,717960.0,15.17,-71263.0,-1.46
庫藏股票,-24939.0,-0.53,17503.0,0.37,16574.0,0.35,-24939.0,-0.51
歸屬於母公司業主之權益合計,770860.0,16.31,693636.0,14.86,734534.0,15.52,715328.0,14.61
非控制權益,4011.0,0.08,4669147.0,100.0,4731325.0,100.0,15244.0,0.31
權益總額,774871.0,16.39,0.0,,0.0,,730572.0,14.92
負債及權益總計,4727301.0,100.0,1761000.0,,1761000.0,,4897015.0,100.0
待註銷股本股數（單位：股）,0.0,,,,,,0.0,
預收股款（權益項下）之約當發行股數（單位：股）,0.0,,,,,,1761000.0,
母公司暨子公司所持有之母公司庫藏股股數（單位：股）,1761000.0,,,,,,,
