會計項目,Q1金額,Q2金額,Q3金額,Q4金額
營業活動之現金流量－間接法,,,,
繼續營業單位稅前淨利（淨損）,1198.0,-70508.0,-31911.0,-35333.0
本期稅前淨利（淨損）,1198.0,-70508.0,-31911.0,-35333.0
折舊費用,94523.0,191225.0,288497.0,390145.0
攤銷費用,1013.0,2031.0,2812.0,4888.0
預期信用減損損失（利益）數∕呆帳費用提列（轉列收入）數,-55.0,-55.0,-55.0,-475.0
透過損益按公允價值衡量金融資產及負債之淨損失（利益）,-1800.0,4441.0,4288.0,198.0
利息費用,13835.0,27676.0,42104.0,57502.0
利息收入,-105.0,-210.0,-429.0,-987.0
股利收入,313.0,3447.0,394.0,-394.0
股份基礎給付酬勞成本,-323.0,146.0,6327.0,0.0
採用權益法認列之關聯企業及合資損失（利益）之份額,0.0,0.0,4.0,2075.0
處分及報廢不動產、廠房及設備損失（利益）,-458.0,-919.0,0.0,-4192.0
處分投資損失（利益）,106943.0,227782.0,-1382.0,0.0
非金融資產減損損失,197.0,197.0,342560.0,0.0
其他項目,0.0,44.0,197.0,-1845.0
收益費損項目合計,24.0,0.0,-511.0,446915.0
應收票據（增加）減少,0.0,-1087.0,0.0,92.0
應收帳款（增加）減少,-841.0,-101.0,-2137.0,-7735.0
應收帳款－關係人（增加）減少,-100.0,-12827.0,-1601.0,0.0
其他應收款（增加）減少,-13520.0,-6166.0,-19904.0,-4174.0
其他應收款－關係人（增加）減少,5250.0,-7217.0,931.0,-316.0
存貨（增加）減少,-870.0,-27157.0,304.0,-20726.0
預付款項（增加）減少,-9860.0,3808.0,-22721.0,5445.0
其他流動資產（增加）減少,832.0,-1443.0,9555.0,2733.0
與營業活動相關之資產之淨變動合計,-345.0,-104532.0,-820.0,-24681.0
合約負債增加（減少）,-41088.0,-253.0,-39556.0,5562.0
應付票據增加（減少）,-317.0,-13882.0,67.0,-739.0
應付帳款增加（減少）,-20076.0,-280.0,-28782.0,34732.0
應付帳款－關係人增加（減少）,-179.0,-2243.0,-116.0,198.0
其他應付款增加（減少）,-508.0,-118825.0,-1751.0,-922.0
其他應付款－關係人增加（減少）,-61681.0,-145982.0,-61403.0,240.0
其他流動負債增加（減少）,-71541.0,81800.0,-84124.0,-2099.0
與營業活動相關之負債之淨變動合計,35402.0,11292.0,258436.0,36972.0
與營業活動相關之資產及負債之淨變動合計,36600.0,210.0,226525.0,12291.0
調整項目合計,105.0,-27705.0,429.0,459206.0
營運產生之現金流入（流出）,-13922.0,-16203.0,-42145.0,423873.0
收取之利息,22783.0,,184809.0,987.0
支付之利息,,-34872.0,,-57445.0
營業活動之淨現金流入（流出）,-24499.0,35563.0,-34872.0,367415.0
投資活動之現金流量,9520.0,-85100.0,46499.0,
取得透過損益按公允價值衡量之金融資產,-65100.0,-102816.0,-85100.0,-37861.0
處分透過損益按公允價值衡量之金融資產,-57105.0,450.0,0.0,49321.0
取得採用權益法之投資,450.0,-9105.0,-142098.0,-94980.0
處分採用權益法之投資,-4655.0,0.0,1429.0,0.0
預付投資款增加,0.0,0.0,-7415.0,-6650.0
取得不動產、廠房及設備,0.0,-16481.0,0.0,-176169.0
處分不動產、廠房及設備,-378.0,33021.0,-10168.0,21821.0
存出保證金增加,32026.0,-179340.0,-21824.0,-17620.0
其他應收款－關係人減少,-109741.0,,394.0,0.0
取得無形資產,,0.0,33699.0,-9854.0
其他非流動資產增加,-36990.0,-42132.0,-219456.0,-21124.0
收取之股利,15000.0,145720.0,,394.0
其他投資活動,-36890.0,-76807.0,40553.0,33303.0
投資活動之淨現金流入（流出）,254.0,57.0,145720.0,-259419.0
籌資活動之現金流量,-60831.0,-121580.0,-119824.0,
短期借款增加,0.0,0.0,15.0,135700.0
短期借款減少,-119457.0,0.0,-182450.0,-97265.0
舉借長期借款,321.0,-94742.0,0.0,430231.0
償還長期借款,-206094.0,383.0,0.0,-380492.0
存入保證金增加,544824.0,-289902.0,-115986.0,162.0
存入保證金減少,338730.0,544824.0,1027.0,0.0
租賃本金償還,338730.0,254922.0,-149606.0,-246730.0
