會計項目,Q1金額,Q1百分比(%),Q2金額,Q2百分比(%),Q3金額,Q3百分比(%),Q4金額,Q4百分比(%)
流動資產,,,,,,,,
現金及約當現金,967535.0,8.52,783409.0,7.33,746784.0,6.87,1120781.0,9.37
透過損益按公允價值衡量之金融資產－流動,8246.0,0.07,19620.0,0.18,34733.0,0.32,3739.0,0.03
按攤銷後成本衡量之金融資產－流動,154877.0,1.36,155890.0,1.46,157829.0,1.45,240578.0,2.01
應收票據淨額,1483.0,0.01,2914.0,0.03,872.0,0.01,940.0,0.01
應收帳款淨額,1655415.0,14.58,1330774.0,12.46,1162631.0,10.7,1095392.0,9.16
其他應收款淨額,27103.0,0.24,38904.0,0.36,31610.0,0.29,65176.0,0.54
本期所得稅資產,35733.0,0.31,7590.0,0.07,7996.0,0.07,24909.0,0.21
存貨,3014934.0,26.55,2797527.0,26.19,2967231.0,27.31,51611.0,0.43
預付款項,123745.0,1.09,133541.0,1.25,135491.0,1.25,2989456.0,24.99
其他流動資產,25573.0,0.23,7244.0,0.07,10170.0,0.09,214900.0,1.8
流動資產合計,6014644.0,52.97,5277413.0,49.4,5255347.0,48.38,10618.0,0.09
非流動資產,,,,,,,5818100.0,48.63
透過損益按公允價值衡量之金融資產－非流動,143814.0,1.27,149315.0,1.4,159514.0,1.47,,
透過其他綜合損益按公允價值衡量之金融資產－非流動,70696.0,0.62,70634.0,0.66,70665.0,0.65,147071.0,1.23
採用權益法之投資,31408.0,0.28,22290.0,0.21,31750.0,0.29,65697.0,0.55
不動產、廠房及設備,2999392.0,26.42,27652.0,0.26,21792.0,0.2,30710.0,0.26
使用權資產,333282.0,2.94,3001938.0,28.1,3059995.0,28.17,6823.0,0.06
投資性不動產淨額,48150.0,0.42,322884.0,3.02,318270.0,2.93,3691829.0,30.86
無形資產,1293459.0,11.39,51897.0,0.49,38220.0,0.35,311457.0,2.6
遞延所得稅資產,395287.0,3.48,1307877.0,12.24,1371551.0,12.63,28547.0,0.24
其他非流動資產,24710.0,0.22,423118.0,3.96,462375.0,4.26,1355244.0,11.33
非流動資產合計,5340198.0,47.03,27050.0,0.25,74184.0,0.68,453080.0,3.79
資產總額,11354842.0,100.0,5404655.0,50.6,5608316.0,51.62,56041.0,0.47
流動負債,,,10682068.0,100.0,10863663.0,100.0,6146499.0,51.37
短期借款,2450143.0,21.58,,,,,11964599.0,100.0
透過損益按公允價值衡量之金融負債－流動,18505.0,0.16,2337417.0,21.88,2180186.0,20.07,,
