會計項目,Q1金額,Q1百分比(%),Q2金額,Q2百分比(%),Q3金額,Q3百分比(%),Q4金額,Q4百分比(%)
營業收入合計,7526625.0,100.0,6567106.0,100.0,8028788.0,100.0,33612947.0,100.0
營業成本合計,4386460.0,58.28,3931360.0,59.86,4531453.0,56.44,19006576.0,56.55
營業毛利（毛損）,3140165.0,41.72,2635746.0,40.14,3497335.0,43.56,14606371.0,43.45
營業毛利（毛損）淨額,3140165.0,41.72,2635746.0,40.14,3497335.0,43.56,14606371.0,43.45
營業費用,,,,,,,,
推銷費用,1489985.0,19.8,1376957.0,20.97,1715614.0,21.37,6814394.0,20.27
管理費用,1614277.0,21.45,1787232.0,27.21,1645839.0,20.5,7075283.0,21.05
研究發展費用,219541.0,2.92,209625.0,3.19,234905.0,2.93,913224.0,2.72
預期信用減損損失（利益）,-8554.0,-0.11,12583.0,0.19,16476.0,0.21,18404.0,0.05
營業費用合計,3315249.0,44.05,3386397.0,51.57,3612834.0,45.0,14821305.0,44.09
營業利益（損失）,-175084.0,-2.33,-750651.0,-11.43,-115499.0,-1.44,-214934.0,-0.64
營業外收入及支出,,,,,,,,
利息收入,42384.0,0.56,34203.0,0.52,43159.0,0.54,165172.0,0.49
其他收入,17022.0,0.23,21551.0,0.33,443873.0,5.53,614737.0,1.83
其他利益及損失淨額,260194.0,3.46,207701.0,3.16,-282855.0,-3.52,-5189.0,-0.02
財務成本淨額,43366.0,0.58,50889.0,0.77,78385.0,0.98,256180.0,0.76
營業外收入及支出合計,276234.0,3.67,212566.0,3.24,125792.0,1.57,518540.0,1.54
稅前淨利（淨損）,101150.0,1.34,-538085.0,-8.19,10293.0,0.13,303606.0,0.9
所得稅費用（利益）合計,10253.0,0.14,-129206.0,-1.97,-6581.0,-0.08,78665.0,0.23
繼續營業單位本期淨利（淨損）,90897.0,1.21,-408879.0,-6.23,16874.0,0.21,224941.0,0.67
本期淨利（淨損）,90897.0,1.21,-408879.0,-6.23,16874.0,0.21,224941.0,0.67
其他綜合損益(淨額),,,,,,,,
透過其他綜合損益按公允價值衡量之權益工具投資未實現評價損益,-636.0,-0.01,75.0,0.0,-106.0,0.0,4674.0,0.01
不重分類至損益之項目：,-636.0,-0.01,75.0,0.0,-106.0,0.0,-745.0,0.0
國外營運機構財務報表換算之兌換差額,326912.0,4.34,-250840.0,-3.82,152328.0,1.9,618.0,0.0
與可能重分類之項目相關之所得稅,67621.0,0.9,-43224.0,-0.66,28119.0,0.35,3311.0,0.01
後續可能重分類至損益之項目：,259291.0,3.44,-207616.0,-3.16,124209.0,1.55,496704.0,1.48
其他綜合損益（淨額）,258655.0,3.44,-207541.0,-3.16,124103.0,1.55,80591.0,0.24
本期綜合損益總額,349552.0,4.64,-616420.0,-9.39,140977.0,1.76,416113.0,1.24
淨利（損）歸屬於：,,,,,,,419424.0,1.25
母公司業主（淨利∕損）,82026.0,1.09,-410280.0,-6.25,223175.0,2.78,644365.0,1.92
非控制權益（淨利∕損）,8871.0,0.12,1401.0,0.02,-206301.0,-2.57,,
母公司業主（綜合損益）,352130.0,4.68,-583158.0,-8.88,335615.0,4.18,429024.0,1.28
非控制權益（綜合損益）,-2578.0,-0.03,-33262.0,-0.51,-194638.0,-2.42,-204083.0,-0.61
基本每股盈餘,,,,,,,754701.0,2.25
基本每股盈餘,0.27,,-1.36,,0.74,,-110336.0,-0.33
稀釋每股盈餘,,,,,,,,
稀釋每股盈餘,0.27,,-1.36,,0.74,,1.42,
