會計項目,Q1金額,Q1百分比(%),Q2金額,Q2百分比(%),Q3金額,Q3百分比(%),Q4金額,Q4百分比(%)
流動資產,,,,,,,,
現金及約當現金,27396342.0,3.88,34614401.0,4.79,33792732.0,4.72,29197614.0,4.27
透過損益按公允價值衡量之金融資產－流動,3559206.0,0.5,2432439.0,0.34,2476070.0,0.35,2629089.0,0.38
透過其他綜合損益按公允價值衡量之金融資產－流動,5737434.0,0.81,5298669.0,0.73,5149686.0,0.72,5428806.0,0.79
避險之金融資產－流動,1796249.0,0.25,2206895.0,0.31,2883238.0,0.4,3125323.0,0.46
合約資產－流動,8445483.0,1.2,9057836.0,1.25,7717236.0,1.08,7172302.0,1.05
應收票據淨額,2443656.0,0.35,2066256.0,0.29,2013721.0,0.28,1906064.0,0.28
應收票據－關係人淨額,136.0,0.0,348.0,0.0,627.0,0.0,272.0,0.0
應收帳款淨額,14301611.0,2.03,16340410.0,2.26,13583239.0,1.9,11315075.0,1.65
應收帳款－關係人淨額,152892.0,0.02,86657.0,0.01,74470.0,0.01,114832.0,0.02
其他應收款淨額,2137215.0,0.3,1718147.0,0.24,3506014.0,0.49,2075383.0,0.3
本期所得稅資產,628398.0,0.09,627875.0,0.09,668470.0,0.09,79688.0,0.01
存貨,140695684.0,19.95,152746159.0,21.14,146577769.0,20.47,131515763.0,19.23
待出售非流動資產（或處分群組）淨額,322185.0,0.05,81226.0,0.01,81226.0,0.01,0.0,0.0
其他流動資產,15576384.0,2.21,16513846.0,2.29,17238876.0,2.41,15804883.0,2.31
流動資產合計,223192875.0,31.64,243791164.0,33.75,235763374.0,32.92,210365094.0,30.77
非流動資產,,,,,,,,
透過損益按公允價值衡量之金融資產－非流動,909834.0,0.13,827438.0,0.11,823963.0,0.12,869532.0,0.13
透過其他綜合損益按公允價值衡量之金融資產－非流動,55187741.0,7.82,53345793.0,7.38,52288444.0,7.3,48614893.0,7.11
按攤銷後成本衡量之金融資產－非流動,0.0,0.0,748987.0,0.1,689768.0,0.1,814630.0,0.12
避險之金融資產－非流動,643761.0,0.09,14138197.0,1.96,15336216.0,2.14,14565313.0,2.13
採用權益法之投資,13942802.0,1.98,369934162.0,51.21,371664231.0,51.89,370248034.0,54.15
不動產、廠房及設備,372083606.0,52.75,12658499.0,1.75,12554609.0,1.75,12323990.0,1.8
使用權資產,12511532.0,1.77,9382165.0,1.3,9387389.0,1.31,9759107.0,1.43
投資性不動產淨額,9420234.0,1.34,1406124.0,0.19,1370657.0,0.19,1343993.0,0.2
無形資產,1440172.0,0.2,8854788.0,1.23,8835820.0,1.23,8262336.0,1.21
遞延所得稅資產,8741341.0,1.24,7309107.0,1.01,7494724.0,1.05,6602475.0,0.97
其他非流動資產,7300278.0,1.03,478605260.0,66.25,480445821.0,67.08,473404303.0,69.23
非流動資產合計,482181301.0,68.36,722396424.0,100.0,716209195.0,100.0,683769397.0,100.0
資產總額,705374176.0,100.0,,,,,,
流動負債,,,43626364.0,6.04,63963898.0,8.93,49668589.0,7.26
短期借款,28000336.0,3.97,15730585.0,2.18,42356547.0,5.91,37980878.0,5.55
應付短期票券,20129146.0,2.85,1608.0,0.0,3784.0,0.0,243447.0,0.04
透過損益按公允價值衡量之金融負債－流動,3452.0,0.0,418293.0,0.06,394834.0,0.06,4297357.0,0.63
避險之金融負債－流動,1304168.0,0.18,4540388.0,0.63,4699464.0,0.66,1545218.0,0.23
合約負債－流動,6418047.0,0.91,1845670.0,0.26,1747489.0,0.24,14588899.0,2.13
