會計項目,Q1金額,Q1百分比(%),Q2金額,Q2百分比(%),Q3金額,Q3百分比(%),Q4金額,Q4百分比(%)
營業收入合計,6319651.0,100.0,6567063.0,100.0,6161575.0,100.0,24497782.0,100.0
營業成本合計,5924401.0,93.75,6047539.0,92.09,5921094.0,96.1,22997506.0,93.88
營業毛利（毛損）,395250.0,6.25,519524.0,7.91,240481.0,3.9,1500276.0,6.12
營業毛利（毛損）淨額,395250.0,6.25,519524.0,7.91,240481.0,3.9,1500276.0,6.12
營業費用,,,,,,,,
推銷費用,130763.0,2.07,104974.0,1.6,115045.0,1.87,463869.0,1.89
管理費用,71611.0,1.13,111555.0,1.7,84723.0,1.38,351198.0,1.43
預期信用減損損失（利益）,-6339.0,-0.1,1216.0,0.02,-6193.0,-0.1,-11603.0,-0.05
營業費用合計,196035.0,3.1,217745.0,3.32,193575.0,3.14,803464.0,3.28
營業利益（損失）,199215.0,3.15,301779.0,4.6,46906.0,0.76,696812.0,2.84
營業外收入及支出,,,,,,,,
利息收入,1822.0,0.03,2960.0,0.05,3401.0,0.06,12928.0,0.05
其他收入,31466.0,0.5,31898.0,0.49,52733.0,0.86,151157.0,0.62
其他利益及損失淨額,7411.0,0.12,-27961.0,-0.43,-24315.0,-0.39,-40906.0,-0.17
財務成本淨額,21015.0,0.33,23223.0,0.35,27971.0,0.45,102482.0,0.42
採用權益法認列之關聯企業及合資損益之份額淨額,21096.0,0.33,18064.0,0.28,19153.0,0.31,76679.0,0.31
營業外收入及支出合計,40780.0,0.65,1738.0,0.03,23001.0,0.37,97376.0,0.4
稅前淨利（淨損）,239995.0,3.8,303517.0,4.62,69907.0,1.13,794188.0,3.24
所得稅費用（利益）合計,52387.0,0.83,69718.0,1.06,-6313.0,-0.1,180384.0,0.74
繼續營業單位本期淨利（淨損）,187608.0,2.97,233799.0,3.56,76220.0,1.24,613804.0,2.51
本期淨利（淨損）,187608.0,2.97,233799.0,3.56,76220.0,1.24,613804.0,2.51
其他綜合損益(淨額),,,,,,,,
透過其他綜合損益按公允價值衡量之權益工具投資未實現評價損益,32894.0,0.52,-70584.0,-1.07,-135.0,0.0,61555.0,0.25
不重分類至損益之項目：,32894.0,0.52,-70584.0,-1.07,-135.0,0.0,-12614.0,-0.05
國外營運機構財務報表換算之兌換差額,83898.0,1.33,-59984.0,-0.91,19896.0,0.32,1571.0,0.01
後續可能重分類至損益之項目：,83898.0,1.33,-59984.0,-0.91,19896.0,0.32,50512.0,0.21
其他綜合損益（淨額）,116792.0,1.85,-130568.0,-1.99,19761.0,0.32,6095.0,0.02
本期綜合損益總額,304400.0,4.82,103231.0,1.57,95981.0,1.56,21.0,0.0
淨利（損）歸屬於：,,,,,,,6116.0,0.02
母公司業主（淨利∕損）,189716.0,3.0,228748.0,3.48,80721.0,1.31,56628.0,0.23
非控制權益（淨利∕損）,-2108.0,-0.03,5051.0,0.08,-4501.0,-0.07,670432.0,2.74
母公司業主（綜合損益）,307779.0,4.87,123706.0,1.88,124812.0,2.03,,
非控制權益（綜合損益）,-3379.0,-0.05,-20475.0,-0.31,-28831.0,-0.47,613218.0,2.5
基本每股盈餘,,,,,,,586.0,0.0
基本每股盈餘,0.29,,0.35,,0.12,,714511.0,2.92
稀釋每股盈餘,,,,,,,-44079.0,-0.18
稀釋每股盈餘,0.29,,0.35,,0.12,,,
