會計項目,Q1金額,Q2金額,Q3金額,Q4金額
營業活動之現金流量－間接法,,,,
繼續營業單位稅前淨利（淨損）,551998.0,1068307.0,1402980.0,685660.0
本期稅前淨利（淨損）,551998.0,1068307.0,1402980.0,685660.0
折舊費用,69279.0,140427.0,222875.0,331036.0
攤銷費用,869.0,1657.0,2570.0,4110.0
預期信用減損損失（利益）數∕呆帳費用提列（轉列收入）數,-16023.0,0.0,0.0,0.0
透過損益按公允價值衡量金融資產及負債之淨損失（利益）,14185.0,72342.0,46647.0,19111.0
利息費用,-7.0,32327.0,55274.0,81477.0
利息收入,2687.0,-597.0,-1025.0,-6098.0
股利收入,-63700.0,-223.0,-10425.0,-10425.0
處分及報廢不動產、廠房及設備損失（利益）,-13293.0,170953.0,-403.0,-401.0
處分其他資產損失（利益）,-6003.0,-10095.0,328862.0,-29.0
非金融資產減損損失,105955.0,-26.0,-45140.0,325261.0
未實現外幣兌換損失（利益）,256251.0,406765.0,-26.0,-28063.0
其他項目,143511.0,80068.0,599209.0,570860.0
收益費損項目合計,278152.0,-64270.0,105613.0,1286839.0
應收票據（增加）減少,-295337.0,143669.0,284259.0,78098.0
應收帳款（增加）減少,-406.0,307062.0,-88090.0,393133.0
其他應收款（增加）減少,488126.0,-798707.0,268543.0,14570.0
存貨（增加）減少,-40895.0,397.0,-596141.0,1017311.0
預付款項（增加）減少,-13912.0,-331781.0,515.0,-698397.0
其他流動資產（增加）減少,-257622.0,-74307.0,-25301.0,-2629.0
與營業活動相關之資產之淨變動合計,-74434.0,-14141.0,-107832.0,802086.0
合約負債增加（減少）,-11329.0,-415887.0,-14289.0,-110308.0
應付票據增加（減少）,-1069.0,-106217.0,-599858.0,-14001.0
應付帳款增加（減少）,-399261.0,-4937.0,-110716.0,-577619.0
其他應付款增加（減少）,88865.0,-2122.0,14887.0,-83602.0
其他流動負債增加（減少）,82862.0,-617611.0,-3129.0,17501.0
淨確定福利負債增加(減少),634860.0,-949392.0,-820937.0,-4098.0
與營業活動相關之負債之淨變動合計,7.0,-542627.0,-846238.0,-772127.0
與營業活動相關之資產及負債之淨變動合計,-12508.0,525680.0,-247029.0,29959.0
調整項目合計,-70705.0,597.0,1155951.0,1316798.0
營運產生之現金流入（流出）,551654.0,-27575.0,1025.0,2002458.0
收取之利息,,-388467.0,10425.0,6098.0
收取之股利,0.0,110235.0,-47902.0,10425.0
支付之利息,-248554.0,,-417776.0,-72299.0
退還（支付）之所得稅,3381.0,0.0,701723.0,-388130.0
營業活動之淨現金流入（流出）,-14.0,12532.0,,1558552.0
投資活動之現金流量,-1485.0,0.0,-39770.0,
取得透過其他綜合損益按公允價值衡量之金融資產,0.0,0.0,12532.0,-39771.0
處分透過其他綜合損益按公允價值衡量之金融資產,-247619.0,-274598.0,0.0,12533.0
取得透過損益按公允價值衡量之金融資產,-494291.0,15048.0,0.0,0.0
處分透過損益按公允價值衡量之金融資產,,-3859.0,-259239.0,0.0
取得不動產、廠房及設備,4698711.0,-1591.0,15248.0,-1034925.0
處分不動產、廠房及設備,-5758981.0,0.0,-4409.0,15248.0
存出保證金增加,700000.0,-621819.0,-4839.0,-2676.0
取得無形資產,-228571.0,-874287.0,0.0,-6281.0
其他非流動資產增加,13916.0,,-875322.0,0.0
預付設備款增加,-2501.0,10930917.0,-1155799.0,-327987.0
投資活動之淨現金流入（流出）,-577426.0,-10638506.0,,-1383859.0
籌資活動之現金流量,-39894.0,900000.0,16153950.0,
短期借款增加,-559957.0,-228571.0,-16212942.0,20216918.0
短期借款減少,1396077.0,14935.0,1000000.0,-20951537.0
舉借長期借款,836120.0,-4874.0,-257142.0,1400000.0
償還長期借款,836120.0,973901.0,12174.0,-257143.0
