會計項目,Q1金額,Q1百分比(%),Q2金額,Q2百分比(%),Q3金額,Q3百分比(%),Q4金額,Q4百分比(%)
銷貨收入淨額,655347.0,92.74,713472.0,90.86,859902.0,89.15,3156709.0,91.06
裝置收入淨額,50186.0,7.1,69590.0,8.86,101026.0,10.47,3156709.0,91.06
勞務收入,50186.0,7.1,69590.0,8.86,101026.0,10.47,301075.0,8.68
其他營業收入淨額,1110.0,0.16,2157.0,0.27,3660.0,0.38,301075.0,8.68
營業收入合計,706643.0,100.0,785219.0,100.0,964588.0,100.0,8841.0,0.26
營業成本合計,611645.0,86.56,696684.0,88.72,795337.0,82.45,3466625.0,100.0
營業毛利（毛損）,94998.0,13.44,88535.0,11.28,169251.0,17.55,3018531.0,87.07
營業毛利（毛損）淨額,94998.0,13.44,88535.0,11.28,169251.0,17.55,448094.0,12.93
營業費用,,,,,,,448094.0,12.93
推銷費用,19798.0,2.8,20132.0,2.56,19612.0,2.03,,
管理費用,13597.0,1.92,15104.0,1.92,24245.0,2.51,80884.0,2.33
預期信用減損損失（利益）,6891.0,0.98,-6943.0,-0.88,807.0,0.08,68524.0,1.98
營業費用合計,40286.0,5.7,28293.0,3.6,44664.0,4.63,-3418.0,-0.1
其他收益及費損淨額,,,,,,,145990.0,4.21
其他收益及費損淨額,2691.0,0.38,5166.0,0.66,7065.0,0.73,,
營業利益（損失）,57403.0,8.12,65408.0,8.33,131652.0,13.65,21947.0,0.63
營業外收入及支出,,,,,,,324051.0,9.35
利息收入,661.0,0.09,481.0,0.06,886.0,0.09,,
其他收入,4035.0,0.57,24990.0,3.18,67804.0,7.03,3451.0,0.1
其他利益及損失淨額,-2986.0,-0.42,-7102.0,-0.9,1290.0,0.13,109132.0,3.15
財務成本淨額,3075.0,0.44,4151.0,0.53,4965.0,0.51,-21865.0,-0.63
採用權益法認列之關聯企業及合資損益之份額淨額,-618.0,-0.09,-1076.0,-0.14,-689.0,-0.07,18108.0,0.52
營業外收入及支出合計,-1983.0,-0.28,13142.0,1.67,64326.0,6.67,-3555.0,-0.1
稅前淨利（淨損）,55420.0,7.84,78550.0,10.0,195978.0,20.32,69055.0,1.99
所得稅費用（利益）合計,10601.0,1.5,21444.0,2.73,25466.0,2.64,393106.0,11.34
繼續營業單位本期淨利（淨損）,44819.0,6.34,57106.0,7.27,170512.0,17.68,63594.0,1.83
本期淨利（淨損）,44819.0,6.34,57106.0,7.27,170512.0,17.68,329512.0,9.51
其他綜合損益(淨額),,,,,,,,
透過其他綜合損益按公允價值衡量之權益工具投資未實現評價損益,67600.0,9.57,-155579.0,-19.81,-141757.0,-14.7,0.0,0.0
不重分類至損益之項目：,67600.0,9.57,-155579.0,-19.81,0.0,0.0,329512.0,9.51
其他綜合損益（淨額）,67600.0,9.57,-155579.0,-19.81,-141757.0,-14.7,,
本期綜合損益總額,112419.0,15.91,-98473.0,-12.54,-141757.0,-14.7,18276.0,0.53
淨利（損）歸屬於：,,,,,28755.0,2.98,-192559.0,-5.55
母公司業主（淨利∕損）,44819.0,6.34,57105.0,7.27,,,3655.0,0.11
非控制權益（淨利∕損）,0.0,0.0,1.0,0.0,169186.0,17.54,-177938.0,-5.13
母公司業主（綜合損益）,110270.0,15.6,-93835.0,-11.95,1326.0,0.14,-177938.0,-5.13
非控制權益（綜合損益）,2149.0,0.3,-4638.0,-0.59,31226.0,3.24,151574.0,4.37
基本每股盈餘,,,,,-2471.0,-0.26,,
基本每股盈餘,0.28,,0.36,,,,328250.0,9.47
稀釋每股盈餘,,,,,1.07,,1262.0,0.04
繼續營業單位淨利（淨損）,0.28,,0.36,,1.07,,155625.0,4.49
稀釋每股盈餘,0.28,,0.36,,,,-4051.0,-0.12
