會計項目,Q1金額,Q2金額,Q3金額,Q4金額
營業活動之現金流量－間接法,,,,
繼續營業單位稅前淨利（淨損）,351379.0,348562.0,709542.0,1214588.0
本期稅前淨利（淨損）,351379.0,348562.0,709542.0,1214588.0
折舊費用,158044.0,318108.0,480456.0,644427.0
攤銷費用,69.0,156.0,249.0,393.0
預期信用減損損失（利益）數∕呆帳費用提列（轉列收入）數,27.0,21.0,737.0,-1987.0
透過損益按公允價值衡量金融資產及負債之淨損失（利益）,-119971.0,-2832.0,24521.0,-256194.0
利息費用,85088.0,188267.0,327364.0,476693.0
利息收入,-1333.0,-8957.0,-14906.0,-27758.0
股利收入,-1056.0,-25779.0,-116474.0,-117852.0
股份基礎給付酬勞成本,1706.0,-9188.0,-29814.0,0.0
採用權益法認列之關聯企業及合資損失（利益）之份額,-533.0,-10797.0,-11884.0,-53910.0
處分及報廢不動產、廠房及設備損失（利益）,1151.0,8729.0,15392.0,-14602.0
不動產、廠房及設備轉列費用數,5726.0,0.0,0.0,16060.0
處分投資損失（利益）,1101.0,5726.0,3026.0,-98643.0
處分採用權益法之投資損失（利益）,-593.0,-1165.0,-1255.0,-1253.0
金融資產減損損失,129426.0,10771.0,4581.0,10173.0
非金融資產減損損失,-88130.0,-593.0,-593.0,7227.0
未實現銷貨利益（損失）,-22966.0,472467.0,681400.0,2353.0
已實現銷貨損失（利益）,89914.0,-370665.0,-492139.0,-593.0
收益費損項目合計,27356.0,-49129.0,-99927.0,584534.0
強制透過損益按公允價值衡量之金融資產（增加）減少,-84884.0,-317405.0,245213.0,-625029.0
合約資產（增加）減少,74016.0,-31969.0,-6967.0,-137603.0
應收票據（增加）減少,-20425.0,-907567.0,-861694.0,47170.0
應收帳款（增加）減少,-25119.0,-216224.0,-90281.0,384065.0
其他應收款（增加）減少,170701.0,-17538.0,-8710.0,21730.0
存貨（增加）減少,-30859.0,-1910497.0,-1314505.0,-1145909.0
預付款項（增加）減少,-137052.0,154635.0,261244.0,-226889.0
其他流動資產（增加）減少,6977.0,128437.0,53234.0,-7839.0
與營業活動相關之資產之淨變動合計,1643.0,-62293.0,-61599.0,-1690304.0
合約負債增加（減少）,34003.0,10060.0,17343.0,157508.0
應付票據增加（減少）,-7577.0,0.0,32519.0,-1995.0
應付帳款增加（減少）,37836.0,-5039.0,-17363.0,92939.0
其他應付款增加（減少）,12717.0,-12487.0,285378.0,64407.0
負債準備增加（減少）,142143.0,213313.0,-1029127.0,-7154.0
其他流動負債增加（減少）,493522.0,-1697184.0,-347727.0,-7180.0
淨確定福利負債增加(減少),1345.0,-1224717.0,361815.0,-28991.0
與營業活動相關之負債之淨變動合計,-78589.0,-876155.0,14918.0,269534.0
與營業活動相關之資產及負債之淨變動合計,-9455.0,-175095.0,-314319.0,-1420770.0
調整項目合計,406823.0,8969.0,-212476.0,-836236.0
營運產生之現金流入（流出）,,-159400.0,-150062.0,378352.0
收取之利息,-28206.0,-1201681.0,,27694.0
支付之利息,3427.0,,-90211.0,-458597.0
退還（支付）之所得稅,-18266.0,-90212.0,0.0,-242515.0
營業活動之淨現金流入（流出）,-19353.0,0.0,3582.0,-295066.0
投資活動之現金流量,-249004.0,3504.0,-38680.0,
取得透過其他綜合損益按公允價值衡量之金融資產,679.0,-27301.0,-130549.0,-140232.0
處分透過其他綜合損益按公允價值衡量之金融資產,-30684.0,-102618.0,31435.0,0.0
透過其他綜合損益按公允價值衡量之金融資產減資退回股款,-667.0,11337.0,0.0,14610.0
取得按攤銷後成本衡量之金融資產,0.0,-720783.0,-1764661.0,1706.0
取得採用權益法之投資,5702.0,38456.0,40611.0,-141717.0
處分採用權益法之投資,946.0,-40323.0,-49739.0,31419.0
對子公司之收購（扣除所取得之現金）,-56587.0,-667.0,-996.0,0.0
取得不動產、廠房及設備,-392013.0,-257.0,-10141.0,-3313673.0
處分不動產、廠房及設備,,0.0,0.0,44385.0
存出保證金增加,-1326608.0,-11925.0,-5653.0,-140661.0
取得無形資產,-95008.0,30295.0,183616.0,-1446.0
取得使用權資產,2072897.0,-245571.0,-342096.0,0.0
取得投資性不動產,-730412.0,-1156065.0,-2173482.0,0.0
其他非流動資產增加,-16146.0,,,-23305.0
收取之股利,-20912.0,495462.0,360362.0,184994.0
其他投資活動,0.0,-216.0,54784.0,-461167.0
投資活動之淨現金流入（流出）,-116189.0,2597812.0,3570153.0,-3945087.0
籌資活動之現金流量,54725.0,-868036.0,-994706.0,
短期借款增加,-46654.0,-20308.0,-32135.0,-218100.0
應付短期票券減少,4999261.0,-26885.0,-33933.0,459719.0
發行公司債,4952607.0,0.0,-223513.0,0.0
舉借長期借款,4952607.0,0.0,3611.0,4725724.0
