會計項目,Q1金額,Q1百分比(%),Q2金額,Q2百分比(%),Q3金額,Q3百分比(%),Q4金額,Q4百分比(%)
流動資產,,,,,,,,
現金及約當現金,326672.0,8.47,258710.0,7.42,115907.0,3.33,78296.0,2.09
透過損益按公允價值衡量之金融資產－流動,150092.0,3.89,100766.0,2.89,100172.0,2.88,138214.0,3.69
透過其他綜合損益按公允價值衡量之金融資產－流動,248752.0,6.45,198106.0,5.68,190542.0,5.48,199660.0,5.33
應收票據淨額,50283.0,1.3,38952.0,1.12,62805.0,1.8,77626.0,2.07
應收帳款淨額,686467.0,17.79,394611.0,11.31,524749.0,15.08,728938.0,19.47
其他應收款淨額,1633.0,0.04,16713.0,0.48,4586.0,0.13,2579.0,0.07
存貨,495468.0,12.84,666905.0,19.12,639124.0,18.37,598380.0,15.98
預付款項,62122.0,1.61,13759.0,0.39,43511.0,1.25,41381.0,1.11
待出售非流動資產（或處分群組）淨額,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他流動資產,1186.0,0.03,1519.0,0.04,6427.0,0.18,10732.0,0.29
流動資產合計,2022675.0,52.42,1690041.0,48.45,1687823.0,48.51,1875806.0,50.11
非流動資產,,,,,,,,
透過其他綜合損益按公允價值衡量之金融資產－非流動,221752.0,5.75,168507.0,4.83,141665.0,4.07,163430.0,4.37
不動產、廠房及設備,1102583.0,28.57,1122292.0,32.18,1135302.0,32.63,1190758.0,31.81
投資性不動產淨額,457127.0,11.85,18357.0,0.53,17894.0,0.51,17431.0,0.47
無形資產,9.0,0.0,456827.0,13.1,456526.0,13.12,456225.0,12.19
遞延所得稅資產,3508.0,0.09,5.0,0.0,1.0,0.0,0.0,0.0
其他非流動資產,50948.0,1.32,3508.0,0.1,3508.0,0.1,3846.0,0.1
非流動資產合計,1835927.0,47.58,28441.0,0.82,36785.0,1.06,35922.0,0.96
資產總額,3858602.0,100.0,1797937.0,51.55,1791681.0,51.49,1867612.0,49.89
流動負債,,,3487978.0,100.0,3479504.0,100.0,3743418.0,100.0
短期借款,589345.0,15.27,,,,,,
透過損益按公允價值衡量之金融負債－流動,0.0,0.0,299000.0,8.57,440663.0,12.66,540881.0,14.45
合約負債－流動,14054.0,0.36,87.0,0.0,0.0,0.0,0.0,0.0
應付票據,7381.0,0.19,8942.0,0.26,13475.0,0.39,8221.0,0.22
應付帳款,269479.0,6.98,7165.0,0.21,43966.0,1.26,18013.0,0.48
其他應付款,88209.0,2.29,177948.0,5.1,240221.0,6.9,192458.0,5.14
本期所得稅負債,57271.0,1.48,364272.0,10.44,95968.0,2.76,102040.0,2.73
其他流動負債,17482.0,0.45,55789.0,1.6,36285.0,1.04,72696.0,1.94
流動負債合計,1043221.0,27.04,1322.0,0.04,1765.0,0.05,1770.0,0.05
非流動負債,,,18061.0,0.52,18707.0,0.54,23605.0,0.63
長期借款,184211.0,4.77,932586.0,26.74,891050.0,25.61,959684.0,25.64
遞延所得稅負債,30794.0,0.8,,,,,,
其他非流動負債,0.0,0.0,181579.0,5.21,178947.0,5.14,176316.0,4.71
非流動負債合計,215005.0,5.57,30794.0,0.88,30794.0,0.89,31064.0,0.83
負債總額,1258226.0,32.61,16588.0,0.48,16145.0,0.46,15701.0,0.42
歸屬於母公司業主之權益,,,0.0,0.0,23.0,0.0,223081.0,5.96
股本,,,228961.0,6.56,225909.0,6.49,1182765.0,31.6
普通股股本,1378138.0,35.72,1161547.0,33.3,1116959.0,32.1,,
股本合計,1378138.0,35.72,,,,,,
資本公積,,,,,,,1488389.0,39.76
資本公積合計,0.0,0.0,1378138.0,39.51,1488389.0,42.78,1488389.0,39.76
保留盈餘,,,110251.0,3.16,1488389.0,42.78,,
法定盈餘公積,281608.0,7.3,1488389.0,42.67,,,0.0,0.0
特別盈餘公積,192417.0,4.99,,,326750.0,9.39,,
未分配盈餘（或待彌補虧損）,785691.0,20.36,0.0,0.0,61490.0,1.77,326750.0,8.73
保留盈餘合計,1259716.0,32.65,,,649027.0,18.65,61490.0,1.64
其他權益,,,326750.0,9.37,1037267.0,29.81,816251.0,21.8
透過其他綜合損益按公允價值衡量之金融資產未實現評價損益,-37478.0,-0.97,61490.0,1.76,,,1204491.0,32.18
其他權益－其他,0.0,0.0,578506.0,16.59,-163111.0,-4.69,,
其他權益合計,-37478.0,-0.97,966746.0,27.72,2362545.0,67.9,-132227.0,-3.53
歸屬於母公司業主之權益合計,2600376.0,67.39,,,2362545.0,67.9,-132227.0,-3.53
權益總額,2600376.0,67.39,-128704.0,-3.69,3479504.0,100.0,2560653.0,68.4
負債及權益總計,3858602.0,100.0,0.0,0.0,0.0,,2560653.0,68.4
預收股款（權益項下）之約當發行股數（單位：股）,0.0,,-128704.0,-3.69,0.0,,3743418.0,100.0
母公司暨子公司所持有之母公司庫藏股股數（單位：股）,0.0,,2326431.0,66.7,,,0.0,
