會計項目,Q1金額,Q1百分比(%),Q2金額,Q2百分比(%),Q3金額,Q3百分比(%),Q4金額,Q4百分比(%)
流動資產,,,,,,,,
現金及約當現金,9532138.0,4.82,5861619.0,2.9,11513853.0,5.26,14482285.0,6.54
透過損益按公允價值衡量之金融資產－流動,2065213.0,1.05,790335.0,0.39,865120.0,0.4,181682.0,0.08
透過其他綜合損益按公允價值衡量之金融資產－流動,11423519.0,5.78,10468198.0,5.17,22552764.0,10.3,25768699.0,11.63
按攤銷後成本衡量之金融資產－流動,143375.0,0.07,59540.0,0.03,1550.0,0.0,6684.0,0.0
應收票據淨額,5948637.0,3.01,5064926.0,2.5,6869634.0,3.14,6842112.0,3.09
應收帳款淨額,67000755.0,33.91,71039675.0,35.11,67627005.0,30.89,71827487.0,32.43
應收帳款－關係人淨額,435903.0,0.22,415748.0,0.21,568513.0,0.26,499491.0,0.23
其他應收款淨額,7135053.0,3.61,8144845.0,4.03,6930991.0,3.17,7234780.0,3.27
本期所得稅資產,113607.0,0.06,137260.0,0.07,145319.0,0.07,111526.0,0.05
存貨,51330687.0,25.98,56498038.0,27.92,63957647.0,29.21,57299453.0,25.87
預付款項,5100697.0,2.58,7750974.0,3.83,6224602.0,2.84,6313650.0,2.85
流動資產合計,160229584.0,81.1,166231158.0,82.15,187256998.0,85.54,190567849.0,86.04
非流動資產,,,,,,,,
透過其他綜合損益按公允價值衡量之金融資產－非流動,6787009.0,3.44,5603435.0,2.77,5294545.0,2.42,5683237.0,2.57
按攤銷後成本衡量之金融資產－非流動,1472335.0,0.75,1499728.0,0.74,2243057.0,1.02,866178.0,0.39
採用權益法之投資,13770347.0,6.97,14076955.0,6.96,8955705.0,4.09,8964673.0,4.05
不動產、廠房及設備,9908752.0,5.02,9725052.0,4.81,9760373.0,4.46,9757191.0,4.41
使用權資產,1086423.0,0.55,974907.0,0.48,989294.0,0.45,1195314.0,0.54
投資性不動產淨額,1034674.0,0.52,1009252.0,0.5,1004021.0,0.46,987460.0,0.45
無形資產,648633.0,0.33,653639.0,0.32,678244.0,0.31,665725.0,0.3
遞延所得稅資產,980018.0,0.5,952858.0,0.47,1174428.0,0.54,1091022.0,0.49
其他非流動資產,1650209.0,0.84,1619533.0,0.8,1564285.0,0.71,1717668.0,0.78
非流動資產合計,37338400.0,18.9,36115359.0,17.85,31663952.0,14.46,30928468.0,13.96
資產總額,197567984.0,100.0,202346517.0,100.0,218920950.0,100.0,221496317.0,100.0
流動負債,,,,,,,,
短期借款,54059294.0,27.36,61779096.0,30.53,72364152.0,33.05,73314084.0,33.1
應付短期票券,10330000.0,5.23,10020000.0,4.95,5080000.0,2.32,4860000.0,2.19
透過損益按公允價值衡量之金融負債－流動,1388.0,0.0,577.0,0.0,66.0,0.0,4484.0,0.0
應付票據,962343.0,0.49,525525.0,0.26,560775.0,0.26,1239838.0,0.56
應付帳款,40531613.0,20.52,40028509.0,19.78,42767515.0,19.54,30623774.0,13.83
其他應付款,14977033.0,7.58,16261164.0,8.04,8236573.0,3.76,7607914.0,3.43
本期所得稅負債,1461808.0,0.74,1204562.0,0.6,1098273.0,0.5,1202706.0,0.54
租賃負債－流動,222707.0,0.11,205994.0,0.1,184028.0,0.08,285994.0,0.13
其他流動負債,5464786.0,2.77,3300681.0,1.63,3533237.0,1.61,4231772.0,1.91
流動負債合計,128010972.0,64.79,133326108.0,65.89,133824619.0,61.13,123370566.0,55.7
非流動負債,,,,,,,,
長期借款,1500000.0,0.76,1500000.0,0.74,7500000.0,3.43,15900000.0,7.18
遞延所得稅負債,4213193.0,2.13,4116191.0,2.03,5855433.0,2.67,6612570.0,2.99
租賃負債－非流動,178553.0,0.09,116629.0,0.06,153682.0,0.07,268227.0,0.12
其他非流動負債,572210.0,0.29,448784.0,0.22,454002.0,0.21,413920.0,0.19
非流動負債合計,6463956.0,3.27,6181604.0,3.05,13963117.0,6.38,23194717.0,10.47
負債總額,134474928.0,68.07,139507712.0,68.94,147787736.0,67.51,146565283.0,66.17
歸屬於母公司業主之權益,,,,,,,,
股本,,,,,,,,
普通股股本,16679470.0,8.44,16679470.0,8.24,16679470.0,7.62,16679470.0,7.53
股本合計,16679470.0,8.44,16679470.0,8.24,16679470.0,7.62,16679470.0,7.53
資本公積,,,,,,,,
資本公積－發行溢價,13626940.0,6.9,13626940.0,6.73,13626940.0,6.22,12814051.0,5.79
資本公積－庫藏股票交易,340678.0,0.17,340678.0,0.17,340678.0,0.16,340678.0,0.15
資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,80892.0,0.04,56343.0,0.03,56982.0,0.03,118239.0,0.05
資本公積－認股權,228445.0,0.12,228445.0,0.11,228445.0,0.1,228445.0,0.1
資本公積－其他,4491.0,0.0,4492.0,0.0,4491.0,0.0,4491.0,0.0
資本公積合計,14281446.0,7.23,14256898.0,7.05,14257536.0,6.51,13505904.0,6.1
保留盈餘,,,,,,,,
法定盈餘公積,9673477.0,4.9,11368673.0,5.62,11368673.0,5.19,11368673.0,5.13
特別盈餘公積,6336545.0,3.21,8247113.0,4.08,8247113.0,3.77,8247113.0,3.72
未分配盈餘（或待彌補虧損）,19173695.0,9.7,17945325.0,8.87,26305629.0,12.02,28800686.0,13.0
保留盈餘合計,35183717.0,17.81,37561111.0,18.56,45921415.0,20.98,48416472.0,21.86
其他權益,,,,,,,,
國外營運機構財務報表換算之兌換差額,-6901107.0,-3.49,-7033844.0,-3.48,-3267401.0,-1.49,-5467061.0,-2.47
透過其他綜合損益按公允價值衡量之金融資產未實現評價損益,1359122.0,0.69,-1164546.0,-0.58,-4768111.0,-2.18,-571348.0,-0.26
其他權益合計,-5541985.0,-2.81,-8198390.0,-4.05,-8035512.0,-3.67,-6038409.0,-2.73
歸屬於母公司業主之權益合計,60602648.0,30.67,60299089.0,29.8,68822909.0,31.44,72563437.0,32.76
非控制權益,2490408.0,1.26,2539716.0,1.26,2310305.0,1.06,2367597.0,1.07
權益總額,63093056.0,31.93,62838805.0,31.06,71133214.0,32.49,74931034.0,33.83
負債及權益總計,197567984.0,100.0,202346517.0,100.0,218920950.0,100.0,221496317.0,100.0
待註銷股本股數（單位：股）,0.0,,0.0,,0.0,,0.0,
預收股款（權益項下）之約當發行股數（單位：股）,0.0,,0.0,,0.0,,0.0,
母公司暨子公司所持有之母公司庫藏股股數（單位：股）,0.0,,0.0,,0.0,,0.0,
