會計項目,Q1金額,Q1百分比(%),Q2金額,Q2百分比(%),Q3金額,Q3百分比(%),Q4金額,Q4百分比(%)
營業收入合計,100865185.0,100.0,103353405.0,100.0,108793437.0,100.0,424550420.0,100.0
營業成本合計,96581955.0,95.75,99223633.0,96.0,104462426.0,96.02,406707201.0,95.8
營業毛利（毛損）,4283230.0,4.25,4129772.0,4.0,4331011.0,3.98,17843219.0,4.2
營業毛利（毛損）淨額,4283230.0,4.25,4129772.0,4.0,4331011.0,3.98,17843219.0,4.2
營業費用,,,,,,,,
推銷費用,1637128.0,1.62,1722894.0,1.67,1873033.0,1.72,6926926.0,1.63
管理費用,386130.0,0.38,358324.0,0.35,404252.0,0.37,1529338.0,0.36
預期信用減損損失（利益）,-34964.0,-0.03,61981.0,0.06,48296.0,0.04,249419.0,0.06
營業費用合計,1988294.0,1.97,2143199.0,2.07,2325581.0,2.14,8705683.0,2.05
營業利益（損失）,2294936.0,2.28,1986573.0,1.92,2005430.0,1.84,9137536.0,2.15
營業外收入及支出,,,,,,,,
利息收入,52509.0,0.05,72656.0,0.07,90142.0,0.08,323504.0,0.08
其他收入,273833.0,0.27,453461.0,0.44,335995.0,0.31,1297170.0,0.31
其他利益及損失淨額,116909.0,0.12,705.0,0.0,8089417.0,7.44,8511724.0,2.0
財務成本淨額,165417.0,0.16,222226.0,0.22,412174.0,0.38,1435728.0,0.34
採用權益法認列之關聯企業及合資損益之份額淨額,670631.0,0.66,738904.0,0.71,507100.0,0.47,2440589.0,0.57
營業外收入及支出合計,948465.0,0.94,1043500.0,1.01,8610480.0,7.91,11137259.0,2.62
稅前淨利（淨損）,3243401.0,3.22,3030073.0,2.93,10615910.0,9.76,20274795.0,4.78
所得稅費用（利益）合計,545318.0,0.54,586177.0,0.57,2086996.0,1.92,3944469.0,0.93
繼續營業單位本期淨利（淨損）,2698083.0,2.67,2443896.0,2.36,8528914.0,7.84,16330326.0,3.85
本期淨利（淨損）,2698083.0,2.67,2443896.0,2.36,8528914.0,7.84,16330326.0,3.85
其他綜合損益(淨額),,,,,,,,
透過其他綜合損益按公允價值衡量之權益工具投資未實現評價損益,-1019775.0,-1.01,-2526202.0,-2.44,-3607450.0,-3.32,37098.0,0.01
採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,-15589.0,-0.02,2534.0,0.0,2263.0,0.0,-2951537.0,-0.7
不重分類至損益之項目：,-1035364.0,-1.03,-2523668.0,-2.44,-3605187.0,-3.31,-15948.0,0.0
國外營運機構財務報表換算之兌換差額,3817831.0,3.79,13520.0,0.01,3545960.0,3.26,7419.0,0.0
採用權益法認列之關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,2459.0,0.0,-163203.0,-0.16,-3116.0,0.0,-2937806.0,-0.69
後續可能重分類至損益之項目：,3820290.0,3.79,-149683.0,-0.14,3542844.0,3.26,4739093.0,1.12
其他綜合損益（淨額）,2784926.0,2.76,-2673351.0,-2.59,-62343.0,-0.06,136572.0,0.03
本期綜合損益總額,5483009.0,5.44,-229455.0,-0.22,8466571.0,7.78,4875665.0,1.15
淨利（損）歸屬於：,,,,,,,1937859.0,0.46
母公司業主（淨利∕損）,2544958.0,2.52,2377642.0,2.3,8362209.0,7.69,18268185.0,4.3
非控制權益（淨利∕損）,153125.0,0.15,66254.0,0.06,166705.0,0.15,,
母公司業主（綜合損益）,5250085.0,5.21,-278763.0,-0.27,8219030.0,7.55,15748824.0,3.71
非控制權益（綜合損益）,232924.0,0.23,49308.0,0.05,247541.0,0.23,581502.0,0.14
基本每股盈餘,,,,,,,17681120.0,4.16
繼續營業單位淨利（淨損）,1.53,,1.43,,5.01,,587065.0,0.14
基本每股盈餘,1.53,,1.43,,5.01,,,
稀釋每股盈餘,,,,,,,9.44,
繼續營業單位淨利（淨損）,1.53,,1.43,,5.01,,9.44,
稀釋每股盈餘,1.53,,1.43,,5.01,,,
