會計項目,Q1金額,Q2金額,Q3金額,Q4金額
營業活動之現金流量－間接法,,,,
繼續營業單位稅前淨利（淨損）,3243401.0,6273474.0,16889384.0,20274795.0
本期稅前淨利（淨損）,3243401.0,6273474.0,16889384.0,20274795.0
折舊費用,146890.0,289630.0,430989.0,577732.0
攤銷費用,10284.0,20543.0,31296.0,43038.0
預期信用減損損失（利益）數∕呆帳費用提列（轉列收入）數,-34964.0,27017.0,75313.0,249419.0
透過損益按公允價值衡量金融資產及負債之淨損失（利益）,-15375.0,105.0,-1103.0,-2113.0
利息費用,165417.0,387643.0,799817.0,1435728.0
利息收入,-52509.0,-125165.0,-215307.0,-323504.0
股利收入,-64946.0,-279827.0,-390655.0,-396196.0
採用權益法認列之關聯企業及合資損失（利益）之份額,-670631.0,-1409535.0,-1916635.0,-2440589.0
處分及報廢不動產、廠房及設備損失（利益）,-866.0,-14057.0,-10875.0,-11865.0
處分採用權益法之投資損失（利益）,0.0,0.0,-8199519.0,-8345108.0
其他項目,149332.0,289422.0,514893.0,412413.0
收益費損項目合計,-367368.0,-814224.0,-8881786.0,-8801045.0
應收票據（增加）減少,432044.0,1459112.0,-493125.0,-466527.0
應收帳款（增加）減少,11528191.0,7297291.0,10882065.0,6602467.0
應收帳款－關係人（增加）減少,265570.0,285725.0,132960.0,201982.0
其他應收款（增加）減少,-803576.0,-1704854.0,-602472.0,-951770.0
存貨（增加）減少,-3766747.0,-9074382.0,-16759462.0,-9998788.0
預付款項（增加）減少,-171976.0,-2822253.0,-1295881.0,-1384929.0
其他金融資產（增加）減少,-114183.0,-52178.0,-61370.0,-227130.0
其他營業資產（增加）減少,15491.0,24572.0,21712.0,25914.0
與營業活動相關之資產之淨變動合計,7384814.0,-4586967.0,-8175573.0,-6198781.0
應付票據增加（減少）,-84213.0,-521031.0,-485781.0,193282.0
應付帳款增加（減少）,-8514454.0,-9017558.0,-6278552.0,-18422293.0
其他應付款增加（減少）,-566380.0,717751.0,555943.0,404236.0
其他流動負債增加（減少）,682824.0,-1481281.0,-1248725.0,-550190.0
其他營業負債增加（減少）,26861.0,-92640.0,-96676.0,-150637.0
與營業活動相關之負債之淨變動合計,-8455362.0,-10394759.0,-7553791.0,-18525602.0
與營業活動相關之資產及負債之淨變動合計,-1070548.0,-14981726.0,-15729364.0,-24724383.0
調整項目合計,-1437916.0,-15795950.0,-24611150.0,-33525428.0
營運產生之現金流入（流出）,1805485.0,-9522476.0,-7721766.0,-13250633.0
收取之利息,52509.0,125165.0,215307.0,323504.0
收取之股利,66927.0,835648.0,1555105.0,1627617.0
支付之利息,-165417.0,-387643.0,-799817.0,-1435728.0
退還（支付）之所得稅,-331576.0,-1268496.0,-1952163.0,-2353130.0
營業活動之淨現金流入（流出）,1427928.0,-10217802.0,-8703334.0,-15088370.0
投資活動之現金流量,,,,
處分透過其他綜合損益按公允價值衡量之金融資產,292167.0,1490739.0,205134.0,205134.0
取得透過損益按公允價值衡量之金融資產,-20944.0,0.0,0.0,0.0
處分透過損益按公允價值衡量之金融資產,0.0,0.0,1418420.0,2046087.0
處分採用權益法之投資,-115910.0,-159974.0,0.0,0.0
處分子公司,5291.0,21796.0,0.0,0.0
取得不動產、廠房及設備,-197.0,-17698.0,-216250.0,-303737.0
處分不動產、廠房及設備,2736.0,4421.0,25426.0,26732.0
存出保證金增加,-5218.0,-7453.0,-21688.0,-36394.0
存出保證金減少,-1704.0,-1712.0,6401.0,36369.0
取得無形資產,-177079.0,-269487.0,-11908.0,-20362.0
取得投資性不動產,876.0,149726.0,-1798.0,-1795.0
其他金融資產增加,-8486.0,-17029.0,-1063308.0,-1077643.0
其他金融資產減少,-28468.0,1193329.0,258208.0,1644288.0
其他投資活動,,,-29242.0,-27049.0
投資活動之淨現金流入（流出）,732587.0,8452389.0,569395.0,2491630.0
籌資活動之現金流量,0.0,0.0,,
短期借款增加,-2160000.0,-2470000.0,19037445.0,19987377.0
應付短期票券減少,57470.0,86985.0,-7410000.0,-7630000.0
舉借長期借款,-50020.0,-64970.0,6000000.0,14400000.0
存入保證金增加,-63325.0,-115427.0,668759.0,697267.0
存入保證金減少,-1483288.0,-20944.0,-655849.0,-694006.0
租賃本金償還,2563008.0,5868033.0,-171436.0,-188997.0
發放現金股利,2479180.0,1965101.0,-8339735.0,-8339735.0
取得子公司股權,7052958.0,-1191339.0,-20944.0,-20944.0
非控制權益變動,9532138.0,7052958.0,9108240.0,-476952.0
籌資活動之淨現金流入（流出）,9532138.0,5861619.0,3486594.0,17734010.0
