會計項目,Q1金額,Q1百分比(%),Q2金額,Q2百分比(%),Q3金額,Q3百分比(%),Q4金額,Q4百分比(%)
流動資產,,,,,,,,
現金及約當現金,10581992.0,63.38,10979718.0,62.04,10419105.0,56.69,11592473.0,60.26
按攤銷後成本衡量之金融資產－流動,0.0,0.0,0.0,0.0,952800.0,5.18,1105812.0,5.75
應收票據淨額,41515.0,0.25,52051.0,0.29,52313.0,0.28,58382.0,0.3
應收帳款淨額,1539567.0,9.22,1869312.0,10.56,2143359.0,11.66,1766291.0,9.18
其他應收款淨額,33444.0,0.2,34933.0,0.2,37081.0,0.2,41536.0,0.22
存貨,999755.0,5.99,1128911.0,6.38,1073980.0,5.84,919754.0,4.78
其他流動資產,29821.0,0.18,37279.0,0.21,24629.0,0.13,35507.0,0.18
流動資產合計,13226094.0,79.22,14102204.0,79.68,14703267.0,80.01,15519755.0,80.68
非流動資產,,,,,,,,
不動產、廠房及設備,2697976.0,16.16,2798251.0,15.81,2888902.0,15.72,2955395.0,15.36
使用權資產,651586.0,3.9,641757.0,3.63,631927.0,3.44,622098.0,3.23
無形資產,2746.0,0.02,2354.0,0.01,2704.0,0.01,2319.0,0.01
遞延所得稅資產,76249.0,0.46,31699.0,0.18,29803.0,0.16,29534.0,0.15
其他非流動資產,41086.0,0.25,121199.0,0.68,121234.0,0.66,107112.0,0.56
非流動資產合計,3469643.0,20.78,3595260.0,20.32,3674570.0,19.99,3716458.0,19.32
資產總額,16695737.0,100.0,17697464.0,100.0,18377837.0,100.0,19236213.0,100.0
流動負債,,,,,,,,
應付票據,475395.0,2.85,445920.0,2.52,415964.0,2.26,341292.0,1.77
應付帳款,114835.0,0.69,136927.0,0.77,108823.0,0.59,87241.0,0.45
其他應付款,513604.0,3.08,1644563.0,9.29,752476.0,4.09,825788.0,4.29
本期所得稅負債,546424.0,3.27,456792.0,2.58,467643.0,2.54,628249.0,3.27
租賃負債－流動,35342.0,0.21,35484.0,0.2,35627.0,0.19,35771.0,0.19
其他流動負債,40439.0,0.24,44153.0,0.25,52927.0,0.29,54635.0,0.28
流動負債合計,1726039.0,10.34,2763839.0,15.62,1833460.0,9.98,1972976.0,10.26
非流動負債,,,,,,,,
長期借款,722066.0,4.32,722960.0,4.09,723856.0,3.94,894538.0,4.65
遞延所得稅負債,47090.0,0.28,57162.0,0.32,189932.0,1.03,89498.0,0.47
租賃負債－非流動,631790.0,3.78,622866.0,3.52,613905.0,3.34,604908.0,3.14
其他非流動負債,50475.0,0.3,50475.0,0.29,50475.0,0.27,35956.0,0.19
非流動負債合計,1451421.0,8.69,1453463.0,8.21,1578168.0,8.59,1624900.0,8.45
負債總額,3177460.0,19.03,4217302.0,23.83,3411628.0,18.56,3597876.0,18.7
歸屬於母公司業主之權益,,,,,,,,
股本,,,,,,,,
普通股股本,952971.0,5.71,952971.0,5.38,952971.0,5.19,952971.0,4.95
股本合計,952971.0,5.71,952971.0,5.38,952971.0,5.19,952971.0,4.95
資本公積,,,,,,,,
資本公積合計,796691.0,4.77,796691.0,4.5,796691.0,4.34,796691.0,4.14
保留盈餘,,,,,,,,
法定盈餘公積,1435887.0,8.6,1642442.0,9.28,1642442.0,8.94,1642442.0,8.54
特別盈餘公積,9219.0,0.06,9302.0,0.05,9302.0,0.05,9302.0,0.05
未分配盈餘（或待彌補虧損）,10327655.0,61.86,10083281.0,56.98,11565619.0,62.93,12241007.0,63.64
保留盈餘合計,11772761.0,70.51,11735025.0,66.31,13217363.0,71.92,13892751.0,72.22
其他權益,,,,,,,,
國外營運機構財務報表換算之兌換差額,-4146.0,-0.02,-4525.0,-0.03,-816.0,0.0,-4076.0,-0.02
其他權益合計,-4146.0,-0.02,-4525.0,-0.03,-816.0,0.0,-4076.0,-0.02
庫藏股票,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
歸屬於母公司業主之權益合計,13518277.0,80.97,13480162.0,76.17,14966209.0,81.44,15638337.0,81.3
非控制權益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
權益總額,13518277.0,80.97,13480162.0,76.17,14966209.0,81.44,15638337.0,81.3
負債及權益總計,16695737.0,100.0,17697464.0,100.0,18377837.0,100.0,19236213.0,100.0
待註銷股本股數（單位：股）,0.0,,0.0,,0.0,,0.0,
預收股款（權益項下）之約當發行股數（單位：股）,0.0,,0.0,,0.0,,0.0,
母公司暨子公司所持有之母公司庫藏股股數（單位：股）,0.0,,,,0.0,,,
