會計項目,Q1金額,Q1百分比(%),Q2金額,Q2百分比(%),Q3金額,Q3百分比(%),Q4金額,Q4百分比(%)
銷貨收入淨額,30134218.0,100.0,31322107.0,100.0,30795422.0,100.0,121086925.0,100.0
營業收入合計,30134218.0,100.0,31322107.0,100.0,30795422.0,100.0,121086925.0,100.0
營業成本合計,18648750.0,61.89,19169130.0,61.2,18940123.0,61.5,75068171.0,62.0
營業毛利（毛損）,11485468.0,38.11,12152977.0,38.8,11855299.0,38.5,46018754.0,38.0
營業毛利（毛損）淨額,11485468.0,38.11,12152977.0,38.8,11855299.0,38.5,46018754.0,38.0
營業費用,,,,,,,,
推銷費用,1568200.0,5.2,1736199.0,5.54,1654611.0,5.37,6545841.0,5.41
管理費用,1735235.0,5.76,1794537.0,5.73,1834214.0,5.96,7664970.0,6.33
研究發展費用,700957.0,2.33,722587.0,2.31,694431.0,2.25,2820376.0,2.33
預期信用減損損失（利益）,-5561.0,-0.02,12806.0,0.04,-5133.0,-0.02,-194.0,0.0
營業費用合計,3998831.0,13.27,4266129.0,13.62,4178123.0,13.57,17030993.0,14.07
營業利益（損失）,7486637.0,24.84,7886848.0,25.18,7677176.0,24.93,28987761.0,23.94
營業外收入及支出,,,,,,,,
利息收入,268717.0,0.89,323411.0,1.03,421231.0,1.37,1560937.0,1.29
其他收入,11171.0,0.04,12954.0,0.04,28220.0,0.09,66513.0,0.05
其他利益及損失淨額,475484.0,1.58,325038.0,1.04,443158.0,1.44,1587561.0,1.31
財務成本淨額,235121.0,0.78,269835.0,0.86,343528.0,1.12,1259408.0,1.04
採用權益法認列之關聯企業及合資損益之份額淨額,48644.0,0.16,88745.0,0.28,36301.0,0.12,184656.0,0.15
營業外收入及支出合計,568895.0,1.89,480313.0,1.53,585382.0,1.9,2140259.0,1.77
稅前淨利（淨損）,8055532.0,26.73,8367161.0,26.71,8262558.0,26.83,31128020.0,25.71
所得稅費用（利益）合計,1785546.0,5.93,2437233.0,7.78,1860494.0,6.04,8358145.0,6.9
繼續營業單位本期淨利（淨損）,6269986.0,20.81,5929928.0,18.93,6402064.0,20.79,22769875.0,18.8
本期淨利（淨損）,6269986.0,20.81,5929928.0,18.93,6402064.0,20.79,22769875.0,18.8
其他綜合損益(淨額),,,,,,,,
透過其他綜合損益按公允價值衡量之權益工具投資未實現評價損益,-8713.0,-0.03,-7609.0,-0.02,-38994.0,-0.13,300511.0,0.25
採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,-7584.0,-0.03,-211.0,0.0,-10192.0,-0.03,-74448.0,-0.06
不重分類至損益之項目：,-16297.0,-0.05,-7820.0,-0.02,-49186.0,-0.16,-23253.0,-0.02
國外營運機構財務報表換算之兌換差額,5334215.0,17.7,2856578.0,9.12,8334092.0,27.06,6717.0,0.01
避險工具之損益,306511.0,1.02,33957.0,0.11,62234.0,0.2,196093.0,0.16
採用權益法認列之關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,34754.0,0.12,-1420.0,0.0,44780.0,0.15,12533339.0,10.35
與可能重分類之項目相關之所得稅,1079712.0,3.58,571172.0,1.82,1675210.0,5.44,432724.0,0.36
後續可能重分類至損益之項目：,4595768.0,15.25,2317943.0,7.4,6765896.0,21.97,94178.0,0.08
其他綜合損益（淨額）,4579471.0,15.2,2310123.0,7.38,6716710.0,21.81,2336031.0,1.93
本期綜合損益總額,10849457.0,36.0,8240051.0,26.31,13118774.0,42.6,10724210.0,8.86
淨利（損）歸屬於：,,,,,,,10920303.0,9.02
母公司業主（淨利∕損）,6242293.0,20.71,5927320.0,18.92,6397381.0,20.77,33690178.0,27.82
共同控制下前手權益（淨利∕損）,1245.0,0.0,0.0,0.0,0.0,0.0,,
非控制權益（淨利∕損）,26448.0,0.09,2608.0,0.01,4683.0,0.02,22730465.0,18.77
母公司業主（綜合損益）,10814862.0,35.89,8238147.0,26.3,13111270.0,42.58,1245.0,0.0
共同控制下前手權益（綜合損益）,1245.0,0.0,0.0,0.0,0.0,0.0,38165.0,0.03
非控制權益（綜合損益）,33350.0,0.11,1904.0,0.01,7504.0,0.02,33644658.0,27.79
基本每股盈餘,,,,,,,1245.0,0.0
基本每股盈餘,11.59,,11.05,,12.1,,44275.0,0.04
稀釋每股盈餘,,,,,,,,
稀釋每股盈餘,11.29,,10.91,,11.97,,44.22,
