會計項目,Q1金額,Q2金額,Q3金額,Q4金額
營業活動之現金流量－間接法,,,,
繼續營業單位稅前淨利（淨損）,297504.0,565387.0,778669.0,791430.0
本期稅前淨利（淨損）,297504.0,565387.0,778669.0,791430.0
折舊費用,111285.0,226507.0,341313.0,454066.0
攤銷費用,1913.0,3670.0,5273.0,7345.0
預期信用減損損失（利益）數∕呆帳費用提列（轉列收入）數,-2000.0,-1762.0,8610.0,20015.0
透過損益按公允價值衡量金融資產及負債之淨損失（利益）,-26644.0,-3054.0,6868.0,-3911.0
利息費用,14821.0,33969.0,57177.0,89629.0
利息收入,-22940.0,-51922.0,-96213.0,-159224.0
股利收入,-61544.0,-23549.0,-23549.0,-23549.0
採用權益法認列之關聯企業及合資損失（利益）之份額,-63445.0,-129214.0,-181549.0,-213169.0
處分及報廢不動產、廠房及設備損失（利益）,0.0,-227397.0,-230536.0,-222955.0
處分採用權益法之投資損失（利益）,0.0,0.0,0.0,0.0
非金融資產減損損失,-48554.0,164007.0,164007.0,164007.0
其他項目,166.0,0.0,2138.0,-4182.0
收益費損項目合計,66932.0,-8745.0,53539.0,108072.0
強制透過損益按公允價值衡量之金融資產（增加）減少,166149.0,-13069.0,-17011.0,-21528.0
應收票據（增加）減少,4628.0,264748.0,151998.0,182325.0
應收帳款（增加）減少,3519.0,185155.0,217156.0,331382.0
應收帳款－關係人（增加）減少,742.0,7045.0,4903.0,67745.0
其他應收款（增加）減少,-169020.0,8048.0,6690.0,18744.0
其他應收款－關係人（增加）減少,-47466.0,746.0,-79.0,-1335.0
存貨（增加）減少,25650.0,7322.0,261156.0,444011.0
其他流動資產（增加）減少,3.0,-74951.0,-79939.0,-88685.0
與營業活動相關之資產之淨變動合計,-18821.0,385044.0,544874.0,932659.0
應付帳款增加（減少）,-9510.0,-148210.0,-252105.0,-292109.0
應付帳款－關係人增加（減少）,-70973.0,-7322.0,-8075.0,-6240.0
其他應付款增加（減少）,1305.0,-75575.0,-43686.0,-28528.0
其他應付款－關係人增加（減少）,30.0,1710.0,359.0,1520.0
負債準備增加（減少）,-14177.0,-81350.0,41325.0,39620.0
其他流動負債增加（減少）,-112143.0,-14403.0,-83991.0,-72960.0
淨確定福利負債增加(減少),-86493.0,-325150.0,-14615.0,-14826.0
與營業活動相關之負債之淨變動合計,-135047.0,59894.0,-360788.0,-373523.0
與營業活動相關之資產及負債之淨變動合計,162457.0,51149.0,184086.0,559136.0
調整項目合計,3755.0,616536.0,237625.0,667208.0
營運產生之現金流入（流出）,-14646.0,12822.0,1016294.0,1458638.0
收取之利息,-9737.0,-32889.0,30323.0,77096.0
收取之股利,141829.0,-161456.0,132589.0,132589.0
支付之利息,,435013.0,-54345.0,-84804.0
退還（支付）之所得稅,0.0,,-223869.0,-260007.0
營業活動之淨現金流入（流出）,-2361136.0,0.0,900992.0,1323512.0
投資活動之現金流量,2289263.0,0.0,,
取得透過其他綜合損益按公允價值衡量之金融資產,-277608.0,-6902038.0,0.0,0.0
處分透過其他綜合損益按公允價值衡量之金融資產,434470.0,6640018.0,0.0,0.0
取得按攤銷後成本衡量之金融資產,0.0,-557727.0,-10837721.0,-12337077.0
處分按攤銷後成本衡量之金融資產,-212006.0,635461.0,10516663.0,12000911.0
取得透過損益按公允價值衡量之金融資產,92883.0,0.0,-726201.0,-912205.0
處分透過損益按公允價值衡量之金融資產,-1570.0,-364480.0,686089.0,1066290.0
處分採用權益法之投資,-403.0,180502.0,0.0,0.0
採用權益法之被投資公司減資退回股款,-36107.0,-1494.0,-458256.0,12115.0
取得不動產、廠房及設備,,-2498.0,258897.0,-521218.0
處分不動產、廠房及設備,0.0,-372256.0,-1384.0,261814.0
存出保證金減少,-40000.0,,0.0,-1068.0
其他投資活動,0.0,145000.0,-15196.0,-33133.0
投資活動之淨現金流入（流出）,-61.0,-100003.0,-577109.0,-463571.0
籌資活動之現金流量,0.0,0.0,,
短期借款增加,-16667.0,-33333.0,330000.0,288500.0
應付短期票券減少,47.0,27.0,-88.0,49932.0
舉借長期借款,-9259.0,-15377.0,0.0,0.0
償還長期借款,-65940.0,0.0,-50000.0,-161399.0
存入保證金增加,129843.0,-3686.0,37.0,132.0
租賃本金償還,169625.0,101547.0,-32159.0,-38655.0
發放現金股利,830618.0,160618.0,-271688.0,-271688.0
現金減資,1000243.0,830618.0,-271689.0,-271689.0
庫藏股票處分,1000243.0,991236.0,0.0,0.0
