會計項目,Q1金額,Q1百分比(%),Q2金額,Q2百分比(%),Q3金額,Q3百分比(%),Q4金額,Q4百分比(%)
營業收入合計,9918460.0,100.0,9983283.0,100.0,9882771.0,100.0,38672549.0,100.0
營業成本合計,7440614.0,75.02,7686481.0,76.99,7334033.0,74.21,28962487.0,74.89
營業毛利（毛損）,2477846.0,24.98,2296802.0,23.01,2548738.0,25.79,9710062.0,25.11
營業毛利（毛損）淨額,2477846.0,24.98,2296802.0,23.01,2548738.0,25.79,9710062.0,25.11
營業費用,,,,,,,,
推銷費用,284798.0,2.87,307077.0,3.08,331135.0,3.35,1227895.0,3.18
管理費用,334843.0,3.38,328396.0,3.29,341621.0,3.46,1303681.0,3.37
研究發展費用,207398.0,2.09,207411.0,2.08,277914.0,2.81,953132.0,2.46
預期信用減損損失（利益）,-185.0,0.0,237.0,0.0,19.0,0.0,107.0,0.0
營業費用合計,826854.0,8.34,843121.0,8.45,950689.0,9.62,3484815.0,9.01
營業利益（損失）,1650992.0,16.65,1453681.0,14.56,1598049.0,16.17,6225247.0,16.1
營業外收入及支出,,,,,,,,
利息收入,10862.0,0.11,16071.0,0.16,19998.0,0.2,62410.0,0.16
其他利益及損失淨額,38422.0,0.39,18981.0,0.19,66494.0,0.67,192521.0,0.5
財務成本淨額,31809.0,0.32,40752.0,0.41,54111.0,0.55,184123.0,0.48
採用權益法認列之關聯企業及合資損益之份額淨額,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
營業外收入及支出合計,17475.0,0.18,-5700.0,-0.06,32381.0,0.33,70808.0,0.18
稅前淨利（淨損）,1668467.0,16.82,1447981.0,14.5,1630430.0,16.5,6296055.0,16.28
所得稅費用（利益）合計,342947.0,3.46,364013.0,3.65,322763.0,3.27,1219815.0,3.15
繼續營業單位本期淨利（淨損）,1325520.0,13.36,1083968.0,10.86,1307667.0,13.23,5076240.0,13.13
本期淨利（淨損）,1325520.0,13.36,1083968.0,10.86,1307667.0,13.23,5076240.0,13.13
其他綜合損益(淨額),,,,,,,,
國外營運機構財務報表換算之兌換差額,690696.0,6.96,-241325.0,-2.42,0.0,0.0,19737.0,0.05
與可能重分類之項目相關之所得稅,137976.0,1.39,-48198.0,-0.48,0.0,0.0,-22173.0,-0.06
後續可能重分類至損益之項目：,552720.0,5.57,-193127.0,-1.93,0.0,0.0,3947.0,0.01
其他綜合損益（淨額）,552720.0,5.57,-193127.0,-1.93,304482.0,3.08,-6383.0,-0.02
本期綜合損益總額,1878240.0,18.94,890841.0,8.92,60851.0,0.62,471646.0,1.22
淨利（損）歸屬於：,,,,,243631.0,2.47,94198.0,0.24
母公司業主（淨利∕損）,1323922.0,13.35,1082738.0,10.85,243631.0,2.47,377448.0,0.98
非控制權益（淨利∕損）,1598.0,0.02,1230.0,0.01,1551298.0,15.7,371065.0,0.96
母公司業主（綜合損益）,1875825.0,18.91,889949.0,8.91,,,5447305.0,14.09
非控制權益（綜合損益）,2415.0,0.02,892.0,0.01,1307182.0,13.23,,
基本每股盈餘,,,,,485.0,0.0,5072874.0,13.12
基本每股盈餘,3.98,,3.25,,1550583.0,15.69,3366.0,0.01
稀釋每股盈餘,,,,,715.0,0.01,5443283.0,14.08
稀釋每股盈餘,3.97,,3.22,,,,4022.0,0.01
