會計項目,Q1金額,Q2金額,Q3金額,Q4金額
營業活動之現金流量－間接法,,,,
繼續營業單位稅前淨利（淨損）,979053.0,1624452.0,2368641.0,2755609.0
本期稅前淨利（淨損）,979053.0,1624452.0,2368641.0,2755609.0
折舊費用,181649.0,357593.0,539779.0,713457.0
攤銷費用,4873.0,9810.0,13198.0,18300.0
預期信用減損損失（利益）數∕呆帳費用提列（轉列收入）數,-12947.0,-27224.0,-47740.0,-20970.0
透過損益按公允價值衡量金融資產及負債之淨損失（利益）,-16192.0,6022.0,24561.0,14775.0
利息費用,4217.0,9203.0,19117.0,35826.0
利息收入,-3528.0,-7173.0,-11405.0,-21840.0
股利收入,-76328.0,-4800.0,-17082.0,-17082.0
採用權益法認列之關聯企業及合資損失（利益）之份額,16.0,-119839.0,-192486.0,-265030.0
處分及報廢不動產、廠房及設備損失（利益）,1542.0,186.0,4683.0,5325.0
處分採用權益法之投資損失（利益）,83302.0,1542.0,1542.0,1542.0
非金融資產減損迴轉利益,133.0,225320.0,0.0,-523.0
其他項目,-393229.0,-298227.0,334167.0,0.0
收益費損項目合計,154279.0,6310.0,-356108.0,463780.0
合約資產（增加）減少,-108497.0,0.0,37004.0,-326008.0
應收票據（增加）減少,69042.0,-615094.0,0.0,-184599.0
應收票據－關係人（增加）減少,910.0,123298.0,-349261.0,-3.0
應收帳款（增加）減少,2344.0,-2792.0,70767.0,-708666.0
應收帳款－關係人（增加）減少,-103033.0,1248.0,-677.0,138063.0
其他應收款（增加）減少,241711.0,-506933.0,-771.0,-28861.0
其他應收款－關係人（增加）減少,-136340.0,-248262.0,-1483302.0,-1770.0
存貨（增加）減少,-172.0,-1540452.0,-378272.0,-2432966.0
其他流動資產（增加）減少,255314.0,1807.0,-2460620.0,16408.0
其他營業資產（增加）減少,-38770.0,176569.0,-1268.0,-253.0
與營業活動相關之資產之淨變動合計,0.0,-63424.0,718448.0,-3528655.0
持有供交易之金融負債增加（減少）,-290664.0,0.0,-132018.0,-5015.0
合約負債增加（減少）,1635.0,24995.0,698600.0,1262469.0
應付票據增加（減少）,-409519.0,-9480.0,-5634.0,-103910.0
應付帳款增加（減少）,-22963.0,-383526.0,-218302.0,478752.0
應付帳款－關係人增加（減少）,34418.0,-22962.0,-16562.0,-12684.0
其他應付款增加（減少）,-127306.0,125836.0,154839.0,79107.0
其他應付款－關係人增加（減少）,-12640.0,-57144.0,-102367.0,-13983.0
負債準備增加（減少）,-300.0,-25776.0,-34483.0,293193.0
其他流動負債增加（減少）,-610967.0,-604.0,-907.0,-86148.0
淨確定福利負債增加(減少),-747307.0,0.0,1060346.0,-32717.0
遞延貸項增加（減少）,-664005.0,-233709.0,-1400274.0,-1208.0
與營業活動相關之負債之淨變動合計,315048.0,-1774161.0,-1066107.0,1857856.0
與營業活動相關之資產及負債之淨變動合計,3137.0,-1548841.0,1302534.0,-1670799.0
調整項目合計,-4032.0,75611.0,11387.0,-1207019.0
營運產生之現金流入（流出）,-23870.0,7302.0,-18124.0,1548590.0
收取之利息,290283.0,-9015.0,-461448.0,22445.0
支付之利息,,-216358.0,834349.0,-33467.0
退還（支付）之所得稅,0.0,-142460.0,,-514172.0
營業活動之淨現金流入（流出）,0.0,,-156000.0,1023396.0
投資活動之現金流量,11085.0,-156000.0,26874.0,
取得透過其他綜合損益按公允價值衡量之金融資產,-60274.0,26874.0,-140274.0,-431145.0
處分透過其他綜合損益按公允價值衡量之金融資產,0.0,-140274.0,0.0,26874.0
取得採用權益法之投資,-158472.0,0.0,-503352.0,-150274.0
處分子公司,2769.0,-308590.0,14892.0,0.0
取得不動產、廠房及設備,0.0,7438.0,11743.0,-666033.0
處分不動產、廠房及設備,0.0,0.0,47553.0,9721.0
其他金融資產減少,17675.0,14063.0,126913.0,12058.0
其他非流動資產減少,0.0,51717.0,-571651.0,29990.0
收取之股利,51008.0,113857.0,,126912.0
投資活動之淨現金流入（流出）,-136209.0,-390915.0,1209215.0,-1041897.0
籌資活動之現金流量,,,-654583.0,
短期借款增加,0.0,221699.0,-1852.0,1299363.0
償還長期借款,-655191.0,-202500.0,-4864.0,-654583.0
存入保證金減少,-1250.0,-1857.0,-937750.0,-2544.0
租賃本金償還,143.0,-3266.0,-28477.0,-7873.0
發放現金股利,-1655.0,-13440.0,-418311.0,-937750.0
非控制權益變動,0.0,636.0,123623.0,-64115.0
籌資活動之淨現金流入（流出）,-657953.0,70797.0,-31990.0,-367502.0
匯率變動對現金及約當現金之影響,105556.0,-461942.0,3525350.0,75815.0
本期現金及約當現金增加（減少）數,-398323.0,3525350.0,3493360.0,-310188.0
期初現金及約當現金餘額,3525350.0,3063408.0,3493360.0,3525350.0
期末現金及約當現金餘額,3127027.0,3063408.0,,3215162.0
資產負債表帳列之現金及約當現金,3127027.0,,,3215162.0
