會計項目,Q1金額,Q1百分比(%),Q2金額,Q2百分比(%),Q3金額,Q3百分比(%),Q4金額,Q4百分比(%)
流動資產,,,,,,,,
現金及約當現金,439809.0,4.21,220947.0,2.05,1164899.0,9.98,595630.0,5.09
按攤銷後成本衡量之金融資產－流動,279500.0,2.67,99.0,0.0,3204.0,0.03,241607.0,2.06
合約資產－流動,553287.0,5.29,247500.0,2.3,249500.0,2.14,1457760.0,12.46
應收票據淨額,26608.0,0.25,517472.0,4.8,842195.0,7.22,95625.0,0.82
應收帳款淨額,2759731.0,26.41,60592.0,0.56,56913.0,0.49,2046524.0,17.49
本期所得稅資產,2220.0,0.02,2610514.0,24.23,1881025.0,16.12,21513.0,0.18
存貨,3196678.0,30.59,172.0,0.0,32500.0,0.28,4204838.0,35.94
預付款項,293684.0,2.81,3544257.0,32.9,4372703.0,37.48,303601.0,2.59
待出售非流動資產（或處分群組）淨額,353674.0,3.38,310192.0,2.88,433763.0,3.72,150627.0,1.29
其他流動資產,44595.0,0.43,705438.0,6.55,51282.0,0.44,9117725.0,77.93
流動資產合計,7949786.0,76.07,30047.0,0.28,9087984.0,77.89,,
非流動資產,,,8247230.0,76.56,,,312386.0,2.67
透過其他綜合損益按公允價值衡量之金融資產－非流動,304585.0,2.91,,,302023.0,2.59,8129.0,0.07
按攤銷後成本衡量之金融資產－非流動,2487.0,0.02,304938.0,2.83,8030.0,0.07,2405.0,0.02
採用權益法之投資,2167.0,0.02,5067.0,0.05,2390.0,0.02,1976677.0,16.89
不動產、廠房及設備,1954386.0,18.7,2396.0,0.02,1969607.0,16.88,129011.0,1.1
使用權資產,121695.0,1.16,1952863.0,18.13,147791.0,1.27,56528.0,0.48
無形資產,44592.0,0.43,118483.0,1.1,55655.0,0.48,38150.0,0.33
遞延所得稅資產,29586.0,0.28,52574.0,0.49,34105.0,0.29,59427.0,0.51
其他非流動資產,41501.0,0.4,40830.0,0.38,60281.0,0.52,2582713.0,22.07
非流動資產合計,2500999.0,23.93,48137.0,0.45,2579882.0,22.11,11700438.0,100.0
資產總額,10450785.0,100.0,2525288.0,23.44,11667866.0,100.0,,
流動負債,,,10772518.0,100.0,,,896751.0,7.66
短期借款,1283483.0,12.28,,,1334563.0,11.44,349564.0,2.99
應付短期票券,259612.0,2.48,1124739.0,10.44,199776.0,1.71,279.0,0.0
合約負債－流動,955128.0,9.14,104972.0,0.97,1272129.0,10.9,1572104.0,13.44
應付票據,3795.0,0.04,1122484.0,10.42,68.0,0.0,0.0,0.0
應付帳款,1904310.0,18.22,1949.0,0.02,2280313.0,19.54,2149731.0,18.37
應付帳款－關係人,0.0,0.0,1826712.0,16.96,192.0,0.0,53.0,0.0
其他應付款項－關係人,591724.0,5.66,643.0,0.01,408192.0,3.5,531883.0,4.55
本期所得稅負債,36501.0,0.35,584693.0,5.43,479.0,0.0,19.0,0.0
負債準備－流動,8579.0,0.08,71.0,0.0,14910.0,0.13,11496.0,0.1
與待出售非流動資產直接相關（或處分群組）之負債,212637.0,2.03,5707.0,0.05,13011.0,0.11,15537.0,0.13
租賃負債－流動,12301.0,0.12,614498.0,5.7,1180552.0,10.12,883154.0,7.55
其他流動負債,158801.0,1.52,11896.0,0.11,6704185.0,57.46,6410571.0,54.79
流動負債合計,5426871.0,51.93,639421.0,5.94,,,,
非流動負債,,,6037785.0,56.05,941800.0,8.07,720000.0,6.15
長期借款,1341800.0,12.84,,,48353.0,0.41,120378.0,1.03
遞延所得稅負債,47612.0,0.46,841800.0,7.81,116390.0,1.0,115867.0,0.99
租賃負債－非流動,111428.0,1.07,46397.0,0.43,90177.0,0.77,68349.0,0.58
其他非流動負債,103929.0,0.99,108775.0,1.01,1196720.0,10.26,1024594.0,8.76
非流動負債合計,1604769.0,15.36,94449.0,0.88,7900905.0,67.72,7435165.0,63.55
負債總額,7031640.0,67.28,1091421.0,10.13,,,,
歸屬於母公司業主之權益,,,7129206.0,66.18,,,,
股本,,,,,2610585.0,22.37,2610585.0,22.31
普通股股本,2610585.0,24.98,,,2610585.0,22.37,2610585.0,22.31
股本合計,2610585.0,24.98,2610585.0,24.23,,,,
資本公積,,,2610585.0,24.23,86686.0,0.74,86685.0,0.74
資本公積合計,86689.0,0.83,,,,,,
保留盈餘,,,86686.0,0.8,473469.0,4.06,473469.0,4.05
法定盈餘公積,444315.0,4.25,,,37578.0,0.32,37578.0,0.32
特別盈餘公積,15347.0,0.15,473469.0,4.4,491103.0,4.21,994867.0,8.5
未分配盈餘（或待彌補虧損）,174371.0,1.67,37578.0,0.35,1002150.0,8.59,1505914.0,12.87
保留盈餘合計,634033.0,6.07,355666.0,3.3,,,,
其他權益,,,866713.0,8.05,-31555.0,-0.27,-44877.0,-0.38
國外營運機構財務報表換算之兌換差額,-22522.0,-0.22,,,-24969.0,-0.21,-14606.0,-0.12
透過其他綜合損益按公允價值衡量之金融資產未實現評價損益,-22407.0,-0.21,-28529.0,-0.26,-56524.0,-0.48,-59483.0,-0.51
其他權益合計,-44929.0,-0.43,-22054.0,-0.2,3642897.0,31.22,4143701.0,35.41
歸屬於母公司業主之權益合計,3286378.0,31.45,-50583.0,-0.47,124064.0,1.06,121572.0,1.04
非控制權益,132767.0,1.27,3513401.0,32.61,3766961.0,32.28,4265273.0,36.45
權益總額,3419145.0,32.72,129911.0,1.21,11667866.0,100.0,11700438.0,100.0
負債及權益總計,10450785.0,100.0,3643312.0,33.82,0.0,,0.0,
預收股款（權益項下）之約當發行股數（單位：股）,0.0,,10772518.0,100.0,0.0,,0.0,
母公司暨子公司所持有之母公司庫藏股股數（單位：股）,0.0,,0.0,,,,,
