會計項目,Q1金額,Q1百分比(%),Q2金額,Q2百分比(%),Q3金額,Q3百分比(%),Q4金額,Q4百分比(%)
營業收入合計,1985775.0,100.0,1925876.0,100.0,1394834.0,100.0,7198245.0,100.0
營業成本合計,1656856.0,83.44,1577307.0,81.9,1095337.0,78.53,5743805.0,79.79
營業毛利（毛損）,328919.0,16.56,348569.0,18.1,299497.0,21.47,1454440.0,20.21
營業毛利（毛損）淨額,328919.0,16.56,348569.0,18.1,299497.0,21.47,1454440.0,20.21
營業費用,,,,,,,,
推銷費用,67693.0,3.41,65546.0,3.4,68459.0,4.91,273102.0,3.79
管理費用,123421.0,6.22,114732.0,5.96,153800.0,11.03,589159.0,8.18
研究發展費用,32622.0,1.64,31353.0,1.63,46924.0,3.36,185152.0,2.57
預期信用減損損失（利益）,230.0,0.01,765.0,0.04,47565.0,3.41,28468.0,0.4
營業費用合計,223966.0,11.28,212396.0,11.03,316748.0,22.71,1075881.0,14.95
營業利益（損失）,104953.0,5.29,136173.0,7.07,-17251.0,-1.24,378559.0,5.26
營業外收入及支出,,,,,,,,
其他收入,8056.0,0.41,11006.0,0.57,19729.0,1.41,89642.0,1.25
其他利益及損失淨額,93754.0,4.72,123870.0,6.43,239868.0,17.2,362838.0,5.04
財務成本淨額,3034.0,0.15,4404.0,0.23,9040.0,0.65,27635.0,0.38
採用權益法認列之關聯企業及合資損益之份額淨額,2488.0,0.13,1566.0,0.08,2147.0,0.15,4962.0,0.07
營業外收入及支出合計,101264.0,5.1,132038.0,6.86,252704.0,18.12,429807.0,5.97
稅前淨利（淨損）,206217.0,10.38,268211.0,13.93,235453.0,16.88,808366.0,11.23
所得稅費用（利益）合計,45439.0,2.29,64262.0,3.34,61521.0,4.41,183171.0,2.54
繼續營業單位本期淨利（淨損）,160778.0,8.1,203949.0,10.59,173932.0,12.47,625195.0,8.69
本期淨利（淨損）,160778.0,8.1,203949.0,10.59,173932.0,12.47,625195.0,8.69
其他綜合損益(淨額),,,,,,,,
與不重分類之項目相關之所得稅,0.0,0.0,0.0,0.0,0.0,0.0,-6442.0,-0.09
不重分類至損益之項目：,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
國外營運機構財務報表換算之兌換差額,88336.0,4.45,32751.0,1.7,126577.0,9.07,-1288.0,-0.02
與可能重分類之項目相關之所得稅,17667.0,0.89,6550.0,0.34,26095.0,1.87,-5154.0,-0.07
後續可能重分類至損益之項目：,70669.0,3.56,26201.0,1.36,100482.0,7.2,145709.0,2.02
其他綜合損益（淨額）,70669.0,3.56,26201.0,1.36,100482.0,7.2,28636.0,0.4
本期綜合損益總額,231447.0,11.66,230150.0,11.95,274414.0,19.67,117073.0,1.63
淨利（損）歸屬於：,,,,,,,111919.0,1.55
母公司業主（淨利∕損）,159111.0,8.01,204049.0,10.6,124488.0,8.92,737114.0,10.24
非控制權益（淨利∕損）,1667.0,0.08,-100.0,-0.01,49444.0,3.54,,
母公司業主（綜合損益）,229780.0,11.57,230250.0,11.96,205857.0,14.76,494472.0,6.87
非控制權益（綜合損益）,1667.0,0.08,-100.0,-0.01,68557.0,4.92,130723.0,1.82
基本每股盈餘,,,,,,,613136.0,8.52
基本每股盈餘,2.63,,3.37,,2.06,,123978.0,1.72
稀釋每股盈餘,,,,,,,,
稀釋每股盈餘,2.63,,3.37,,2.05,,8.08,
