會計項目,Q1金額,Q2金額,Q3金額,Q4金額
營業活動之現金流量－間接法,,,,
繼續營業單位稅前淨利（淨損）,3025387.0,5823294.0,8921949.0,10724130.0
本期稅前淨利（淨損）,0.0,5823294.0,8921949.0,10724130.0
折舊費用,3025387.0,3167672.0,5045561.0,6982346.0
攤銷費用,1483004.0,232302.0,409281.0,562062.0
預期信用減損損失（利益）數∕呆帳費用提列（轉列收入）數,110160.0,7933.0,25936.0,30177.0
透過損益按公允價值衡量金融資產及負債之淨損失（利益）,5421.0,2922.0,8288.0,23672.0
利息費用,-3823.0,813777.0,1912641.0,3245701.0
利息收入,327512.0,-1256390.0,-2041621.0,-3089926.0
股利收入,-610698.0,-106644.0,-108116.0,-128597.0
股份基礎給付酬勞成本,-17008.0,23531.0,20995.0,22025.0
採用權益法認列之關聯企業及合資損失（利益）之份額,11817.0,95781.0,97316.0,272824.0
處分及報廢不動產、廠房及設備損失（利益）,79304.0,16090.0,-1292.0,-7086.0
金融資產減損損失,9411.0,0.0,0.0,9431.0
其他項目,1395100.0,2996974.0,0.0,-158.0
收益費損項目合計,-3554049.0,-3746525.0,0.0,7922471.0
強制透過損益按公允價值衡量之金融資產（增加）減少,50222465.0,66346830.0,5368989.0,400567.0
應收帳款（增加）減少,-179707.0,192122.0,243919.0,99026904.0
其他應收款（增加）減少,-20825866.0,-33105148.0,37948453.0,357505.0
存貨（增加）減少,-484376.0,-462582.0,763674.0,3761054.0
其他流動資產（增加）減少,-1641963.0,130770.0,-17278936.0,-1523444.0
其他營業資產（增加）減少,23536504.0,29355467.0,-730809.0,438312.0
與營業活動相關之資產之淨變動合計,640612.0,48631.0,148871.0,102460898.0
持有供交易之金融負債增加（減少）,-67889.0,-45144.0,21095172.0,60938.0
合約負債增加（減少）,-18132759.0,-13129840.0,39394.0,-281716.0
應付帳款增加（減少）,-2458181.0,1732340.0,-96907.0,-62369969.0
其他應付款增加（減少）,-67521.0,626096.0,-15549431.0,976433.0
負債準備增加（減少）,160402.0,24664.0,-1095476.0,-472840.0
其他流動負債增加（減少）,433150.0,-10469.0,-482707.0,1309581.0
其他營業負債增加（減少）,-19492186.0,-10753722.0,2470018.0,578265.0
與營業活動相關之負債之淨變動合計,4044318.0,18601745.0,920012.0,-60199308.0
與營業活動相關之資產及負債之淨變動合計,5439418.0,21598719.0,-13795097.0,42261590.0
調整項目合計,8464805.0,27422013.0,7300075.0,50184061.0
營運產生之現金流入（流出）,476400.0,1039368.0,12669064.0,60908191.0
收取之利息,17008.0,106644.0,21591013.0,2813791.0
收取之股利,-261180.0,-630087.0,1984493.0,270042.0
支付之利息,-189070.0,-2447669.0,108116.0,-2697025.0
退還（支付）之所得稅,8507963.0,25490269.0,-1478284.0,-2656389.0
營業活動之淨現金流入（流出）,,,-2539954.0,58638610.0
投資活動之現金流量,-66131.0,-205881.0,19665384.0,
取得透過其他綜合損益按公允價值衡量之金融資產,0.0,0.0,,-264057.0
處分透過其他綜合損益按公允價值衡量之金融資產,-270815.0,-282609.0,-221179.0,0.0
透過其他綜合損益按公允價值衡量之金融資產減資退回股款,0.0,-54000.0,2010.0,2010.0
取得透過損益按公允價值衡量之金融資產,0.0,0.0,-277625.0,-323183.0
處分透過損益按公允價值衡量之金融資產,-135971.0,-135971.0,-54000.0,10028.0
取得採用權益法之投資,0.0,2010.0,0.0,-54000.0
處分採用權益法之投資,-2349380.0,-3422963.0,-135971.0,0.0
對子公司之收購（扣除所取得之現金）,35355.0,70603.0,-5520275.0,-135971.0
取得不動產、廠房及設備,-130475.0,0.0,142957.0,-7727184.0
處分不動產、廠房及設備,-562521.0,-221984.0,-549383.0,185814.0
取得無形資產,-64193.0,0.0,0.0,-659132.0
其他金融資產減少,-3544131.0,-685230.0,-737598.0,-795029.0
其他投資活動,,-154833.0,-155833.0,-154230.0
投資活動之淨現金流入（流出）,4808942.0,-5090858.0,-7506897.0,-9914934.0
籌資活動之現金流量,0.0,,,
短期借款增加,23043750.0,-14058650.0,-2571014.0,-43590249.0
償還公司債,-21013044.0,-7400.0,-7400.0,-7400.0
舉借長期借款,-230055.0,43787225.0,59283377.0,79108377.0
償還長期借款,102368.0,-33147888.0,-51272100.0,-72931768.0
租賃本金償還,6711961.0,-2118096.0,-2256287.0,-2422290.0
發放現金股利,1583157.0,-8714259.0,-8714259.0,-8714259.0
非控制權益變動,13258950.0,-69831.0,-992267.0,-1062788.0
其他籌資活動,75162103.0,106948.0,135321.0,207983.0
籌資活動之淨現金流入（流出）,88421053.0,-14221951.0,-6394629.0,-49412394.0
匯率變動對現金及約當現金之影響,88421053.0,3519242.0,6928184.0,5191917.0
