會計項目,Q1金額,Q1百分比(%),Q2金額,Q2百分比(%),Q3金額,Q3百分比(%),Q4金額,Q4百分比(%)
營業收入合計,6404009.0,100.0,4810613.0,100.0,5758297.0,100.0,22196860.0,100.0
營業成本合計,5055641.0,78.94,3569570.0,74.2,4536877.0,78.79,17257626.0,77.75
營業毛利（毛損）,1348368.0,21.06,1241043.0,25.8,1221420.0,21.21,4939234.0,22.25
營業毛利（毛損）淨額,1348368.0,21.06,1241043.0,25.8,1221420.0,21.21,4939234.0,22.25
營業費用,,,,,,,,
推銷費用,279625.0,4.37,253299.0,5.27,311906.0,5.42,1126542.0,5.08
管理費用,300324.0,4.69,254080.0,5.28,337442.0,5.86,1189744.0,5.36
研究發展費用,154076.0,2.41,152443.0,3.17,176844.0,3.07,630168.0,2.84
預期信用減損損失（利益）,12086.0,0.19,18493.0,0.38,6076.0,0.11,73973.0,0.33
營業費用合計,746111.0,11.65,678315.0,14.1,832268.0,14.45,3020427.0,13.61
營業利益（損失）,602257.0,9.4,562728.0,11.7,389152.0,6.76,1918807.0,8.64
營業外收入及支出,,,,,,,,
利息收入,2148.0,0.03,3329.0,0.07,14568.0,0.25,67691.0,0.3
其他收入,55669.0,0.87,97832.0,2.03,31371.0,0.54,219210.0,0.99
其他利益及損失淨額,239811.0,3.74,-309579.0,-6.44,138423.0,2.4,-288498.0,-1.3
財務成本淨額,152122.0,2.38,174692.0,3.63,198265.0,3.44,741236.0,3.34
採用權益法認列之關聯企業及合資損益之份額淨額,31291.0,0.49,-142797.0,-2.97,-164760.0,-2.86,-284436.0,-1.28
營業外收入及支出合計,176797.0,2.76,-525907.0,-10.93,-178663.0,-3.1,-1027269.0,-4.63
稅前淨利（淨損）,779054.0,12.17,36821.0,0.77,210489.0,3.66,891538.0,4.02
所得稅費用（利益）合計,185591.0,2.9,5647.0,0.12,152748.0,2.65,67012.0,0.3
繼續營業單位本期淨利（淨損）,593463.0,9.27,31174.0,0.65,57741.0,1.0,824526.0,3.71
本期淨利（淨損）,593463.0,9.27,31174.0,0.65,57741.0,1.0,824526.0,3.71
其他綜合損益(淨額),,,,,,,,
國外營運機構財務報表換算之兌換差額,1882859.0,29.4,-896218.0,-18.63,539469.0,9.37,32888.0,0.15
採用權益法認列之關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,65021.0,1.02,-16156.0,-0.34,38206.0,0.66,6576.0,0.03
與可能重分類之項目相關之所得稅,13004.0,0.2,-3231.0,-0.07,7641.0,0.13,26312.0,0.12
後續可能重分類至損益之項目：,1934876.0,30.21,-909143.0,-18.9,570034.0,9.9,812675.0,3.66
其他綜合損益（淨額）,1934876.0,30.21,-909143.0,-18.9,570034.0,9.9,55801.0,0.25
本期綜合損益總額,2528339.0,39.48,-877969.0,-18.25,627775.0,10.9,11161.0,0.05
淨利（損）歸屬於：,,,,,,,857315.0,3.86
母公司業主（淨利∕損）,593463.0,9.27,31174.0,0.65,57741.0,1.0,883627.0,3.98
母公司業主（綜合損益）,2528339.0,39.48,-877969.0,-18.25,627775.0,10.9,1708153.0,7.7
基本每股盈餘,,,,,,,,
繼續營業單位淨利（淨損）,1.01,,0.06,,0.1,,824526.0,3.71
基本每股盈餘,1.01,,0.06,,0.1,,1708153.0,7.7
稀釋每股盈餘,,,,,,,,
繼續營業單位淨利（淨損）,1.0,,0.06,,0.1,,1.41,
稀釋每股盈餘,1.0,,0.06,,0.1,,1.41,
