會計項目,Q1金額,Q2金額,Q3金額,Q4金額
營業活動之現金流量－間接法,,,,
繼續營業單位稅前淨利（淨損）,10132.0,34085.0,69374.0,78486.0
本期稅前淨利（淨損）,10132.0,34085.0,69374.0,78486.0
折舊費用,6929.0,13924.0,20986.0,28090.0
攤銷費用,2813.0,5690.0,8839.0,12326.0
預期信用減損損失（利益）數∕呆帳費用提列（轉列收入）數,2533.0,5365.0,8356.0,71.0
利息費用,-45.0,-137.0,-387.0,11446.0
利息收入,12230.0,-480.0,-480.0,-1398.0
股利收入,39.0,24362.0,37314.0,-480.0
收益費損項目合計,-9095.0,4.0,-55.0,50055.0
應收票據（增加）減少,0.0,-8278.0,-7258.0,116.0
應收帳款（增加）減少,-48.0,-30.0,-194.0,-19073.0
應收帳款－關係人（增加）減少,-49685.0,1222.0,1222.0,-774.0
其他應收款（增加）減少,4646.0,-48951.0,-64208.0,1222.0
存貨（增加）減少,-54143.0,5658.0,730.0,-43246.0
其他流動資產（增加）減少,-13.0,-50375.0,-69763.0,4235.0
與營業活動相關之資產之淨變動合計,53255.0,-1.0,57.0,-57520.0
應付票據增加（減少）,-10672.0,54299.0,67496.0,44.0
應付帳款增加（減少）,517.0,-10588.0,-3094.0,34433.0
其他應付款增加（減少）,4365.0,1889.0,2529.0,9682.0
負債準備增加（減少）,-38.0,-10047.0,-3475.0,2513.0
其他流動負債增加（減少）,47414.0,-146.0,-111.0,-2791.0
其他營業負債增加（減少）,-6729.0,35406.0,63402.0,-928.0
與營業活動相關之負債之淨變動合計,5501.0,-14969.0,-6361.0,42953.0
與營業活動相關之資產及負債之淨變動合計,15633.0,9393.0,30953.0,-14567.0
調整項目合計,30.0,43478.0,100327.0,35488.0
營運產生之現金流入（流出）,-2162.0,137.0,296.0,113974.0
收取之利息,-31.0,-5009.0,-7791.0,1288.0
支付之利息,13470.0,-165.0,-179.0,-10505.0
退還（支付）之所得稅,,38441.0,92653.0,-266.0
營業活動之淨現金流入（流出）,-641.0,,,104491.0
投資活動之現金流量,-1087.0,-1778.0,0.0,
透過其他綜合損益按公允價值衡量之金融資產減資退回股款,-1728.0,-5.0,-2701.0,0.0
取得不動產、廠房及設備,,-4119.0,-5.0,-2929.0
存出保證金增加,0.0,480.0,-7766.0,-4.0
存出保證金減少,-4046.0,-5422.0,480.0,0.0
其他非流動資產增加,-182.0,,-9992.0,-11083.0
收取之股利,-4228.0,0.0,,480.0
投資活動之淨現金流入（流出）,-10722.0,0.0,0.0,-13536.0
籌資活動之現金流量,-3208.0,0.0,0.0,
短期借款增加,236489.0,0.0,0.0,80000.0
短期借款減少,233281.0,-8374.0,0.0,-121000.0
存入保證金減少,233281.0,-344.0,-12501.0,0.0
