會計項目,Q1金額,Q1百分比(%),Q2金額,Q2百分比(%),Q3金額,Q3百分比(%),Q4金額,Q4百分比(%)
流動資產,,,,,,,,
現金及約當現金,946270.0,26.92,1013956.0,28.69,1093583.0,31.36,1102008.0,31.59
透過損益按公允價值衡量之金融資產－流動,1384.0,0.04,1235.0,0.03,1047.0,0.03,1085.0,0.03
透過其他綜合損益按公允價值衡量之金融資產－流動,40383.0,1.15,48508.0,1.37,37185.0,1.07,36459.0,1.05
應收帳款淨額,101696.0,2.89,71768.0,2.03,47642.0,1.37,60267.0,1.73
應收融資租賃款淨額,6581.0,0.19,4550.0,0.13,2511.0,0.07,1099.0,0.03
其他應收款淨額,847.0,0.02,1695.0,0.05,2732.0,0.08,2916.0,0.08
本期所得稅資產,11991.0,0.34,12057.0,0.34,13604.0,0.39,13596.0,0.39
存貨,300172.0,8.54,269501.0,7.63,246861.0,7.08,229246.0,6.57
其他流動資產,97616.0,2.78,66373.0,1.88,58691.0,1.68,60329.0,1.73
流動資產合計,1506940.0,42.87,1489643.0,42.16,1503856.0,43.12,1507005.0,43.2
非流動資產,,,,,,,,
透過其他綜合損益按公允價值衡量之金融資產－非流動,147286.0,4.19,159073.0,4.5,98443.0,2.82,98796.0,2.83
採用權益法之投資,414691.0,11.8,411729.0,11.65,420331.0,12.05,409990.0,11.75
不動產、廠房及設備,660507.0,18.79,654171.0,18.51,649024.0,18.61,644673.0,18.48
使用權資產,22881.0,0.65,17396.0,0.49,11966.0,0.34,4775.0,0.14
投資性不動產淨額,571384.0,16.25,692557.0,19.6,693666.0,19.89,694414.0,19.91
遞延所得稅資產,86847.0,2.47,80638.0,2.28,78657.0,2.26,99033.0,2.84
其他非流動資產,104971.0,2.99,28389.0,0.8,31311.0,0.9,29525.0,0.85
非流動資產合計,2008567.0,57.13,2043953.0,57.84,1983398.0,56.88,1981206.0,56.8
資產總額,3515507.0,100.0,3533596.0,100.0,3487254.0,100.0,3488211.0,100.0
流動負債,,,,,,,,
應付帳款,22284.0,0.63,22882.0,0.65,31760.0,0.91,46462.0,1.33
其他應付款,46059.0,1.31,98745.0,2.79,64399.0,1.85,60242.0,1.73
本期所得稅負債,2804.0,0.08,8527.0,0.24,0.0,0.0,0.0,0.0
租賃負債－流動,27673.0,0.79,20514.0,0.58,13207.0,0.38,5670.0,0.16
其他流動負債,89655.0,2.55,60526.0,1.71,59142.0,1.7,64580.0,1.85
流動負債合計,188475.0,5.36,211194.0,5.98,168508.0,4.83,176954.0,5.07
非流動負債,,,,,,,,
長期借款,329967.0,9.39,324716.0,9.19,319528.0,9.16,314496.0,9.02
遞延所得稅負債,20791.0,0.59,20561.0,0.58,37861.0,1.09,15288.0,0.44
租賃負債－非流動,2253.0,0.06,1804.0,0.05,1532.0,0.04,335.0,0.01
其他非流動負債,14054.0,0.4,14514.0,0.41,15280.0,0.44,9022.0,0.26
非流動負債合計,367065.0,10.44,361595.0,10.23,374201.0,10.73,339141.0,9.72
負債總額,555540.0,15.8,572789.0,16.21,542709.0,15.56,516095.0,14.8
歸屬於母公司業主之權益,,,,,,,,
股本,,,,,,,,
普通股股本,2215285.0,63.01,2215285.0,62.69,2215285.0,63.53,2215285.0,63.51
股本合計,2215285.0,63.01,2215285.0,62.69,2215285.0,63.53,2215285.0,63.51
資本公積,,,,,,,,
資本公積合計,309638.0,8.81,268559.0,7.6,270393.0,7.75,270903.0,7.77
保留盈餘,,,,,,,,
法定盈餘公積,442525.0,12.59,448031.0,12.68,448031.0,12.85,448031.0,12.84
特別盈餘公積,559471.0,15.91,609031.0,17.24,609031.0,17.46,609031.0,17.46
未分配盈餘（或待彌補虧損）,35852.0,1.02,2646.0,0.07,41220.0,1.18,36216.0,1.04
保留盈餘合計,1037848.0,29.52,1059708.0,29.99,1098282.0,31.49,1093278.0,31.34
其他權益,,,,,,,,
其他權益合計,-635413.0,-18.07,-614489.0,-17.39,-671385.0,-19.25,-639147.0,-18.32
歸屬於母公司業主之權益合計,2927358.0,83.27,0.0,0.0,0.0,0.0,0.0,0.0
非控制權益,32609.0,0.93,2929063.0,82.89,2912575.0,83.52,2940319.0,84.29
權益總額,2959967.0,84.2,31744.0,0.9,31970.0,0.92,31797.0,0.91
負債及權益總計,3515507.0,100.0,2960807.0,83.79,2944545.0,84.44,2972116.0,85.2
預收股款（權益項下）之約當發行股數（單位：股）,0.0,,3533596.0,100.0,3487254.0,100.0,3488211.0,100.0
母公司暨子公司所持有之母公司庫藏股股數（單位：股）,0.0,,0.0,,0.0,,0.0,
