會計項目,Q1金額,Q1百分比(%),Q2金額,Q2百分比(%),Q3金額,Q3百分比(%),Q4金額,Q4百分比(%)
營業收入合計,6046194.0,100.0,5004678.0,100.0,7375990.0,100.0,24571786.0,100.0
營業成本合計,5380217.0,88.99,4437383.0,88.66,6281126.0,85.16,21232076.0,86.41
營業毛利（毛損）,665977.0,11.01,567295.0,11.34,1094864.0,14.84,3339710.0,13.59
營業毛利（毛損）淨額,665977.0,11.01,567295.0,11.34,1094864.0,14.84,3339710.0,13.59
營業費用,,,,,,,,
推銷費用,72281.0,1.2,64093.0,1.28,76243.0,1.03,289598.0,1.18
管理費用,155966.0,2.58,158116.0,3.16,170251.0,2.31,643069.0,2.62
研究發展費用,231976.0,3.84,146288.0,2.92,207696.0,2.82,790946.0,3.22
營業費用合計,460223.0,7.61,368497.0,7.36,454190.0,6.16,4728.0,0.02
營業利益（損失）,205754.0,3.4,198798.0,3.97,640674.0,8.69,1728341.0,7.03
營業外收入及支出,,,,,,,1611369.0,6.56
利息收入,7019.0,0.12,9583.0,0.19,11299.0,0.15,,
其他收入,215628.0,3.57,13358.0,0.27,24850.0,0.34,40149.0,0.16
其他利益及損失淨額,32618.0,0.54,208166.0,4.16,251086.0,3.4,267573.0,1.09
財務成本淨額,18737.0,0.31,27703.0,0.55,38418.0,0.52,336452.0,1.37
營業外收入及支出合計,236528.0,3.91,203404.0,4.06,248817.0,3.37,135075.0,0.55
稅前淨利（淨損）,442282.0,7.32,402202.0,8.04,889491.0,12.06,509099.0,2.07
所得稅費用（利益）合計,112006.0,1.85,138089.0,2.76,242472.0,3.29,2120468.0,8.63
繼續營業單位本期淨利（淨損）,330276.0,5.46,264113.0,5.28,647019.0,8.77,556754.0,2.27
本期淨利（淨損）,330276.0,5.46,264113.0,5.28,647019.0,8.77,1563714.0,6.36
其他綜合損益(淨額),,,,,,,1563714.0,6.36
國外營運機構財務報表換算之兌換差額,314295.0,5.2,-165894.0,-3.31,-70.0,0.0,,
後續可能重分類至損益之項目：,314295.0,5.2,-165894.0,-3.31,-70.0,0.0,8707.0,0.04
其他綜合損益（淨額）,314295.0,5.2,-165894.0,-3.31,12340.0,0.17,-70.0,0.0
本期綜合損益總額,644571.0,10.66,98219.0,1.96,12340.0,0.17,1741.0,0.01
淨利（損）歸屬於：,,,,,12270.0,0.17,6896.0,0.03
母公司業主（淨利∕損）,259635.0,4.29,234497.0,4.69,659289.0,8.94,57024.0,0.23
非控制權益（淨利∕損）,70641.0,1.17,29616.0,0.59,,,57024.0,0.23
母公司業主（綜合損益）,529438.0,8.76,88640.0,1.77,618019.0,8.38,63920.0,0.26
非控制權益（綜合損益）,115133.0,1.9,9579.0,0.19,29000.0,0.39,1627634.0,6.62
基本每股盈餘,,,,,617659.0,8.37,,
繼續營業單位淨利（淨損）,1.35,,1.22,,41630.0,0.56,1443111.0,5.87
基本每股盈餘,1.35,,1.22,,,,120603.0,0.49
稀釋每股盈餘,,,,,3.2,,1486821.0,6.05
繼續營業單位淨利（淨損）,1.34,,1.21,,3.2,,140813.0,0.57
稀釋每股盈餘,1.34,,1.21,,,,,
