民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,104年01月01日至104年03月31日,104年01月01日至104年03月31日,103年01月01日至103年03月31日,103年01月01日至103年03月31日,Unnamed: 5_level_2
Unnamed: 0_level_3,金額,%,金額,%,Unnamed: 5_level_3
營業收入合計,182697.0,100.0,166032.0,100.0,
營業成本合計,148624.0,81.35,141713.0,85.35,
營業毛利（毛損）,34073.0,18.65,24319.0,14.65,
營業毛利（毛損）淨額,34073.0,18.65,24319.0,14.65,
營業費用,,,,,
推銷費用,16649.0,9.11,14478.0,8.72,
管理費用,4940.0,2.7,4112.0,2.48,
營業費用合計,21589.0,11.82,18590.0,11.2,
營業利益（損失）,12484.0,6.83,5729.0,3.45,
營業外收入及支出,,,,,
其他收入,1592.0,0.87,1510.0,0.91,
其他利益及損失淨額,-480.0,-0.26,-530.0,-0.32,
財務成本淨額,1.0,0.0,46.0,0.03,
營業外收入及支出合計,1111.0,0.61,934.0,0.56,
稅前淨利（淨損）,13595.0,7.44,6663.0,4.01,
所得稅費用（利益）合計,2526.0,1.38,2883.0,1.74,
繼續營業單位本期淨利（淨損）,11069.0,6.06,3780.0,2.28,
本期淨利（淨損）,11069.0,6.06,3780.0,2.28,
後續可能重分類至損益之項目：,,,,,
國外營運機構財務報表換算之兌換差額,-3.0,0.0,3.0,0.0,
其他綜合損益（淨額）,-3.0,0.0,3.0,0.0,
本期綜合損益總額,11066.0,6.06,3783.0,2.28,
母公司業主（淨利／損）,11069.0,6.06,3780.0,2.28,
母公司業主（綜合損益）,11066.0,6.06,3783.0,2.28,
基本每股盈餘,,,,,
繼續營業單位淨利（淨損）,0.22,,0.07,,
基本每股盈餘,0.22,,0.07,,
