會計項目,Q1金額,Q1百分比(%),Q2金額,Q2百分比(%),Q3金額,Q3百分比(%),Q4金額,Q4百分比(%)
流動資產,,,,,,,,
現金及約當現金,10732.0,0.96,10999.0,1.02,4625.0,0.44,8683.0,0.82
按攤銷後成本衡量之金融資產－流動,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
應收票據－關係人淨額,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
應收帳款－關係人淨額,97648.0,8.72,83904.0,7.81,139.0,0.01,120.0,0.01
其他應收款－關係人淨額,35460.0,3.17,4129.0,0.38,95893.0,9.03,94816.0,8.96
存貨,24693.0,2.21,25120.0,2.34,322.0,0.03,183.0,0.02
其他流動資產,10587.0,0.95,0.0,0.0,4885.0,0.46,4885.0,0.46
流動資產合計,179120.0,16.0,16237.0,1.51,91.0,0.01,101.0,0.01
非流動資產,,,140389.0,13.08,21563.0,2.03,20146.0,1.9
不動產、廠房及設備,665826.0,59.47,,,8980.0,0.85,7171.0,0.68
遞延所得稅資產,14609.0,1.3,661669.0,61.63,0.0,0.0,136105.0,12.86
其他非流動資產,260120.0,23.23,14382.0,1.34,136498.0,12.86,,
非流動資產合計,940555.0,84.0,257209.0,23.96,,,658261.0,62.19
資產總額,1119675.0,100.0,933260.0,86.92,659112.0,62.1,14316.0,1.35
流動負債,,,1073649.0,100.0,14445.0,1.36,249702.0,23.59
應付票據,4322.0,0.39,,,251336.0,23.68,922279.0,87.14
應付帳款,52884.0,4.72,1809.0,0.17,924893.0,87.14,1058384.0,100.0
應付帳款－關係人,9404.0,0.84,34264.0,3.19,1061391.0,100.0,,
其他應付款,54609.0,4.88,7617.0,0.71,,,6895.0,0.65
本期所得稅負債,22849.0,2.04,60761.0,5.66,4780.0,0.45,37837.0,3.57
其他流動負債,53060.0,4.74,22849.0,2.13,33527.0,3.16,11926.0,1.13
流動負債合計,197128.0,17.61,55110.0,5.13,15476.0,1.46,37052.0,3.5
非流動負債,,,182410.0,16.99,41131.0,3.88,53548.0,5.06
長期借款,474587.0,42.39,,,28220.0,2.66,22849.0,2.16
遞延所得稅負債,30858.0,2.76,461502.0,42.98,22849.0,2.15,45816.0,4.33
其他非流動負債,2170.0,0.19,30839.0,2.87,54543.0,5.14,215923.0,20.4
非流動負債合計,507615.0,45.34,1565.0,0.15,200526.0,18.89,,
負債總額,704743.0,62.94,493906.0,46.0,,,444636.0,42.01
歸屬於母公司業主之權益,,,676316.0,62.99,448440.0,42.25,30839.0,2.91
股本,,,,,30839.0,2.91,1092.0,0.1
普通股股本,566226.0,50.57,,,1086.0,0.1,476567.0,45.03
股本合計,566226.0,50.57,566226.0,52.74,480365.0,45.26,692490.0,65.43
資本公積,,,566226.0,52.74,680891.0,64.15,,
資本公積－發行溢價,21938.0,1.96,,,,,,
資本公積合計,21938.0,1.96,21938.0,2.04,,,566226.0,53.5
保留盈餘,,,21938.0,2.04,566226.0,53.35,566226.0,53.5
法定盈餘公積,19091.0,1.71,,,566226.0,53.35,,
特別盈餘公積,36208.0,3.23,19091.0,1.78,,,21938.0,2.07
未分配盈餘（或待彌補虧損）,-228354.0,-20.39,36208.0,3.37,21938.0,2.07,21938.0,2.07
保留盈餘合計,-173055.0,-15.46,-245962.0,-22.91,21938.0,2.07,,
其他權益,,,-190663.0,-17.76,,,19091.0,1.8
國外營運機構財務報表換算之兌換差額,-177.0,-0.02,,,19091.0,1.8,36208.0,3.42
其他權益合計,-177.0,-0.02,-168.0,-0.02,36208.0,3.41,-277406.0,-26.21
歸屬於母公司業主之權益合計,414932.0,37.06,-168.0,-0.02,-262799.0,-24.76,-222107.0,-20.99
權益總額,414932.0,37.06,397333.0,37.01,-207500.0,-19.55,,
負債及權益總計,1119675.0,100.0,397333.0,37.01,,,-163.0,-0.02
待註銷股本股數（單位：股）,0.0,,1073649.0,100.0,-164.0,-0.02,-163.0,-0.02
預收股款（權益項下）之約當發行股數（單位：股）,0.0,,0.0,,-164.0,-0.02,365894.0,34.57
母公司暨子公司所持有之母公司庫藏股股數（單位：股）,0.0,,0.0,,380500.0,35.85,365894.0,34.57
