民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,104年03月31日,104年03月31日,103年12月31日,103年12月31日,103年03月31日,103年03月31日,103年01月01日,103年01月01日,Unnamed: 9_level_2,Unnamed: 10_level_2
Unnamed: 0_level_3,金額,%,金額,%,金額,%,金額,%,Unnamed: 9_level_3,Unnamed: 10_level_3
流動資產,,,,,,,,,,
現金及約當現金,736187.0,5.4,928230.0,6.79,1408155.0,10.23,1638477.0,11.82,,
透過損益按公允價值衡量之金融資產－流動,24937.0,0.18,24060.0,0.18,70398.0,0.51,53731.0,0.39,,
應收票據淨額,73646.0,0.54,42325.0,0.31,63466.0,0.46,48912.0,0.35,,
應收票據－關係人淨額,26786.0,0.2,28575.0,0.21,34042.0,0.25,25077.0,0.18,,
應收帳款淨額,596439.0,4.37,449701.0,3.29,479531.0,3.48,453981.0,3.28,,
應收帳款－關係人淨額,32929.0,0.24,13109.0,0.1,18627.0,0.14,19231.0,0.14,,
其他應收款淨額,125543.0,0.92,174002.0,1.27,118539.0,0.86,114890.0,0.83,,
其他應收款－關係人淨額,451729.0,3.31,446591.0,3.27,383835.0,2.79,383063.0,2.76,,
本期所得稅資產,4416.0,0.03,4349.0,0.03,3185.0,0.02,3944.0,0.03,,
存貨,678510.0,4.97,730903.0,5.35,648690.0,4.71,713421.0,5.15,,
預付款項,174628.0,1.28,169389.0,1.24,130384.0,0.95,103749.0,0.75,,
其他流動資產,92352.0,0.68,97925.0,0.72,120050.0,0.87,111050.0,0.8,,
流動資產合計,3018102.0,22.13,3109159.0,22.74,3478902.0,25.28,3669526.0,26.47,,
非流動資產,,,,,,,,,,
備供出售金融資產－非流動淨額,139306.0,1.02,151661.0,1.11,153212.0,1.11,154052.0,1.11,,
以成本衡量之金融資產－非流動淨額,727165.0,5.33,727322.0,5.32,740545.0,5.38,740120.0,5.34,,
無活絡市場之債務工具投資－非流動淨額,506000.0,3.71,506000.0,3.7,506000.0,3.68,506000.0,3.65,,
採用權益法之投資淨額,1863037.0,13.66,1841047.0,13.46,1856112.0,13.49,1866926.0,13.47,,
不動產、廠房及設備,4978894.0,36.5,4991736.0,36.51,4463807.0,32.44,4363669.0,31.48,,
投資性不動產淨額,1723692.0,12.64,1723692.0,12.61,1935974.0,14.07,1936788.0,13.97,,
無形資產,36098.0,0.26,37688.0,0.28,39617.0,0.29,40730.0,0.29,,
遞延所得稅資產,314928.0,2.31,306787.0,2.24,327549.0,2.38,312315.0,2.25,,
其他非流動資產,333163.0,2.44,278736.0,2.04,258259.0,1.88,270645.0,1.95,,
非流動資產合計,10622283.0,77.87,10564669.0,77.26,10281075.0,74.72,10191245.0,73.53,,
資產總計,13640385.0,100.0,13673828.0,100.0,13759977.0,100.0,13860771.0,100.0,,
流動負債,,,,,,,,,,
短期借款,1532154.0,11.23,1229824.0,8.99,1213700.0,8.82,920000.0,6.64,,
應付短期票券,177680.0,1.3,172763.0,1.26,179639.0,1.31,134910.0,0.97,,
透過損益按公允價值衡量之金融負債－流動,32670.0,0.24,71100.0,0.52,13101.0,0.1,13063.0,0.09,,
應付票據,143780.0,1.05,173839.0,1.27,134908.0,0.98,140644.0,1.01,,
應付票據－關係人,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
應付帳款,207897.0,1.52,179871.0,1.32,194543.0,1.41,140915.0,1.02,,
應付帳款－關係人,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
其他應付款,238375.0,1.75,320034.0,2.34,253920.0,1.85,333387.0,2.41,,
本期所得稅負債,5425.0,0.04,3644.0,0.03,3475.0,0.03,7188.0,0.05,,
負債準備－流動,16913.0,0.12,16388.0,0.12,14630.0,0.11,14475.0,0.1,,
其他流動負債,1062380.0,7.79,1495394.0,10.94,942374.0,6.85,866937.0,6.25,,
流動負債合計,3417274.0,25.05,3662857.0,26.79,2950290.0,21.44,2571519.0,18.55,,
非流動負債,,,,,,,,,,
透過損益按公允價值衡量之金融負債－非流動,0.0,0.0,0.0,0.0,36900.0,0.27,50600.0,0.37,,
應付公司債,1069.0,0.01,1062.0,0.01,901690.0,6.55,895782.0,6.46,,
長期借款,3597148.0,26.37,3345740.0,24.47,3153177.0,22.92,3470935.0,25.04,,
遞延所得稅負債,133392.0,0.98,136355.0,1.0,133860.0,0.97,127195.0,0.92,,
其他非流動負債,305510.0,2.24,308533.0,2.26,311493.0,2.26,313550.0,2.26,,
非流動負債合計,4037119.0,29.6,3791690.0,27.73,4537120.0,32.97,4858062.0,35.05,,
負債總計,7454393.0,54.65,7454547.0,54.52,7487410.0,54.41,7429581.0,53.6,,
歸屬於母公司業主之權益,,,,,,,,,,
股本,,,,,,,,,,
普通股股本,4872053.0,35.72,4976893.0,36.4,4976893.0,36.17,4976893.0,35.91,,
股本合計,4872053.0,35.72,4976893.0,36.4,4976893.0,36.17,4976893.0,35.91,,
資本公積,,,,,,,,,,
資本公積合計,315295.0,2.31,335464.0,2.45,288197.0,2.09,288197.0,2.08,,
保留盈餘,,,,,,,,,,
法定盈餘公積,10694.0,0.08,10694.0,0.08,10694.0,0.08,10694.0,0.08,,
特別盈餘公積,547824.0,4.02,547824.0,4.01,547824.0,3.98,154477.0,1.11,,
未分配盈餘（或待彌補虧損）,-432869.0,-3.17,-369714.0,-2.7,-135633.0,-0.99,393347.0,2.84,,
保留盈餘合計,125649.0,0.92,188804.0,1.38,422885.0,3.07,558518.0,4.03,,
其他權益,,,,,,,,,,
其他權益合計,-63058.0,-0.46,-59423.0,-0.43,-64956.0,-0.47,-64181.0,-0.46,,
庫藏股票,0.0,0.0,-100582.0,-0.74,-100582.0,-0.73,-100582.0,-0.73,,
歸屬於母公司業主之權益合計,5249939.0,38.49,5341156.0,39.06,5522437.0,40.13,5658845.0,40.83,,
非控制權益,936053.0,6.86,878125.0,6.42,750130.0,5.45,772345.0,5.57,,
權益總計,6185992.0,45.35,6219281.0,45.48,6272567.0,45.59,6431190.0,46.4,,
負債及權益總計,13640385.0,100.0,13673828.0,100.0,13759977.0,100.0,13860771.0,100.0,,
待註銷股本股數（單位：股）,0.0,,0.0,,0.0,,0.0,,,
預收股款（權益項下）之約當發行股數（單位：股）,0.0,,0.0,,0.0,,0.0,,,
母公司暨子公司所持有之母公司庫藏股股數（單位：股）,0.0,,10484000.0,,10484000.0,,10484000.0,,,
