民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,104年01月01日至104年03月31日,104年01月01日至104年03月31日,103年01月01日至103年03月31日,103年01月01日至103年03月31日,Unnamed: 5_level_2
Unnamed: 0_level_3,金額,%,金額,%,Unnamed: 5_level_3
營業收入合計,1982171.0,100.0,2100231.0,100.0,
銷貨成本,1695365.0,85.53,1776178.0,84.57,
營業成本合計,1695365.0,85.53,1776178.0,84.57,
營業毛利（毛損）,286806.0,14.47,324053.0,15.43,
未實現銷貨（損）益,820.0,0.04,1107.0,0.05,
已實現銷貨（損）益,182.0,0.01,410.0,0.02,
營業毛利（毛損）淨額,286168.0,14.44,323356.0,15.4,
營業費用,,,,,
推銷費用,227621.0,11.48,240910.0,11.47,
管理費用,83966.0,4.24,101251.0,4.82,
營業費用合計,311587.0,15.72,342161.0,16.29,
營業利益（損失）,-25419.0,-1.28,-18805.0,-0.9,
營業外收入及支出,,,,,
其他收入,902.0,0.05,1246.0,0.06,
其他利益及損失淨額,-1058.0,-0.05,13617.0,0.65,
財務成本淨額,16745.0,0.84,16165.0,0.77,
採用權益法認列之關聯企業及合資損益之份額淨額,33065.0,1.67,46223.0,2.2,
營業外收入及支出合計,16164.0,0.82,44921.0,2.14,
稅前淨利（淨損）,-9255.0,-0.47,26116.0,1.24,
所得稅費用（利益）合計,472.0,0.02,2060.0,0.1,
繼續營業單位本期淨利（淨損）,-9727.0,-0.49,24056.0,1.15,
本期淨利（淨損）,-9727.0,-0.49,24056.0,1.15,
後續可能重分類至損益之項目：,,,,,
國外營運機構財務報表換算之兌換差額,-392.0,-0.02,-2904.0,-0.14,
備供出售金融資產未實現評價損益,3326.0,0.17,3870.0,0.18,
採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,-10565.0,-0.53,17884.0,0.85,
與可能重分類之項目相關之所得稅,0.0,0.0,0.0,0.0,
其他綜合損益（淨額）,-7631.0,-0.38,18850.0,0.9,
本期綜合損益總額,-17358.0,-0.88,42906.0,2.04,
母公司業主（淨利／損）,-9803.0,-0.49,24000.0,1.14,
非控制權益（淨利／損）,76.0,0.0,56.0,0.0,
母公司業主（綜合損益）,-17434.0,-0.88,42850.0,2.04,
非控制權益（綜合損益）,76.0,0.0,56.0,0.0,
基本每股盈餘,,,,,
基本每股盈餘,-0.03,,0.07,,
稀釋每股盈餘,,,,,
稀釋每股盈餘,0.0,,0.07,,
