民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,104年03月31日,104年03月31日,103年12月31日,103年12月31日,103年03月31日,103年03月31日,Unnamed: 7_level_2,Unnamed: 8_level_2
Unnamed: 0_level_3,金額,%,金額,%,金額,%,Unnamed: 7_level_3,Unnamed: 8_level_3
流動資產,,,,,,,,
現金及約當現金,3034689.0,16.47,1991558.0,10.98,1999282.0,12.83,,
備供出售金融資產－流動淨額,450958.0,2.45,496999.0,2.74,754225.0,4.84,,
無活絡市場之債務工具投資－流動淨額,1077659.0,5.85,1026935.0,5.66,892934.0,5.73,,
應收票據淨額,33005.0,0.18,41730.0,0.23,70590.0,0.45,,
應收帳款淨額,4431644.0,24.05,4286758.0,23.63,3387531.0,21.74,,
其他應收款淨額,222202.0,1.21,156956.0,0.87,145752.0,0.94,,
本期所得稅資產,31584.0,0.17,31665.0,0.17,0.0,0.0,,
存貨,3157217.0,17.13,3847264.0,21.21,3126979.0,20.07,,
生物資產－流動淨額,15.0,0.0,16.0,0.0,7.0,0.0,,
預付款項,1358977.0,7.37,1612855.0,8.89,844476.0,5.42,,
其他流動資產,7741.0,0.04,8841.0,0.05,22579.0,0.14,,
流動資產合計,13805691.0,74.92,13501577.0,74.42,11244355.0,72.15,,
非流動資產,,,,,,,,
以成本衡量之金融資產－非流動淨額,119470.0,0.65,124396.0,0.69,127664.0,0.82,,
不動產、廠房及設備,3700908.0,20.08,3691574.0,20.35,3120094.0,20.02,,
投資性不動產淨額,258934.0,1.41,259651.0,1.43,261800.0,1.68,,
無形資產,11574.0,0.06,7504.0,0.04,7233.0,0.05,,
生物資產－非流動,36.0,0.0,36.0,0.0,4.0,0.0,,
遞延所得稅資產,245651.0,1.33,249018.0,1.37,271448.0,1.74,,
其他非流動資產,285963.0,1.55,307593.0,1.7,551325.0,3.54,,
非流動資產合計,4622536.0,25.08,4639772.0,25.58,4339568.0,27.85,,
資產總計,18428227.0,100.0,18141349.0,100.0,15583923.0,100.0,,
流動負債,,,,,,,,
短期借款,1276407.0,6.93,1336892.0,7.37,865574.0,5.55,,
應付短期票券,69977.0,0.38,99959.0,0.55,69968.0,0.45,,
應付票據,277962.0,1.51,210823.0,1.16,114985.0,0.74,,
應付帳款,1129636.0,6.13,1679757.0,9.26,971043.0,6.23,,
其他應付款,1719254.0,9.33,1911768.0,10.54,1478351.0,9.49,,
本期所得稅負債,473411.0,2.57,256131.0,1.41,250016.0,1.6,,
負債準備－流動,13364.0,0.07,19404.0,0.11,11990.0,0.08,,
其他流動負債,87858.0,0.48,144986.0,0.8,75977.0,0.49,,
流動負債合計,5047869.0,27.39,5659720.0,31.2,3837904.0,24.63,,
非流動負債,,,,,,,,
遞延所得稅負債,161062.0,0.87,134299.0,0.74,93832.0,0.6,,
其他非流動負債,256128.0,1.39,244143.0,1.35,209183.0,1.34,,
非流動負債合計,417190.0,2.26,378442.0,2.09,303015.0,1.94,,
負債總計,5465059.0,29.66,6038162.0,33.28,4140919.0,26.57,,
歸屬於母公司業主之權益,,,,,,,,
股本,,,,,,,,
普通股股本,7206338.0,39.1,7206338.0,39.72,6611319.0,42.42,,
股本合計,7206338.0,39.1,7206338.0,39.72,6611319.0,42.42,,
資本公積,,,,,,,,
資本公積合計,51331.0,0.28,51331.0,0.28,43620.0,0.28,,
保留盈餘,,,,,,,,
法定盈餘公積,1691898.0,9.18,1691898.0,9.33,1505940.0,9.66,,
未分配盈餘（或待彌補虧損）,3452660.0,18.74,2540559.0,14.0,2865267.0,18.39,,
保留盈餘合計,5144558.0,27.92,4232457.0,23.33,4371207.0,28.05,,
其他權益,,,,,,,,
其他權益合計,427671.0,2.32,486538.0,2.68,296535.0,1.9,,
庫藏股票,-21182.0,-0.11,-21182.0,-0.12,-21182.0,-0.14,,
歸屬於母公司業主之權益合計,12808716.0,69.51,11955482.0,65.9,11301499.0,72.52,,
非控制權益,154452.0,0.84,147705.0,0.81,141505.0,0.91,,
權益總計,12963168.0,70.34,12103187.0,66.72,11443004.0,73.43,,
負債及權益總計,18428227.0,100.0,18141349.0,100.0,15583923.0,100.0,,
待註銷股本股數（單位：股）,0.0,,0.0,,0.0,,,
預收股款（權益項下）之約當發行股數（單位：股）,0.0,,0.0,,0.0,,,
母公司暨子公司所持有之母公司庫藏股股數（單位：股）,5252215.0,,5252215.0,,4818546.0,,,
