會計項目,Q1金額,Q2金額,Q3金額,Q4金額
營業活動之現金流量－間接法,,,,
繼續營業單位稅前淨利（淨損）,1429630.0,3641207.0,4291741.0,4921642.0
本期稅前淨利（淨損）,1429630.0,3641207.0,4291741.0,4921642.0
折舊費用,91576.0,183546.0,276253.0,365978.0
攤銷費用,3954.0,8078.0,12997.0,23600.0
預期信用減損損失（利益）數∕呆帳費用提列（轉列收入）數,-18.0,2.0,546.0,9601.0
透過損益按公允價值衡量金融資產及負債之淨損失（利益）,15106.0,37402.0,39330.0,34918.0
利息費用,24198.0,58749.0,99720.0,147192.0
利息收入,-4161.0,-7904.0,-13156.0,-22103.0
股利收入,-463099.0,-2100856.0,-2131462.0,-2138066.0
採用權益法認列之關聯企業及合資損失（利益）之份額,-1024663.0,-1583950.0,-2321533.0,-2961099.0
處分及報廢不動產、廠房及設備損失（利益）,0.0,24.0,650.0,1096.0
非金融資產減損迴轉利益,-1357107.0,-24.0,-24.0,-24.0
其他項目,200187.0,-3404933.0,-36.0,-36.0
收益費損項目合計,119506.0,0.0,-4036715.0,-4538943.0
強制透過損益按公允價值衡量之金融資產（增加）減少,303324.0,199949.0,0.0,-2836.0
合約資產（增加）減少,-10866.0,84595.0,1399357.0,1444723.0
應收票據（增加）減少,-19182.0,259196.0,24758.0,42508.0
應收帳款（增加）減少,-7186.0,-5990.0,180649.0,-45930.0
其他應收款（增加）減少,699.0,-64259.0,-10648.0,4214.0
存貨（增加）減少,586482.0,5772.0,-345574.0,-29959.0
其他流動資產（增加）減少,48066.0,-2099.0,23845.0,-81175.0
其他營業資產（增加）減少,660.0,477164.0,6483.0,6929.0
與營業活動相關之資產之淨變動合計,-346568.0,71763.0,1278870.0,1338474.0
合約負債增加（減少）,-82360.0,10805.0,-1241119.0,-1262782.0
應付票據增加（減少）,0.0,-568105.0,-32177.0,-37151.0
應付帳款增加（減少）,21190.0,-37091.0,-516180.0,-257977.0
其他應付款增加（減少）,-359012.0,0.0,103639.0,38836.0
其他流動負債增加（減少）,227470.0,2683.0,0.0,-330.0
與營業活動相關之負債之淨變動合計,-1129637.0,-519945.0,42879.0,-1519404.0
與營業活動相關之資產及負債之淨變動合計,299993.0,-42781.0,-1642958.0,-180930.0
調整項目合計,4160.0,-3447714.0,-364088.0,-4719873.0
營運產生之現金流入（流出）,-23233.0,193493.0,-4400803.0,201769.0
收取之利息,-1503.0,7895.0,-109062.0,19848.0
收取之股利,279417.0,933617.0,13128.0,3598919.0
支付之利息,,-53054.0,3584992.0,-123170.0
退還（支付）之所得稅,-78530.0,-37512.0,-85001.0,-56793.0
營業活動之淨現金流入（流出）,0.0,1044439.0,-52986.0,3640573.0
投資活動之現金流量,11629.0,,3351071.0,
取得透過其他綜合損益按公允價值衡量之金融資產,-31981.0,-292764.0,,-417452.0
處分透過其他綜合損益按公允價值衡量之金融資產,28924.0,0.0,-354947.0,207330.0
透過其他綜合損益按公允價值衡量之金融資產減資退回股款,-48058.0,11629.0,205868.0,40384.0
取得透過損益按公允價值衡量之金融資產,0.0,-63222.0,38859.0,-1336708.0
處分透過損益按公允價值衡量之金融資產,-12625.0,55627.0,-1306973.0,1378424.0
取得不動產、廠房及設備,0.0,-109632.0,1204770.0,-172004.0
處分不動產、廠房及設備,-6100.0,0.0,-242587.0,117.0
存出保證金減少,-1687.0,-32768.0,-123265.0,13203.0
取得無形資產,-539.0,-6482.0,0.0,-24960.0
因合併產生之現金流入,-138967.0,-2442.0,8197.0,-197655.0
取得投資性不動產,,-3589.0,-14300.0,-6615.0
其他非流動資產增加,975000.0,-443643.0,0.0,1592.0
投資活動之淨現金流入（流出）,-799741.0,,-6145.0,-514344.0
籌資活動之現金流量,500000.0,1240000.0,-11882.0,
短期借款增加,-600000.0,-1589271.0,-602405.0,-602329.0
應付短期票券增加,-757.0,2500000.0,,-1690452.0
發行公司債,-14804.0,1700000.0,-152329.0,2500000.0
舉借長期借款,-1287.0,-1500000.0,-1999039.0,2011945.0
償還長期借款,117715.0,3162.0,2500000.0,-2501000.0
存入保證金增加,0.0,-30558.0,1699160.0,5386.0
租賃本金償還,240.0,-1574.0,-2000000.0,-62693.0
其他非流動負債減少,176366.0,-2527139.0,4921.0,-3587.0
發放現金股利,43592.0,117715.0,0.0,-2527139.0
庫藏股票處分,360408.0,0.0,-47057.0,117715.0
取得子公司股權,2785515.0,-16630.0,-3350.0,0.0
非控制權益變動,3145923.0,240.0,-2527139.0,-363406.0
其他籌資活動,3145923.0,-104055.0,117715.0,540.0
