民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,104年01月01日至104年03月31日,103年01月01日至103年03月31日,Unnamed: 3_level_2,Unnamed: 4_level_2,Unnamed: 5_level_2,Unnamed: 6_level_2
Unnamed: 0_level_3,金額,金額,Unnamed: 3_level_3,Unnamed: 4_level_3,Unnamed: 5_level_3,Unnamed: 6_level_3
營業活動之現金流量－間接法,,,,,,
繼續營業單位稅前淨利（淨損）,147829.0,84454.0,,,,
本期稅前淨利（淨損）,147829.0,84454.0,,,,
折舊費用,75330.0,50829.0,,,,
攤銷費用,561.0,465.0,,,,
呆帳費用提列（轉列收入）數,214.0,-162.0,,,,
利息費用,2174.0,3132.0,,,,
利息收入,-8422.0,-10015.0,,,,
採用權益法認列之關聯企業及合資損失（利益）之份額,-34107.0,-21735.0,,,,
處分及報廢不動產、廠房及設備損失（利益）,-15687.0,-89.0,,,,
處分投資損失（利益）,-2241.0,-499.0,,,,
其他項目,57.0,56.0,,,,
收益費損項目合計,17879.0,21982.0,,,,
應收票據（增加）減少,-22608.0,2220.0,,,,
應收帳款（增加）減少,-111749.0,-36511.0,,,,
其他應收款（增加）減少,3379.0,-1190.0,,,,
存貨（增加）減少,123079.0,238445.0,,,,
預付款項（增加）減少,-17596.0,-9563.0,,,,
其他流動資產（增加）減少,-21118.0,-18514.0,,,,
與營業活動相關之資產之淨變動合計,-46613.0,174887.0,,,,
應付票據增加（減少）,1134.0,-39049.0,,,,
應付帳款增加（減少）,66257.0,4152.0,,,,
其他應付款增加（減少）,-34873.0,-16091.0,,,,
其他流動負債增加（減少）,-179.0,16402.0,,,,
淨確定福利負債增加(減少),-430.0,3076.0,,,,
與營業活動相關之負債之淨變動合計,31909.0,-31510.0,,,,
與營業活動相關之資產及負債之淨變動合計,-14704.0,143377.0,,,,
調整項目合計,3175.0,165359.0,,,,
營運產生之現金流入（流出）,151004.0,249813.0,,,,
支付之利息,-3412.0,-3373.0,,,,
退還（支付）之所得稅,-1537.0,-3315.0,,,,
營業活動之淨現金流入（流出）,146055.0,243125.0,,,,
投資活動之現金流量,,,,,,
取得備供出售金融資產,-80000.0,-540000.0,,,,
處分備供出售金融資產,198241.0,302499.0,,,,
處分待出售非流動資產,31122.0,0.0,,,,
取得不動產、廠房及設備,-16548.0,-19447.0,,,,
處分不動產、廠房及設備,312.0,105.0,,,,
存出保證金增加,-590.0,0.0,,,,
存出保證金減少,0.0,736.0,,,,
取得無形資產,-53.0,-620.0,,,,
預付設備款增加,-88431.0,-113905.0,,,,
收取之利息,8443.0,10017.0,,,,
投資活動之淨現金流入（流出）,52496.0,-360615.0,,,,
籌資活動之現金流量,,,,,,
短期借款增加,6400.0,9587.0,,,,
存入保證金減少,-372.0,-5928.0,,,,
籌資活動之淨現金流入（流出）,6028.0,3659.0,,,,
匯率變動對現金及約當現金之影響,10382.0,-4115.0,,,,
本期現金及約當現金增加（減少）數,214961.0,-117946.0,,,,
期初現金及約當現金餘額,4108178.0,5262121.0,,,,
期末現金及約當現金餘額,4323139.0,5144175.0,,,,
資產負債表帳列之現金及約當現金,4323139.0,5144175.0,,,,
