會計項目,Q1金額,Q1百分比(%),Q2金額,Q2百分比(%),Q3金額,Q3百分比(%),Q4金額,Q4百分比(%)
銷貨收入,901042.0,101.33,1031085.0,102.25,1588250.0,103.15,4206922.0,102.57
銷貨退回,10122.0,1.14,21198.0,2.1,45956.0,2.98,98411.0,2.4
銷貨折讓,1685.0,0.19,1507.0,0.15,2594.0,0.17,7118.0,0.17
銷貨收入淨額,889235.0,100.0,1008380.0,100.0,1539700.0,100.0,4101393.0,100.0
營業收入合計,889235.0,100.0,1008380.0,100.0,1539700.0,100.0,4101393.0,100.0
銷貨成本,652873.0,73.42,729483.0,72.34,1066973.0,69.3,2931835.0,71.48
營業成本合計,652873.0,73.42,729483.0,72.34,1066973.0,69.3,2931835.0,71.48
營業毛利（毛損）,236362.0,26.58,278897.0,27.66,472727.0,30.7,1169558.0,28.52
營業毛利（毛損）淨額,236362.0,26.58,278897.0,27.66,472727.0,30.7,1169558.0,28.52
營業費用,,,,,,,,
推銷費用,57977.0,6.52,68709.0,6.81,88624.0,5.76,260056.0,6.34
管理費用,82892.0,9.32,73132.0,7.25,100464.0,6.52,287886.0,7.02
研究發展費用,14257.0,1.6,22063.0,2.19,10743.0,0.7,60719.0,1.48
預期信用減損損失（利益）,5326.0,0.6,2079.0,0.21,0.0,0.0,7405.0,0.18
營業費用合計,160452.0,18.04,165983.0,16.46,199831.0,12.98,616066.0,15.02
營業利益（損失）,75910.0,8.54,112914.0,11.2,272896.0,17.72,553492.0,13.5
營業外收入及支出,,,,,,,,
利息收入,6523.0,0.73,9498.0,0.94,8806.0,0.57,35951.0,0.88
其他收入,1322.0,0.15,3126.0,0.31,23738.0,1.54,35976.0,0.88
其他利益及損失淨額,-4191.0,-0.47,673.0,0.07,24436.0,1.59,5987.0,0.15
財務成本淨額,508.0,0.06,422.0,0.04,397.0,0.03,1332.0,0.03
營業外收入及支出合計,3146.0,0.35,12875.0,1.28,56583.0,3.67,76582.0,1.87
稅前淨利（淨損）,79056.0,8.89,125789.0,12.47,329479.0,21.4,630074.0,15.36
所得稅費用（利益）合計,26838.0,3.02,44536.0,4.42,76209.0,4.95,165382.0,4.03
繼續營業單位本期淨利（淨損）,52218.0,5.87,81253.0,8.06,253270.0,16.45,464692.0,11.33
本期淨利（淨損）,52218.0,5.87,81253.0,8.06,253270.0,16.45,464692.0,11.33
其他綜合損益(淨額),,,,,,,,
不重分類至損益之其他項目,151259.0,17.01,-70306.0,-6.97,31472.0,2.04,54121.0,1.32
不重分類至損益之項目：,151259.0,17.01,-70306.0,-6.97,31472.0,2.04,54121.0,1.32
其他綜合損益（淨額）,151259.0,17.01,-70306.0,-6.97,31472.0,2.04,54121.0,1.32
本期綜合損益總額,203477.0,22.88,10947.0,1.09,284742.0,18.49,518813.0,12.65
淨利（損）歸屬於：,,,,,,,,
母公司業主（淨利∕損）,44475.0,5.0,69444.0,6.89,222326.0,14.44,403294.0,9.83
非控制權益（淨利∕損）,7743.0,0.87,11809.0,1.17,30944.0,2.01,61398.0,1.5
母公司業主（綜合損益）,181437.0,20.4,5119.0,0.51,250389.0,16.26,451962.0,11.02
非控制權益（綜合損益）,22040.0,2.48,5828.0,0.58,34353.0,2.23,66851.0,1.63
基本每股盈餘,,,,,,,,
繼續營業單位淨利（淨損）,1.31,,2.05,,6.57,,11.92,
基本每股盈餘,1.31,,2.05,,6.57,,11.92,
稀釋每股盈餘,,,,,,,,
繼續營業單位淨利（淨損）,1.31,,2.05,,6.57,,11.91,
稀釋每股盈餘,1.31,,2.05,,6.57,,11.91,
